;Scopy version,f4beeb1
;Exported on,Monday October 14/10/2024
;Device,M2K
;Nr of samples,4096
;Sample rate,0
;Tool,Spectrum Analyzer
;Additional Information,Exponential RMS,Blackman-Harris,100,Exponential RMS,Blackman-Harris,100,
Sample,Frequency(Hz),Amplitude CH1(V/?Hz),Amplitude CH2(V/?Hz)
0,1,0.00753892,0.00100791
1,24.4141,0.00753892,0.00100791
2,48.8281,0.00218233,0.000308264
3,73.2422,0.000187209,9.02543e-05
4,97.6563,4.65609e-05,7.95701e-05
5,122.07,4.65407e-05,7.72187e-05
6,146.484,4.65089e-05,7.84563e-05
7,170.898,4.6684e-05,7.8048e-05
8,195.313,4.674e-05,7.86639e-05
9,219.727,4.70928e-05,8.83561e-05
10,244.141,4.70605e-05,0.000100598
11,268.555,4.65395e-05,9.23666e-05
12,292.969,4.53809e-05,7.89826e-05
13,317.383,4.34822e-05,7.51405e-05
14,341.797,4.29508e-05,7.07921e-05
15,366.211,4.34209e-05,6.81135e-05
16,390.625,4.45425e-05,7.04635e-05
17,415.039,4.43116e-05,7.10134e-05
18,439.453,4.64933e-05,7.15956e-05
19,463.867,4.94483e-05,7.42747e-05
20,488.281,4.8319e-05,7.68469e-05
21,512.695,4.69908e-05,7.64658e-05
22,537.109,4.7867e-05,6.8863e-05
23,561.523,4.79586e-05,6.46521e-05
24,585.938,4.65609e-05,6.38931e-05
25,610.352,4.62647e-05,6.44086e-05
26,634.766,4.57556e-05,6.72939e-05
27,659.18,4.57378e-05,6.99615e-05
28,683.594,4.57308e-05,6.91044e-05
29,708.008,4.71065e-05,6.76087e-05
30,732.422,4.71302e-05,6.78463e-05
31,756.836,4.52345e-05,6.55272e-05
32,781.25,4.47427e-05,6.43878e-05
33,805.664,4.55852e-05,6.51163e-05
34,830.078,4.57483e-05,6.62856e-05
35,854.492,4.51444e-05,6.93137e-05
36,878.906,4.48734e-05,7.3233e-05
37,903.32,4.56592e-05,8.04708e-05
38,927.734,4.62819e-05,8.00353e-05
39,952.148,4.62691e-05,7.2885e-05
40,976.563,4.84703e-05,6.95243e-05
41,1000.98,4.72613e-05,6.88285e-05
42,1025.39,4.43095e-05,6.53051e-05
43,1049.8,4.61826e-05,6.36729e-05
44,1074.22,4.57473e-05,6.59811e-05
45,1098.63,4.40434e-05,6.92413e-05
46,1123.05,4.39462e-05,6.88865e-05
47,1147.46,4.43438e-05,6.69343e-05
48,1171.88,4.53982e-05,6.50754e-05
49,1196.29,4.52828e-05,6.48782e-05
50,1220.7,4.45757e-05,6.50887e-05
51,1245.12,4.30876e-05,6.39562e-05
52,1269.53,4.1503e-05,6.15815e-05
53,1293.95,4.09746e-05,6.03813e-05
54,1318.36,4.07244e-05,6.22111e-05
55,1342.77,3.93816e-05,6.36887e-05
56,1367.19,4.03451e-05,6.31159e-05
57,1391.6,4.36854e-05,6.30082e-05
58,1416.02,4.4679e-05,6.43163e-05
59,1440.43,4.33741e-05,6.39056e-05
