;Scopy version,f4beeb1,,,,,,,,
;Exported on,Friday October 11/10/2024,,,,,Average Ch. 1,,Average Ch. 2,
;Device,M2K,,,,,4.00E-06,V/sqrt(Hz),3.89E-06,V/sqrt(Hz)
;Nr of samples,4096,,,,,,,,
;Sample rate,0,,,,,,,,
;Tool,Spectrum Analyzer,,,,,,,,
;Additional Information,Exponential RMS,Blackman-Harris,500,Exponential RMS,Blackman-Harris,500,,,
Sample,Frequency(Hz),Amplitude CH1(V/?Hz),Amplitude CH2(V/?Hz),,,,,,
0,1,0.00106491,0.00094592,,,,,,
1,24.4141,0.00106491,0.00094592,,,,,,
2,48.8281,0.00030811,0.000273844,,,,,,
3,73.2422,2.58E-05,2.31E-05,,,,,,
4,97.6563,4.49E-06,4.28E-06,,,,,,
5,122.07,4.42E-06,4.20E-06,,,,,,
6,146.484,4.44E-06,4.14E-06,,,,,,
7,170.898,4.32E-06,4.14E-06,,,,,,
8,195.313,4.21E-06,4.17E-06,,,,,,
9,219.727,4.21E-06,4.16E-06,,,,,,
10,244.141,4.22E-06,4.13E-06,,,,,,
11,268.555,4.22E-06,4.11E-06,,,,,,
12,292.969,4.19E-06,4.14E-06,,,,,,
13,317.383,4.18E-06,4.14E-06,,,,,,
14,341.797,4.16E-06,4.03E-06,,,,,,
15,366.211,4.17E-06,3.97E-06,,,,,,
16,390.625,4.15E-06,3.99E-06,,,,,,
17,415.039,4.14E-06,4.03E-06,,,,,,
18,439.453,4.20E-06,4.09E-06,,,,,,
19,463.867,4.25E-06,4.07E-06,,,,,,
20,488.281,4.26E-06,4.05E-06,,,,,,
21,512.695,4.24E-06,4.04E-06,,,,,,
22,537.109,4.22E-06,4.05E-06,,,,,,
23,561.523,4.19E-06,4.05E-06,,,,,,
24,585.938,4.21E-06,4.04E-06,,,,,,
25,610.352,4.21E-06,4.09E-06,,,,,,
26,634.766,4.15E-06,4.20E-06,,,,,,
27,659.18,4.08E-06,4.22E-06,,,,,,
28,683.594,4.09E-06,4.13E-06,,,,,,
29,708.008,4.11E-06,4.03E-06,,,,,,
30,732.422,4.14E-06,4.09E-06,,,,,,
31,756.836,4.20E-06,4.17E-06,,,,,,
32,781.25,4.26E-06,4.17E-06,,,,,,
33,805.664,4.29E-06,4.19E-06,,,,,,
34,830.078,4.32E-06,4.18E-06,,,,,,
35,854.492,4.46E-06,4.21E-06,,,,,,
36,878.906,4.47E-06,4.25E-06,,,,,,
37,903.32,4.34E-06,4.21E-06,,,,,,
38,927.734,4.27E-06,4.19E-06,,,,,,
39,952.148,4.27E-06,4.19E-06,,,,,,
40,976.563,4.30E-06,4.23E-06,,,,,,
41,1000.98,4.33E-06,4.25E-06,,,,,,
42,1025.39,4.34E-06,4.16E-06,,,,,,
43,1049.8,4.25E-06,4.13E-06,,,,,,
44,1074.22,4.15E-06,4.13E-06,,,,,,
45,1098.63,4.12E-06,4.17E-06,,,,,,
46,1123.05,4.10E-06,4.17E-06,,,,,,
47,1147.46,4.10E-06,4.17E-06,,,,,,
48,1171.88,4.18E-06,4.10E-06,,,,,,
49,1196.29,4.27E-06,4.05E-06,,,,,,
50,1220.7,4.19E-06,4.01E-06,,,,,,
51,1245.12,4.12E-06,4.00E-06,,,,,,
52,1269.53,4.19E-06,4.10E-06,,,,,,
53,1293.95,4.25E-06,4.05E-06,,,,,,
54,1318.36,4.15E-06,3.99E-06,,,,,,
55,1342.77,4.10E-06,4.07E-06,,,,,,
56,1367.19,4.12E-06,4.09E-06,,,,,,
57,1391.6,4.19E-06,4.04E-06,,,,,,
58,1416.02,4.20E-06,4.03E-06,,,,,,
59,1440.43,4.18E-06,4.01E-06,,,,,,
60,1464.84,4.15E-06,3.97E-06,,,,,,
61,1489.26,4.08E-06,4.02E-06,,,,,,
62,1513.67,4.11E-06,4.05E-06,,,,,,
63,1538.09,4.16E-06,4.03E-06,,,,,,
64,1562.5,4.16E-06,3.99E-06,,,,,,
65,1586.91,4.13E-06,3.93E-06,,,,,,
66,1611.33,4.04E-06,3.97E-06,,,,,,
67,1635.74,4.10E-06,3.98E-06,,,,,,
68,1660.16,4.12E-06,3.96E-06,,,,,,
69,1684.57,4.03E-06,3.96E-06,,,,,,
70,1708.98,3.95E-06,4.02E-06,,,,,,
71,1733.4,3.96E-06,4.04E-06,,,,,,
72,1757.81,4.06E-06,4.00E-06,,,,,,
73,1782.23,4.16E-06,4.01E-06,,,,,,
74,1806.64,4.17E-06,4.04E-06,,,,,,
75,1831.05,4.11E-06,4.06E-06,,,,,,
76,1855.47,4.05E-06,3.96E-06,,,,,,
77,1879.88,4.08E-06,3.86E-06,,,,,,
78,1904.3,4.18E-06,3.93E-06,,,,,,
79,1928.71,4.16E-06,3.99E-06,,,,,,
80,1953.13,4.13E-06,3.99E-06,,,,,,
81,1977.54,4.17E-06,3.98E-06,,,,,,
82,2001.95,4.17E-06,3.95E-06,,,,,,
83,2026.37,4.05E-06,3.92E-06,,,,,,
84,2050.78,3.99E-06,3.94E-06,,,,,,
85,2075.2,4.04E-06,3.90E-06,,,,,,
86,2099.61,4.10E-06,3.86E-06,,,,,,
87,2124.02,4.13E-06,3.91E-06,,,,,,
88,2148.44,4.16E-06,3.99E-06,,,,,,
89,2172.85,4.17E-06,3.91E-06,,,,,,
90,2197.27,4.14E-06,3.86E-06,,,,,,
91,2221.68,4.11E-06,3.92E-06,,,,,,
92,2246.09,4.14E-06,3.91E-06,,,,,,
93,2270.51,4.12E-06,3.89E-06,,,,,,
94,2294.92,4.12E-06,3.96E-06,,,,,,
95,2319.34,4.20E-06,3.92E-06,,,,,,
96,2343.75,4.15E-06,3.83E-06,,,,,,
97,2368.16,4.01E-06,3.88E-06,,,,,,
98,2392.58,3.98E-06,3.83E-06,,,,,,
99,2416.99,4.03E-06,3.76E-06,,,,,,
100,2441.41,4.09E-06,3.80E-06,,,,,,
101,2465.82,4.11E-06,3.86E-06,,,,,,
102,2490.23,4.06E-06,3.83E-06,,,,,,
103,2514.65,4.02E-06,3.87E-06,,,,,,
104,2539.06,4.04E-06,3.93E-06,,,,,,
105,2563.48,4.06E-06,3.88E-06,,,,,,
106,2587.89,4.04E-06,3.86E-06,,,,,,
107,2612.3,4.07E-06,3.88E-06,,,,,,
108,2636.72,4.11E-06,3.89E-06,,,,,,
109,2661.13,4.08E-06,3.86E-06,,,,,,
110,2685.55,4.09E-06,3.92E-06,,,,,,
111,2709.96,4.10E-06,3.99E-06,,,,,,
