;Scopy version,f4beeb1
;Exported on,Wednesday October 09/10/2024
;Device,M2K
;Nr of samples,65536
;Sample rate,0
;Tool,Spectrum Analyzer
;Additional Information,Exponential RMS,Blackman-Harris,100,Exponential RMS,Blackman-Harris,100,
Sample,Frequency(Hz),Amplitude CH1(V/?Hz),Amplitude CH2(V/?Hz)
0,1,0.00969708,0.00124335
1,15.2588,0.00969708,0.00124335
2,30.5176,0.0028072,0.00035986
3,45.7764,0.000234457,2.99743e-05
4,61.0352,2.81971e-05,2.55612e-06
5,76.2939,2.62823e-05,2.47534e-06
6,91.5527,2.49597e-05,2.38659e-06
7,106.812,2.33292e-05,2.22662e-06
8,122.07,2.15329e-05,2.20241e-06
9,137.329,2.10033e-05,2.19118e-06
10,152.588,2.14316e-05,2.01323e-06
11,167.847,2.20595e-05,1.9243e-06
12,183.105,2.21882e-05,1.99969e-06
13,198.364,2.14837e-05,2.03798e-06
14,213.623,2.07614e-05,1.96804e-06
15,228.882,2.05593e-05,1.86872e-06
16,244.141,2.03038e-05,1.85597e-06
17,259.399,2.04221e-05,1.84453e-06
18,274.658,2.082e-05,1.82261e-06
19,289.917,2.04734e-05,1.79406e-06
20,305.176,1.99964e-05,1.80491e-06
21,320.435,1.9365e-05,1.79628e-06
22,335.693,1.82701e-05,1.79827e-06
23,350.952,1.79708e-05,1.84958e-06
24,366.211,1.82711e-05,1.98922e-06
25,381.47,1.95446e-05,1.99344e-06
26,396.729,2.01952e-05,1.88135e-06
27,411.987,1.94835e-05,1.77381e-06
28,427.246,1.92581e-05,1.75817e-06
29,442.505,1.95674e-05,1.82218e-06
30,457.764,1.89513e-05,1.8565e-06
31,473.022,1.84836e-05,1.83652e-06
32,488.281,1.81689e-05,1.79324e-06
33,503.54,1.88593e-05,1.77764e-06
34,518.799,1.94175e-05,1.78213e-06
35,534.058,1.99244e-05,1.81263e-06
36,549.316,2.03289e-05,1.79142e-06
37,564.575,2.09414e-05,1.77151e-06
38,579.834,2.07309e-05,1.7848e-06
39,595.093,1.97579e-05,1.8767e-06
40,610.352,1.96449e-05,1.94488e-06
41,625.61,1.98606e-05,1.87917e-06
42,640.869,1.99074e-05,1.85069e-06
43,656.128,2.05782e-05,1.923e-06
44,671.387,1.97523e-05,1.91037e-06
45,686.646,1.89312e-05,1.89003e-06
46,701.904,1.91563e-05,1.94543e-06
47,717.163,1.99698e-05,1.96362e-06
48,732.422,2.09457e-05,1.90354e-06
49,747.681,2.1373e-05,1.87012e-06
50,762.939,2.03581e-05,1.8885e-06
51,778.198,2.02967e-05,1.90889e-06
52,793.457,2.01702e-05,1.86521e-06
53,808.716,2.08082e-05,1.91054e-06
54,823.975,2.24628e-05,2.06091e-06
55,839.233,2.18276e-05,2.07759e-06
56,854.492,2.07958e-05,2.00486e-06
57,869.751,2.11877e-05,1.92451e-06
58,885.01,2.08653e-05,1.94883e-06
59,900.269,2.1038e-05,2.03824e-06
60,915.527,2.24907e-05,2.12212e-06
61,930.786,2.33342e-05,2.20791e-06
62,946.045,2.28196e-05,2.11971e-06
63,961.304,2.14988e-05,1.9117e-06
64,976.563,2.12153e-05,1.90639e-06
65,991.821,2.1512e-05,1.98047e-06
66,1007.08,2.12053e-05,1.99459e-06
67,1022.34,2.07216e-05,1.93362e-06
68,1037.6,2.03819e-05,1.91738e-06
69,1052.86,2.08008e-05,2.00069e-06
70,1068.12,2.1175e-05,2.04964e-06
71,1083.37,2.0891e-05,2.05098e-06
72,1098.63,2.04581e-05,1.97047e-06
73,1113.89,2.07051e-05,1.88502e-06
74,1129.15,2.07834e-05,1.94499e-06
75,1144.41,2.02482e-05,1.99572e-06
76,1159.67,1.91611e-05,1.9541e-06
77,1174.93,1.88216e-05,1.89385e-06
78,1190.19,1.89921e-05,1.79688e-06
79,1205.44,1.8931e-05,1.7039e-06
80,1220.7,1.93749e-05,1.71607e-06
81,1235.96,1.96415e-05,1.72773e-06
82,1251.22,1.93896e-05,1.7495e-06
83,1266.48,1.83329e-05,1.75863e-06
84,1281.74,1.79792e-05,1.73845e-06
85,1297,1.81051e-05,1.727e-06
86,1312.26,1.81366e-05,1.71984e-06
87,1327.51,1.82552e-05,1.72588e-06
88,1342.77,1.76255e-05,1.66051e-06
89,1358.03,1.6953e-05,1.6714e-06
90,1373.29,1.67665e-05,1.61062e-06
91,1388.55,1.71309e-05,1.50346e-06
92,1403.81,1.72118e-05,1.53544e-06
93,1419.07,1.61354e-05,1.54477e-06
94,1434.33,1.60458e-05,1.53165e-06
95,1449.58,1.62526e-05,1.52974e-06
96,1464.84,1.63633e-05,1.47347e-06
97,1480.1,1.64132e-05,1.53494e-06
98,1495.36,1.70043e-05,1.63316e-06
99,1510.62,1.73101e-05,1.64553e-06
100,1525.88,1.66888e-05,1.59533e-06
101,1541.14,1.69216e-05,1.42771e-06
102,1556.4,1.69566e-05,1.33936e-06
103,1571.66,1.6658e-05,1.40603e-06
104,1586.91,1.61081e-05,1.44339e-06
105,1602.17,1.51146e-05,1.44243e-06
