;Scopy version,f4beeb1
;Exported on,Friday October 11/10/2024
;Device,M2K
;Nr of samples,4096
;Sample rate,0
;Tool,Spectrum Analyzer
;Additional Information,Exponential RMS,Blackman-Harris,500,Exponential RMS,Blackman-Harris,500,
Sample,Frequency(Hz),Amplitude CH1(V/?Hz),Amplitude CH2(V/?Hz)
0,1,0.00106491,0.00094592
1,24.4141,0.00106491,0.00094592
2,48.8281,0.00030811,0.000273844
3,73.2422,2.58002e-05,2.31367e-05
4,97.6563,4.48925e-06,4.28199e-06
5,122.07,4.42487e-06,4.19696e-06
6,146.484,4.4377e-06,4.13767e-06
7,170.898,4.32089e-06,4.13825e-06
8,195.313,4.20927e-06,4.16937e-06
9,219.727,4.21026e-06,4.15605e-06
10,244.141,4.21968e-06,4.13469e-06
11,268.555,4.21667e-06,4.11362e-06
12,292.969,4.19066e-06,4.13881e-06
13,317.383,4.17569e-06,4.14195e-06
14,341.797,4.1598e-06,4.0294e-06
15,366.211,4.16732e-06,3.97069e-06
16,390.625,4.14724e-06,3.98566e-06
17,415.039,4.1395e-06,4.02608e-06
18,439.453,4.20371e-06,4.09124e-06
19,463.867,4.25423e-06,4.07314e-06
20,488.281,4.26031e-06,4.04788e-06
21,512.695,4.23839e-06,4.03575e-06
22,537.109,4.22282e-06,4.04633e-06
23,561.523,4.19115e-06,4.05159e-06
24,585.938,4.21214e-06,4.04452e-06
25,610.352,4.21259e-06,4.09326e-06
26,634.766,4.15129e-06,4.20069e-06
27,659.18,4.07965e-06,4.21523e-06
28,683.594,4.08769e-06,4.13122e-06
29,708.008,4.10897e-06,4.03401e-06
30,732.422,4.14346e-06,4.09319e-06
31,756.836,4.19993e-06,4.16515e-06
32,781.25,4.25958e-06,4.17406e-06
33,805.664,4.29242e-06,4.19211e-06
34,830.078,4.31895e-06,4.1762e-06
35,854.492,4.45862e-06,4.20553e-06
36,878.906,4.47029e-06,4.25426e-06
37,903.32,4.33903e-06,4.2102e-06
38,927.734,4.27378e-06,4.18737e-06
39,952.148,4.27251e-06,4.19417e-06
40,976.563,4.30313e-06,4.23363e-06
