;Scopy version,f4beeb1
;Exported on,Friday October 11/10/2024
;Device,M2K
;Nr of samples,4096
;Sample rate,0
;Tool,Spectrum Analyzer
;Additional Information,Exponential RMS,Blackman-Harris,500,Exponential RMS,Blackman-Harris,500,
Sample,Frequency(Hz),Amplitude CH1(V/?Hz),Amplitude CH2(V/?Hz)
0,1,0.00800174,0.00677713
1,24.4141,0.00800174,0.00677713
2,48.8281,0.00231607,0.00196047
3,73.2422,0.000197786,0.000168721
4,97.6563,4.75974e-05,5.46456e-05
5,122.07,4.65255e-05,5.36397e-05
6,146.484,4.63409e-05,5.26924e-05
7,170.898,4.62848e-05,5.20805e-05
8,195.313,4.51766e-05,5.22663e-05
9,219.727,4.45942e-05,5.25888e-05
10,244.141,4.47177e-05,5.13798e-05
11,268.555,4.48854e-05,5.07491e-05
12,292.969,4.50248e-05,5.17526e-05
13,317.383,4.51135e-05,5.18311e-05
14,341.797,4.45072e-05,5.17524e-05
15,366.211,4.40293e-05,5.11416e-05
16,390.625,4.4662e-05,5.09e-05
17,415.039,4.41227e-05,4.95098e-05
18,439.453,4.39842e-05,4.94457e-05
19,463.867,4.53004e-05,5.18158e-05
20,488.281,4.55236e-05,5.30047e-05
21,512.695,4.43794e-05,5.19019e-05
22,537.109,4.37837e-05,5.16653e-05
23,561.523,4.33093e-05,5.1509e-05
24,585.938,4.3376e-05,5.08988e-05
25,610.352,4.41947e-05,5.08407e-05
26,634.766,4.42629e-05,5.1064e-05
27,659.18,4.36054e-05,5.07647e-05
28,683.594,4.39216e-05,4.97523e-05
29,708.008,4.45141e-05,4.93629e-05
30,732.422,4.52525e-05,4.91878e-05
31,756.836,4.61299e-05,4.99366e-05
32,781.25,4.58272e-05,5.09153e-05
33,805.664,4.53871e-05,5.07781e-05
34,830.078,4.48714e-05,5.05791e-05
35,854.492,4.4971e-05,5.10562e-05
36,878.906,4.55976e-05,5.11603e-05
37,903.32,4.53311e-05,5.0872e-05
38,927.734,4.50777e-05,5.01565e-05
39,952.148,4.53717e-05,4.94519e-05
40,976.563,4.52231e-05,5.0167e-05
41,1000.98,4.59967e-05,5.07112e-05
42,1025.39,4.76199e-05,5.01752e-05
43,1049.8,4.75702e-05,5.07819e-05
44,1074.22,4.61319e-05,5.18315e-05
45,1098.63,4.5089e-05,5.13841e-05
46,1123.05,4.45375e-05,5.10533e-05
47,1147.46,4.46155e-05,5.01808e-05
48,1171.88,4.44724e-05,4.95074e-05
49,1196.29,4.43091e-05,5.06099e-05
50,1220.7,4.4038e-05,5.19665e-05
51,1245.12,4.46997e-05,5.17609e-05
52,1269.53,4.56315e-05,5.07821e-05
53,1293.95,4.4546e-05,5.11695e-05
54,1318.36,4.28869e-05,5.22386e-05
55,1342.77,4.18207e-05,5.17457e-05
56,1367.19,4.28916e-05,5.1111e-05
57,1391.6,4.37783e-05,5.01113e-05
58,1416.02,4.35136e-05,4.88303e-05
59,1440.43,4.41261e-05,4.88581e-05
60,1464.84,4.4584e-05,4.9375e-05
61,1489.26,4.42523e-05,4.97175e-05
62,1513.67,4.44417e-05,4.98617e-05
63,1538.09,4.42972e-05,4.92385e-05
64,1562.5,4.35718e-05,4.89713e-05
65,1586.91,4.26526e-05,4.87129e-05
66,1611.33,4.19949e-05,4.94851e-05
67,1635.74,4.23505e-05,4.99297e-05
68,1660.16,4.24092e-05,4.91959e-05
69,1684.57,4.23777e-05,4.86266e-05
70,1708.98,4.33967e-05,4.92438e-05
71,1733.4,4.39967e-05,5.01947e-05
72,1757.81,4.42258e-05,5.04071e-05
73,1782.23,4.30726e-05,5.00056e-05
74,1806.64,4.17058e-05,5.00569e-05
75,1831.05,4.18444e-05,5.07249e-05
76,1855.47,4.21727e-05,5.10153e-05
77,1879.88,4.23256e-05,5.01293e-05
78,1904.3,4.21039e-05,4.93494e-05
79,1928.71,4.19554e-05,4.9407e-05
80,1953.13,4.29331e-05,4.91073e-05
81,1977.54,4.36589e-05,4.89208e-05
82,2001.95,4.33121e-05,4.89042e-05
83,2026.37,4.24781e-05,4.93745e-05
84,2050.78,4.24361e-05,4.95493e-05
85,2075.2,4.29748e-05,4.84561e-05
86,2099.61,4.36724e-05,4.89366e-05
87,2124.02,4.39994e-05,4.83566e-05
88,2148.44,4.30826e-05,4.80179e-05
89,2172.85,4.31176e-05,4.99681e-05
90,2197.27,4.31911e-05,5.02864e-05
91,2221.68,4.27453e-05,4.9767e-05
92,2246.09,4.2772e-05,4.90773e-05
93,2270.51,4.31095e-05,4.98798e-05
94,2294.92,4.27591e-05,5.01465e-05
95,2319.34,4.26605e-05,4.91115e-05
96,2343.75,4.30896e-05,4.86023e-05
97,2368.16,4.35209e-05,4.89887e-05
98,2392.58,4.37764e-05,4.88179e-05
99,2416.99,4.33233e-05,4.86544e-05
100,2441.41,4.29138e-05,4.83167e-05
101,2465.82,4.25284e-05,4.83681e-05
102,2490.23,4.23846e-05,4.92202e-05
103,2514.65,4.29781e-05,4.95977e-05
104,2539.06,4.3512e-05,4.92111e-05
105,2563.48,4.38131e-05,4.94824e-05
106,2587.89,4.44306e-05,4.93952e-05
107,2612.3,4.40805e-05,4.86298e-05
108,2636.72,4.27535e-05,4.83094e-05
109,2661.13,4.29273e-05,4.89565e-05
110,2685.55,4.30561e-05,4.98932e-05
111,2709.96,4.32633e-05,5.03982e-05
112,2734.38,4.4485e-05,5.02916e-05
113,2758.79,4.50574e-05,4.96962e-05
114,2783.2,4.40352e-05,4.86573e-05
115,2807.62,4.30721e-05,4.85591e-05
116,2832.03,4.31004e-05,4.85913e-05
117,2856.45,4.29894e-05,4.80901e-05
118,2880.86,4.22986e-05,4.80229e-05
119,2905.27,4.24436e-05,4.88485e-05
120,2929.69,4.31205e-05,4.94865e-05
121,2954.1,4.32724e-05,4.93722e-05
122,2978.52,4.28384e-05,5.04413e-05
123,3002.93,4.29532e-05,5.16479e-05
124,3027.34,4.33466e-05,5.07415e-05
125,3051.76,4.36911e-05,4.98986e-05
126,3076.17,4.29552e-05,4.89282e-05
127,3100.59,4.23391e-05,4.85306e-05
128,3125,4.21076e-05,4.88538e-05
129,3149.41,4.20311e-05,4.91766e-05
130,3173.83,4.2418e-05,4.96515e-05
131,3198.24,4.26098e-05,4.96286e-05
132,3222.66,4.22553e-05,4.94911e-05
133,3247.07,4.24093e-05,5.0087e-05
134,3271.48,4.31282e-05,4.98399e-05
135,3295.9,4.38747e-05,4.86355e-05
136,3320.31,4.39532e-05,4.85945e-05
137,3344.73,4.32431e-05,4.90583e-05
138,3369.14,4.16545e-05,4.78345e-05
139,3393.55,4.07234e-05,4.71354e-05
140,3417.97,4.17313e-05,4.88119e-05
141,3442.38,4.28642e-05,5.02396e-05
142,3466.8,4.28028e-05,5.01791e-05
143,3491.21,4.309e-05,4.96376e-05
144,3515.63,4.36021e-05,4.95691e-05
145,3540.04,4.35815e-05,4.95158e-05
146,3564.45,4.24207e-05,4.9437e-05
147,3588.87,4.18081e-05,4.88603e-05
148,3613.28,4.26507e-05,4.86186e-05
149,3637.7,4.3764e-05,4.87513e-05
150,3662.11,4.32287e-05,4.81829e-05
151,3686.52,4.17961e-05,4.77655e-05
152,3710.94,4.20924e-05,4.76379e-05
153,3735.35,4.28968e-05,4.79008e-05
154,3759.77,4.33864e-05,4.93385e-05
155,3784.18,4.28279e-05,5.01828e-05
156,3808.59,4.18594e-05,4.95566e-05
157,3833.01,4.14011e-05,4.87731e-05
158,3857.42,4.14588e-05,4.894e-05
159,3881.84,4.24262e-05,4.91697e-05
160,3906.25,4.33763e-05,4.90471e-05
161,3930.66,4.24849e-05,4.94366e-05
162,3955.08,4.18976e-05,4.99894e-05
163,3979.49,4.21788e-05,5.07029e-05
164,4003.91,4.32054e-05,5.04707e-05
165,4028.32,4.32409e-05,4.95014e-05
166,4052.73,4.319e-05,4.902e-05
167,4077.15,4.3544e-05,4.8554e-05
168,4101.56,4.22372e-05,4.79612e-05
169,4125.98,4.11814e-05,4.7917e-05
170,4150.39,4.13169e-05,4.84335e-05
171,4174.8,4.16204e-05,4.89537e-05
172,4199.22,4.14259e-05,4.90379e-05
173,4223.63,4.06624e-05,4.82275e-05
174,4248.05,4.09939e-05,4.80072e-05
175,4272.46,4.17641e-05,4.81457e-05
176,4296.88,4.25238e-05,4.82188e-05
177,4321.29,4.24246e-05,4.88433e-05
178,4345.7,4.23572e-05,4.98081e-05
179,4370.12,4.24633e-05,5.02263e-05
180,4394.53,4.23873e-05,4.94599e-05
181,4418.95,4.29285e-05,4.93858e-05
182,4443.36,4.29474e-05,4.84912e-05
183,4467.77,4.28037e-05,4.77036e-05
184,4492.19,4.24161e-05,4.86625e-05
185,4516.6,4.15655e-05,4.88864e-05
186,4541.02,4.13903e-05,4.94284e-05
187,4565.43,4.19318e-05,4.99781e-05
188,4589.84,4.23551e-05,4.96167e-05
189,4614.26,4.30949e-05,4.94091e-05
190,4638.67,4.30834e-05,5.01766e-05
191,4663.09,4.29642e-05,4.98996e-05
192,4687.5,4.32635e-05,4.95379e-05
193,4711.91,4.24065e-05,4.92044e-05
194,4736.33,4.20907e-05,4.85775e-05
195,4760.74,4.26324e-05,4.81843e-05
196,4785.16,4.31586e-05,4.79069e-05
197,4809.57,4.3283e-05,4.8396e-05
198,4833.98,4.29425e-05,4.87954e-05
199,4858.4,4.27367e-05,4.91578e-05
200,4882.81,4.2651e-05,4.84139e-05
201,4907.23,4.29631e-05,4.79635e-05
202,4931.64,4.31784e-05,4.76993e-05
203,4956.05,4.2801e-05,4.71708e-05
204,4980.47,4.27495e-05,4.75326e-05
205,5004.88,4.29983e-05,4.73824e-05
206,5029.3,4.2281e-05,4.78425e-05
207,5053.71,4.24761e-05,4.86547e-05
208,5078.13,4.33591e-05,4.99779e-05
209,5102.54,4.31584e-05,4.9449e-05
210,5126.95,4.25224e-05,4.86461e-05
211,5151.37,4.28258e-05,4.87253e-05
212,5175.78,4.29934e-05,4.85398e-05
213,5200.2,4.17911e-05,4.873e-05
214,5224.61,4.16966e-05,4.8553e-05
215,5249.02,4.29323e-05,4.8603e-05
216,5273.44,4.28951e-05,4.87886e-05
217,5297.85,4.25435e-05,4.90601e-05
218,5322.27,4.28635e-05,4.90024e-05
219,5346.68,4.28331e-05,4.96931e-05
220,5371.09,4.29383e-05,4.99607e-05
221,5395.51,4.23646e-05,4.94273e-05
222,5419.92,4.17212e-05,4.94337e-05
223,5444.34,4.17012e-05,4.92837e-05
224,5468.75,4.21355e-05,4.89985e-05
225,5493.16,4.27002e-05,4.86318e-05
226,5517.58,4.24911e-05,4.84076e-05
227,5541.99,4.29076e-05,4.87425e-05
228,5566.41,4.34737e-05,4.87187e-05
229,5590.82,4.3088e-05,4.86722e-05
230,5615.23,4.3142e-05,4.90996e-05
231,5639.65,4.31292e-05,5.02086e-05
232,5664.06,4.25811e-05,4.96332e-05
233,5688.48,4.22357e-05,4.86686e-05
234,5712.89,4.23648e-05,4.87955e-05
235,5737.3,4.21948e-05,4.87283e-05
236,5761.72,4.18551e-05,4.84943e-05
237,5786.13,4.1829e-05,4.8258e-05
238,5810.55,4.24031e-05,4.81498e-05
239,5834.96,4.24962e-05,4.98098e-05
240,5859.38,4.29259e-05,4.98396e-05
241,5883.79,4.28995e-05,4.80108e-05
242,5908.2,4.23902e-05,4.81727e-05
243,5932.62,4.22994e-05,4.79408e-05
244,5957.03,4.2899e-05,4.74588e-05
245,5981.45,4.33781e-05,4.88203e-05
246,6005.86,4.27184e-05,5.00801e-05
247,6030.27,4.19205e-05,5.00751e-05
248,6054.69,4.23726e-05,4.94435e-05
249,6079.1,4.33262e-05,4.92674e-05
