Sample,Frequency(Hz),Amplitude CH1(V/rt(Hz)),Amplitude CH2(V/rt(Hz))
0,1,0.00969708,0.00124335
1,15.2588,0.00969708,0.00124335
2,30.5176,0.0028072,0.00035986
3,45.7764,0.000234457,0.0000299743
4,61.0352,0.0000281971,0.00000255612
5,76.2939,0.0000262823,0.00000247534
6,91.5527,0.0000249597,0.00000238659
7,106.812,0.0000233292,0.00000222662
8,122.07,0.0000215329,0.00000220241
9,137.329,0.0000210033,0.00000219118
10,152.588,0.0000214316,0.00000201323
11,167.847,0.0000220595,0.0000019243
12,183.105,0.0000221882,0.00000199969
13,198.364,0.0000214837,0.00000203798
14,213.623,0.0000207614,0.00000196804
15,228.882,0.0000205593,0.00000186872
16,244.141,0.0000203038,0.00000185597
17,259.399,0.0000204221,0.00000184453
18,274.658,0.00002082,0.00000182261
19,289.917,0.0000204734,0.00000179406
20,305.176,0.0000199964,0.00000180491
21,320.435,0.000019365,0.00000179628
22,335.693,0.0000182701,0.00000179827
23,350.952,0.0000179708,0.00000184958
24,366.211,0.0000182711,0.00000198922
25,381.47,0.0000195446,0.00000199344
26,396.729,0.0000201952,0.00000188135
27,411.987,0.0000194835,0.00000177381
28,427.246,0.0000192581,0.00000175817
29,442.505,0.0000195674,0.00000182218
30,457.764,0.0000189513,0.0000018565
31,473.022,0.0000184836,0.00000183652
32,488.281,0.0000181689,0.00000179324
33,503.54,0.0000188593,0.00000177764
34,518.799,0.0000194175,0.00000178213
35,534.058,0.0000199244,0.00000181263
36,549.316,0.0000203289,0.00000179142
37,564.575,0.0000209414,0.00000177151
38,579.834,0.0000207309,0.0000017848
39,595.093,0.0000197579,0.0000018767
40,610.352,0.0000196449,0.00000194488
41,625.61,0.0000198606,0.00000187917
42,640.869,0.0000199074,0.00000185069
43,656.128,0.0000205782,0.000001923
44,671.387,0.0000197523,0.00000191037
45,686.646,0.0000189312,0.00000189003
46,701.904,0.0000191563,0.00000194543
47,717.163,0.0000199698,0.00000196362
48,732.422,0.0000209457,0.00000190354
49,747.681,0.000021373,0.00000187012
50,762.939,0.0000203581,0.0000018885
51,778.198,0.0000202967,0.00000190889
52,793.457,0.0000201702,0.00000186521
53,808.716,0.0000208082,0.00000191054
54,823.975,0.0000224628,0.00000206091
55,839.233,0.0000218276,0.00000207759
56,854.492,0.0000207958,0.00000200486
57,869.751,0.0000211877,0.00000192451
58,885.01,0.0000208653,0.00000194883
59,900.269,0.000021038,0.00000203824
60,915.527,0.0000224907,0.00000212212
61,930.786,0.0000233342,0.00000220791
62,946.045,0.0000228196,0.00000211971
63,961.304,0.0000214988,0.0000019117
64,976.563,0.0000212153,0.00000190639
65,991.821,0.000021512,0.00000198047
66,1007.08,0.0000212053,0.00000199459
67,1022.34,0.0000207216,0.00000193362
68,1037.6,0.0000203819,0.00000191738
69,1052.86,0.0000208008,0.00000200069
70,1068.12,0.000021175,0.00000204964
71,1083.37,0.000020891,0.00000205098
72,1098.63,0.0000204581,0.00000197047
73,1113.89,0.0000207051,0.00000188502
74,1129.15,0.0000207834,0.00000194499
75,1144.41,0.0000202482,0.00000199572
76,1159.67,0.0000191611,0.0000019541
77,1174.93,0.0000188216,0.00000189385
78,1190.19,0.0000189921,0.00000179688
79,1205.44,0.000018931,0.0000017039
80,1220.7,0.0000193749,0.00000171607
81,1235.96,0.0000196415,0.00000172773
82,1251.22,0.0000193896,0.0000017495
83,1266.48,0.0000183329,0.00000175863
84,1281.74,0.0000179792,0.00000173845
85,1297,0.0000181051,0.000001727
86,1312.26,0.0000181366,0.00000171984
87,1327.51,0.0000182552,0.00000172588
88,1342.77,0.0000176255,0.00000166051
89,1358.03,0.000016953,0.0000016714
90,1373.29,0.0000167665,0.00000161062
91,1388.55,0.0000171309,0.00000150346
92,1403.81,0.0000172118,0.00000153544
93,1419.07,0.0000161354,0.00000154477
94,1434.33,0.0000160458,0.00000153165
95,1449.58,0.0000162526,0.00000152974
96,1464.84,0.0000163633,0.00000147347
97,1480.1,0.0000164132,0.00000153494
98,1495.36,0.0000170043,0.00000163316
99,1510.62,0.0000173101,0.00000164553
100,1525.88,0.0000166888,0.00000159533
101,1541.14,0.0000169216,0.00000142771
102,1556.4,0.0000169566,0.00000133936
103,1571.66,0.000016658,0.00000140603
104,1586.91,0.0000161081,0.00000144339
105,1602.17,0.0000151146,0.00000144243
106,1617.43,0.000014952,0.00000144737
107,1632.69,0.0000157516,0.00000150948
108,1647.95,0.000016486,0.00000151828
109,1663.21,0.0000157966,0.00000148373
110,1678.47,0.0000145034,0.00000153304
111,1693.73,0.0000146692,0.0000015459
112,1708.98,0.0000152379,0.00000150595
113,1724.24,0.0000147038,0.00000144235
114,1739.5,0.0000148455,0.00000142259
115,1754.76,0.0000160652,0.00000146594
116,1770.02,0.0000158589,0.00000146892
117,1785.28,0.0000152805,0.00000151355
118,1800.54,0.0000150514,0.00000151165
119,1815.8,0.0000155202,0.00000149183
120,1831.05,0.0000160473,0.00000144947
121,1846.31,0.0000156445,0.0000014206
