Sample,Frequency(Hz),Amplitude CH1(V/rt(Hz)),Amplitude CH2(V/rt(Hz))
0,1,0.000684289,0.000569126
1,24.4141,0.000684289,0.000569126
2,48.8281,0.000198054,0.000164939
3,73.2422,1.70623e-05,1.45706e-05
4,97.6563,4.58381e-06,4.78172e-06
5,122.07,4.55698e-06,4.73049e-06
6,146.484,4.43032e-06,4.67972e-06
7,170.898,4.25789e-06,4.61961e-06
8,195.313,4.20495e-06,4.59852e-06
9,219.727,4.19469e-06,4.62096e-06
10,244.141,4.14925e-06,4.66722e-06
11,268.555,4.19758e-06,4.63963e-06
12,292.969,4.2193e-06,4.65872e-06
13,317.383,4.23537e-06,4.62517e-06
14,341.797,4.24326e-06,4.57017e-06
15,366.211,4.31322e-06,4.61173e-06
16,390.625,4.29579e-06,4.67618e-06
17,415.039,4.32052e-06,4.63077e-06
18,439.453,4.37993e-06,4.60252e-06
19,463.867,4.37105e-06,4.55253e-06
20,488.281,4.34885e-06,4.53931e-06
21,512.695,4.33721e-06,4.5992e-06
22,537.109,4.2787e-06,4.64897e-06
23,561.523,4.33298e-06,4.6195e-06
24,585.938,4.40521e-06,4.65011e-06
25,610.352,4.35126e-06,4.57213e-06
26,634.766,4.32581e-06,4.55203e-06
27,659.18,4.27388e-06,4.52061e-06
28,683.594,4.19425e-06,4.56958e-06
29,708.008,4.19752e-06,4.71255e-06
30,732.422,4.27134e-06,4.7109e-06
31,756.836,4.3435e-06,4.68444e-06
32,781.25,4.35623e-06,4.6115e-06
33,805.664,4.31258e-06,4.64508e-06
34,830.078,4.24713e-06,4.67422e-06
35,854.492,4.2313e-06,4.6667e-06
36,878.906,4.23224e-06,4.68921e-06
37,903.32,4.1989e-06,4.6034e-06
38,927.734,4.21609e-06,4.52626e-06
39,952.148,4.30376e-06,4.57233e-06
40,976.563,4.3748e-06,4.58189e-06
41,1000.98,4.39748e-06,4.54104e-06
42,1025.39,4.35496e-06,4.47816e-06
43,1049.8,4.39069e-06,4.48284e-06
44,1074.22,4.44239e-06,4.45677e-06
45,1098.63,4.44245e-06,4.5225e-06
46,1123.05,4.4434e-06,4.54368e-06
47,1147.46,4.40647e-06,4.47458e-06
48,1171.88,4.35131e-06,4.55806e-06
49,1196.29,4.25178e-06,4.61584e-06
50,1220.7,4.24763e-06,4.50692e-06
51,1245.12,4.32647e-06,4.48191e-06
52,1269.53,4.24674e-06,4.48587e-06
53,1293.95,4.21924e-06,4.46024e-06
54,1318.36,4.24405e-06,4.48062e-06
55,1342.77,4.18562e-06,4.53285e-06
56,1367.19,4.18695e-06,4.60532e-06
57,1391.6,4.16152e-06,4.58741e-06
58,1416.02,4.0536e-06,4.50874e-06
59,1440.43,4.02228e-06,4.48154e-06
60,1464.84,4.15021e-06,4.4842e-06
61,1489.26,4.1629e-06,4.43367e-06
62,1513.67,4.09215e-06,4.38866e-06
63,1538.09,4.10338e-06,4.38719e-06
64,1562.5,4.13925e-06,4.47766e-06
65,1586.91,4.1625e-06,4.48538e-06
66,1611.33,4.18144e-06,4.42335e-06
67,1635.74,4.12709e-06,4.43536e-06
68,1660.16,4.08595e-06,4.43455e-06
69,1684.57,4.09105e-06,4.3979e-06
70,1708.98,4.1458e-06,4.3982e-06
71,1733.4,4.23766e-06,4.37242e-06
72,1757.81,4.23274e-06,4.36142e-06
73,1782.23,4.19758e-06,4.42645e-06
74,1806.64,4.25789e-06,4.45151e-06
75,1831.05,4.32431e-06,4.34704e-06
76,1855.47,4.30724e-06,4.34207e-06
77,1879.88,4.24683e-06,4.34658e-06
78,1904.3,4.21596e-06,4.3213e-06
79,1928.71,4.1798e-06,4.32614e-06
80,1953.13,4.10747e-06,4.33632e-06
81,1977.54,4.07395e-06,4.34751e-06
82,2001.95,4.11182e-06,4.38675e-06
83,2026.37,4.12628e-06,4.36558e-06
84,2050.78,4.20205e-06,4.36602e-06
85,2075.2,4.22849e-06,4.40765e-06
86,2099.61,4.18951e-06,4.47495e-06
87,2124.02,4.16235e-06,4.48423e-06
88,2148.44,4.14241e-06,4.46311e-06
89,2172.85,4.10884e-06,4.38828e-06
90,2197.27,4.08595e-06,4.35396e-06
91,2221.68,4.12854e-06,4.3988e-06
92,2246.09,4.134e-06,4.43966e-06
93,2270.51,4.10915e-06,4.40344e-06
94,2294.92,4.06889e-06,4.40145e-06
95,2319.34,4.08699e-06,4.42445e-06
96,2343.75,4.10584e-06,4.35986e-06
97,2368.16,4.16e-06,4.40268e-06
98,2392.58,4.15709e-06,4.51398e-06
99,2416.99,4.09487e-06,4.5296e-06
100,2441.41,4.04898e-06,4.50214e-06
101,2465.82,4.03952e-06,4.47363e-06
102,2490.23,4.13714e-06,4.43235e-06
103,2514.65,4.19554e-06,4.42243e-06
104,2539.06,4.12208e-06,4.42338e-06
105,2563.48,4.11093e-06,4.34711e-06
106,2587.89,4.13635e-06,4.34606e-06
107,2612.3,4.10075e-06,4.37323e-06
108,2636.72,4.08578e-06,4.35769e-06
109,2661.13,4.09972e-06,4.39583e-06
110,2685.55,4.14176e-06,4.45435e-06
111,2709.96,4.15142e-06,4.5006e-06
112,2734.38,4.1037e-06,4.46935e-06
113,2758.79,4.0851e-06,4.42997e-06
114,2783.2,4.11887e-06,4.42251e-06
115,2807.62,4.06616e-06,4.35027e-06
116,2832.03,4.01892e-06,4.19633e-06
117,2856.45,4.12546e-06,4.12783e-06
118,2880.86,4.17674e-06,4.22809e-06
119,2905.27,4.14516e-06,4.35057e-06
120,2929.69,4.07192e-06,4.38376e-06
121,2954.1,4.07598e-06,4.40373e-06
122,2978.52,4.11453e-06,4.36018e-06
123,3002.93,4.09215e-06,4.36268e-06
124,3027.34,4.05939e-06,4.42751e-06
125,3051.76,4.10575e-06,4.41329e-06
126,3076.17,4.13956e-06,4.34773e-06
127,3100.59,4.05063e-06,4.36778e-06
128,3125,4.03762e-06,4.41342e-06
129,3149.41,4.03511e-06,4.34391e-06
130,3173.83,4.04488e-06,4.34295e-06
131,3198.24,4.06855e-06,4.37137e-06
132,3222.66,4.09221e-06,4.36819e-06
133,3247.07,4.09281e-06,4.41184e-06
134,3271.48,4.11149e-06,4.40144e-06
135,3295.9,4.09465e-06,4.36638e-06
136,3320.31,4.01726e-06,4.34386e-06
137,3344.73,3.98379e-06,4.37826e-06
138,3369.14,4.05352e-06,4.45675e-06
139,3393.55,4.12854e-06,4.40612e-06
140,3417.97,4.12351e-06,4.37645e-06
141,3442.38,4.0889e-06,4.36415e-06
142,3466.8,4.12664e-06,4.36517e-06
143,3491.21,4.17449e-06,4.36924e-06
144,3515.63,4.14645e-06,4.28556e-06
145,3540.04,4.19831e-06,4.24037e-06
146,3564.45,4.19053e-06,4.18512e-06
147,3588.87,4.09119e-06,4.20056e-06
148,3613.28,4.06668e-06,4.23764e-06
149,3637.7,4.15033e-06,4.27558e-06
150,3662.11,4.19982e-06,4.31677e-06
151,3686.52,4.19699e-06,4.38176e-06
152,3710.94,4.19145e-06,4.37224e-06
153,3735.35,4.23711e-06,4.40094e-06
154,3759.77,4.21132e-06,4.42574e-06
155,3784.18,4.09701e-06,4.37721e-06
156,3808.59,3.9953e-06,4.34781e-06
157,3833.01,4.06504e-06,4.36747e-06
158,3857.42,4.19922e-06,4.43811e-06
159,3881.84,4.27519e-06,4.48795e-06
160,3906.25,4.1842e-06,4.38654e-06
161,3930.66,4.09924e-06,4.30938e-06
162,3955.08,4.04935e-06,4.35474e-06
163,3979.49,4.02284e-06,4.28199e-06
164,4003.91,4.04924e-06,4.34413e-06
165,4028.32,4.05308e-06,4.43236e-06
166,4052.73,4.06047e-06,4.40579e-06
167,4077.15,3.99449e-06,4.38157e-06
168,4101.56,3.97002e-06,4.28691e-06
169,4125.98,4.04369e-06,4.24359e-06
170,4150.39,4.04916e-06,4.32734e-06
171,4174.8,4.06389e-06,4.37466e-06
172,4199.22,4.13697e-06,4.33441e-06
173,4223.63,4.16252e-06,4.27257e-06
174,4248.05,4.07882e-06,4.30606e-06
175,4272.46,4.02711e-06,4.33843e-06
176,4296.88,4.04678e-06,4.33916e-06
177,4321.29,4.02038e-06,4.39501e-06
178,4345.7,4.04672e-06,4.48409e-06
179,4370.12,4.06225e-06,4.46385e-06
180,4394.53,4.14432e-06,4.4173e-06
181,4418.95,4.15018e-06,4.42769e-06
182,4443.36,4.13217e-06,4.44401e-06
183,4467.77,4.09858e-06,4.3597e-06
184,4492.19,4.04366e-06,4.27165e-06
185,4516.6,4.1066e-06,4.2896e-06
186,4541.02,4.10001e-06,4.24643e-06
187,4565.43,4.12244e-06,4.26233e-06
188,4589.84,4.12632e-06,4.32151e-06
189,4614.26,4.08915e-06,4.32787e-06
190,4638.67,4.05107e-06,4.27524e-06
191,4663.09,4.02771e-06,4.28514e-06
192,4687.5,4.05526e-06,4.35255e-06
193,4711.91,4.05449e-06,4.41869e-06
194,4736.33,4.0808e-06,4.36538e-06
195,4760.74,4.07514e-06,4.36583e-06
196,4785.16,4.05634e-06,4.43551e-06
197,4809.57,4.08467e-06,4.36326e-06
198,4833.98,4.07642e-06,4.35032e-06
199,4858.4,4.08341e-06,4.3463e-06
200,4882.81,4.0562e-06,4.36352e-06
201,4907.23,4.00526e-06,4.43662e-06
202,4931.64,4.0528e-06,4.42127e-06
203,4956.05,4.13279e-06,4.3815e-06
204,4980.47,4.10059e-06,4.42145e-06
205,5004.88,4.00434e-06,4.45049e-06
206,5029.3,3.9918e-06,4.38458e-06
207,5053.71,4.04783e-06,4.31989e-06
208,5078.13,4.10513e-06,4.33104e-06
209,5102.54,4.07686e-06,4.37173e-06
210,5126.95,4.0718e-06,4.34057e-06
211,5151.37,4.09869e-06,4.27453e-06
212,5175.78,4.12312e-06,4.32662e-06
213,5200.2,4.08014e-06,4.37245e-06
214,5224.61,4.08471e-06,4.32958e-06
215,5249.02,4.1549e-06,4.27903e-06
216,5273.44,4.16831e-06,4.32807e-06
217,5297.85,4.17804e-06,4.42077e-06
218,5322.27,4.13388e-06,4.39966e-06
219,5346.68,4.09495e-06,4.3202e-06
220,5371.09,4.06665e-06,4.33633e-06
221,5395.51,4.12592e-06,4.37124e-06
222,5419.92,4.16962e-06,4.43643e-06
223,5444.34,4.10137e-06,4.40495e-06
224,5468.75,4.11509e-06,4.33714e-06
225,5493.16,4.09987e-06,4.35345e-06
226,5517.58,4.02708e-06,4.37266e-06
227,5541.99,4.02835e-06,4.37731e-06
228,5566.41,4.03913e-06,4.43366e-06
229,5590.82,4.03857e-06,4.39784e-06
230,5615.23,4.05748e-06,4.35063e-06
231,5639.65,4.07993e-06,4.39158e-06
232,5664.06,4.14034e-06,4.40942e-06
233,5688.48,4.1513e-06,4.40505e-06
234,5712.89,4.1437e-06,4.44347e-06
235,5737.3,4.13401e-06,4.42268e-06
236,5761.72,4.1053e-06,4.38831e-06
237,5786.13,4.13722e-06,4.37299e-06
238,5810.55,4.08972e-06,4.27094e-06
239,5834.96,4.04233e-06,4.25057e-06
240,5859.38,4.0502e-06,4.3223e-06
241,5883.79,4.06055e-06,4.30517e-06
242,5908.2,4.16131e-06,4.25028e-06
243,5932.62,4.16432e-06,4.24619e-06
244,5957.03,4.03587e-06,4.27553e-06
245,5981.45,4.05837e-06,4.27811e-06
246,6005.86,4.10167e-06,4.25977e-06
247,6030.27,4.13359e-06,4.26014e-06
248,6054.69,4.06345e-06,4.2705e-06
249,6079.1,4.0849e-06,4.26594e-06
250,6103.52,4.12327e-06,4.29515e-06
251,6127.93,4.11368e-06,4.2828e-06
252,6152.34,4.10337e-06,4.28366e-06
253,6176.76,4.07735e-06,4.30933e-06
254,6201.17,4.09069e-06,4.37406e-06
255,6225.59,4.10606e-06,4.36174e-06
256,6250,4.04424e-06,4.36981e-06
257,6274.41,3.93827e-06,4.44426e-06
258,6298.83,3.96008e-06,4.47156e-06
259,6323.24,4.1063e-06,4.47407e-06
260,6347.66,4.18998e-06,4.43789e-06
261,6372.07,4.13722e-06,4.40893e-06
262,6396.48,4.08683e-06,4.38154e-06
263,6420.9,4.09398e-06,4.31427e-06
264,6445.31,4.08822e-06,4.23535e-06
265,6469.73,4.11531e-06,4.27469e-06
266,6494.14,4.09483e-06,4.38726e-06
267,6518.55,3.99043e-06,4.40376e-06
268,6542.97,3.91273e-06,4.39004e-06
269,6567.38,3.97836e-06,4.31314e-06
270,6591.8,4.07116e-06,4.23964e-06
271,6616.21,4.11939e-06,4.25583e-06
272,6640.63,4.1044e-06,4.25263e-06
273,6665.04,4.0877e-06,4.2958e-06
274,6689.45,4.05963e-06,4.37334e-06
275,6713.87,4.03337e-06,4.40175e-06
276,6738.28,4.01698e-06,4.38041e-06
277,6762.7,4.06936e-06,4.37909e-06
278,6787.11,4.11781e-06,4.45555e-06
279,6811.52,4.01149e-06,4.519e-06
280,6835.94,3.92113e-06,4.45224e-06
281,6860.35,3.95603e-06,4.3833e-06
282,6884.77,4.03478e-06,4.35572e-06
283,6909.18,4.04283e-06,4.40272e-06
284,6933.59,4.00703e-06,4.46692e-06
285,6958.01,4.07425e-06,4.51078e-06
286,6982.42,4.15107e-06,4.48763e-06
287,7006.84,4.04061e-06,4.40116e-06
288,7031.25,3.99921e-06,4.33401e-06
289,7055.66,4.10188e-06,4.30831e-06
290,7080.08,4.13407e-06,4.30634e-06
291,7104.49,4.09787e-06,4.26789e-06
292,7128.91,4.08253e-06,4.25112e-06
293,7153.32,4.00931e-06,4.27386e-06
294,7177.73,4.01576e-06,4.32771e-06
295,7202.15,4.06938e-06,4.41685e-06
296,7226.56,3.9833e-06,4.48494e-06
297,7250.98,3.99295e-06,4.50181e-06
298,7275.39,4.13813e-06,4.44862e-06
299,7299.8,4.16973e-06,4.38268e-06
300,7324.22,4.11894e-06,4.38422e-06
301,7348.63,4.07399e-06,4.34998e-06
302,7373.05,4.08515e-06,4.35937e-06
303,7397.46,4.05874e-06,4.36578e-06
304,7421.88,4.06715e-06,4.36489e-06
305,7446.29,4.11178e-06,4.35771e-06
306,7470.7,4.14542e-06,4.38112e-06
307,7495.12,4.15971e-06,4.43005e-06
308,7519.53,4.17489e-06,4.42789e-06
309,7543.95,4.19507e-06,4.40703e-06
310,7568.36,4.1358e-06,4.41075e-06
311,7592.77,4.06996e-06,4.34475e-06
312,7617.19,4.09182e-06,4.27877e-06
313,7641.6,4.14387e-06,4.33321e-06
314,7666.02,4.11623e-06,4.33858e-06
315,7690.43,4.09452e-06,4.33205e-06
316,7714.84,4.02164e-06,4.33911e-06
317,7739.26,3.9515e-06,4.34666e-06
318,7763.67,3.9491e-06,4.35467e-06
319,7788.09,3.97101e-06,4.34423e-06
320,7812.5,4.02022e-06,4.33987e-06
321,7836.91,4.08007e-06,4.44999e-06
322,7861.33,4.09257e-06,4.50225e-06
323,7885.74,4.0979e-06,4.35252e-06
324,7910.16,4.0632e-06,4.29784e-06
325,7934.57,4.01449e-06,4.35922e-06
326,7958.98,4.06775e-06,4.33182e-06
327,7983.4,4.15958e-06,4.35539e-06
328,8007.81,4.10053e-06,4.35803e-06
329,8032.23,3.996e-06,4.28188e-06
330,8056.64,3.94145e-06,4.28289e-06
331,8081.05,3.94759e-06,4.32619e-06
332,8105.47,4.03379e-06,4.39969e-06
333,8129.88,4.06355e-06,4.44469e-06
334,8154.3,4.06368e-06,4.47705e-06
335,8178.71,4.02021e-06,4.4816e-06
336,8203.13,3.9222e-06,4.33689e-06
337,8227.54,3.98463e-06,4.30719e-06
338,8251.95,4.09176e-06,4.39076e-06
339,8276.37,4.17408e-06,4.39807e-06
340,8300.78,4.16121e-06,4.36812e-06
341,8325.2,4.0905e-06,4.33776e-06
342,8349.61,4.09243e-06,4.34179e-06
343,8374.02,4.19926e-06,4.3527e-06
344,8398.44,4.19927e-06,4.31102e-06
345,8422.85,4.16395e-06,4.33643e-06
346,8447.27,4.14924e-06,4.38946e-06
347,8471.68,4.11762e-06,4.32577e-06
348,8496.09,4.0804e-06,4.34111e-06
349,8520.51,4.0236e-06,4.37267e-06
350,8544.92,4.05276e-06,4.35653e-06
351,8569.34,4.10794e-06,4.28974e-06
352,8593.75,4.12188e-06,4.29167e-06
353,8618.16,4.05732e-06,4.43639e-06
354,8642.58,4.00663e-06,4.42726e-06
355,8666.99,4.12099e-06,4.29855e-06
356,8691.41,4.18008e-06,4.27859e-06
357,8715.82,4.12765e-06,4.38435e-06
358,8740.23,4.11171e-06,4.47646e-06
359,8764.65,4.05191e-06,4.39314e-06
360,8789.06,4.07958e-06,4.29761e-06
361,8813.48,4.10961e-06,4.28913e-06
362,8837.89,4.02798e-06,4.29152e-06
363,8862.3,4.03259e-06,4.32244e-06
364,8886.72,4.05054e-06,4.35869e-06
365,8911.13,4.02356e-06,4.36062e-06
366,8935.55,4.04229e-06,4.34094e-06
367,8959.96,4.02769e-06,4.3609e-06
368,8984.38,3.98785e-06,4.33332e-06
369,9008.79,4.06608e-06,4.2906e-06
370,9033.2,4.11807e-06,4.28848e-06
371,9057.62,4.1874e-06,4.27371e-06
372,9082.03,4.22236e-06,4.30082e-06
373,9106.45,4.13277e-06,4.38126e-06
374,9130.86,4.14355e-06,4.33106e-06
375,9155.27,4.18422e-06,4.31533e-06
376,9179.69,4.08694e-06,4.33564e-06
377,9204.1,4.05534e-06,4.25223e-06
378,9228.52,4.00864e-06,4.20977e-06
379,9252.93,4.01085e-06,4.32439e-06
380,9277.34,4.06971e-06,4.37999e-06
381,9301.76,4.06717e-06,4.3286e-06
382,9326.17,3.9876e-06,4.3209e-06
383,9350.59,3.9937e-06,4.34945e-06
384,9375,4.08513e-06,4.36084e-06
385,9399.41,4.12088e-06,4.44613e-06
386,9423.83,4.12553e-06,4.39549e-06
387,9448.24,4.11311e-06,4.36349e-06
388,9472.66,4.14038e-06,4.38313e-06
389,9497.07,4.16082e-06,4.31473e-06
390,9521.48,4.10344e-06,4.36657e-06
391,9545.9,4.08126e-06,4.36421e-06
392,9570.31,4.05852e-06,4.35579e-06
393,9594.73,4.02689e-06,4.48168e-06
394,9619.14,4.033e-06,4.52479e-06
395,9643.55,4.07359e-06,4.41506e-06
396,9667.97,4.07203e-06,4.33843e-06
397,9692.38,4.0464e-06,4.30788e-06
398,9716.8,4.04445e-06,4.34067e-06
399,9741.21,4.07552e-06,4.44901e-06
400,9765.63,4.11259e-06,4.51468e-06
401,9790.04,4.11917e-06,4.41751e-06
402,9814.45,4.15195e-06,4.36904e-06
403,9838.87,4.16432e-06,4.36815e-06
404,9863.28,4.09496e-06,4.35757e-06
405,9887.7,4.05426e-06,4.34043e-06
406,9912.11,4.05007e-06,4.29838e-06
407,9936.52,4.06288e-06,4.36873e-06
408,9960.94,4.03163e-06,4.39198e-06
409,9985.35,4.11292e-06,4.30111e-06
410,10009.8,4.20105e-06,4.27687e-06
411,10034.2,4.19956e-06,4.3277e-06
412,10058.6,4.17581e-06,4.34498e-06
413,10083,4.10733e-06,4.41171e-06
414,10107.4,4.04249e-06,4.41721e-06
415,10131.8,3.90447e-06,4.41744e-06
416,10156.3,3.89884e-06,4.39081e-06
417,10180.7,3.97459e-06,4.37453e-06
418,10205.1,4.04864e-06,4.40469e-06
419,10229.5,4.14209e-06,4.45546e-06
420,10253.9,4.10578e-06,4.39396e-06
421,10278.3,4.05807e-06,4.25125e-06
422,10302.7,4.12987e-06,4.25523e-06
423,10327.1,4.10396e-06,4.27993e-06
424,10351.6,4.03046e-06,4.28731e-06
425,10376,4.00377e-06,4.29224e-06
426,10400.4,4.01372e-06,4.29642e-06
427,10424.8,4.08758e-06,4.34201e-06
428,10449.2,3.96942e-06,4.38052e-06
429,10473.6,3.93177e-06,4.35342e-06
430,10498,4.05636e-06,4.24732e-06
431,10522.5,4.11745e-06,4.2818e-06
432,10546.9,4.11629e-06,4.37049e-06
433,10571.3,4.09727e-06,4.35574e-06
434,10595.7,4.05531e-06,4.34343e-06
435,10620.1,4.05865e-06,4.3166e-06
436,10644.5,4.07433e-06,4.31721e-06
437,10668.9,4.01844e-06,4.36181e-06
438,10693.4,3.99422e-06,4.43048e-06
439,10717.8,4.02606e-06,4.40537e-06
440,10742.2,4.00924e-06,4.30033e-06
441,10766.6,4.1341e-06,4.2373e-06
442,10791,4.18971e-06,4.21378e-06
443,10815.4,4.10279e-06,4.30034e-06
444,10839.8,4.03919e-06,4.35091e-06
445,10864.3,4.00616e-06,4.30417e-06
446,10888.7,4.01552e-06,4.32216e-06
447,10913.1,4.07585e-06,4.33882e-06
448,10937.5,4.10701e-06,4.31639e-06
449,10961.9,4.06184e-06,4.28317e-06
450,10986.3,4.02995e-06,4.29886e-06
451,11010.7,4.05303e-06,4.38739e-06
452,11035.2,4.06429e-06,4.39748e-06
453,11059.6,4.12734e-06,4.32156e-06
454,11084,4.15267e-06,4.32536e-06
455,11108.4,4.05903e-06,4.36479e-06
456,11132.8,4.07224e-06,4.31265e-06
457,11157.2,4.13953e-06,4.29256e-06
458,11181.6,4.11532e-06,4.38954e-06
459,11206.1,4.12714e-06,4.40933e-06
460,11230.5,4.14488e-06,4.31924e-06
461,11254.9,4.01334e-06,4.3111e-06
462,11279.3,3.96397e-06,4.42277e-06
463,11303.7,4.07261e-06,4.45783e-06
464,11328.1,4.1201e-06,4.40983e-06
465,11352.5,4.02153e-06,4.37471e-06
466,11377,3.97168e-06,4.33689e-06
467,11401.4,4.07227e-06,4.37293e-06
468,11425.8,4.10393e-06,4.38614e-06
469,11450.2,4.09377e-06,4.26472e-06
470,11474.6,4.13196e-06,4.24178e-06
471,11499,4.11459e-06,4.27435e-06
472,11523.4,4.06157e-06,4.28059e-06
473,11547.9,4.01401e-06,4.33969e-06
