;Scopy version,f4beeb1
;Exported on,Monday October 28/10/2024
;Device,M2K
;Nr of samples,4096
;Sample rate,0
;Tool,Spectrum Analyzer
;Additional Information,Exponential RMS,Blackman-Harris,500,Exponential RMS,Blackman-Harris,500,
Sample,Frequency(Hz),Amplitude CH1(V/?Hz),Amplitude CH2(V/?Hz)
0,1,0.018617,0.000704586
1,24.4141,0.018617,0.000704586
2,48.8281,0.00538956,0.000204008
3,73.2422,0.000452473,1.75398e-05
4,97.6563,7.03289e-05,4.3016e-06
5,122.07,7.01868e-05,4.17151e-06
6,146.484,6.98082e-05,4.22905e-06
7,170.898,6.91343e-05,4.31834e-06
8,195.313,6.97111e-05,4.28628e-06
9,219.727,7.04171e-05,4.2089e-06
10,244.141,7.01332e-05,4.18046e-06
11,268.555,7.06997e-05,4.16439e-06
12,292.969,7.23789e-05,4.15888e-06
13,317.383,7.32855e-05,4.21165e-06
14,341.797,7.21001e-05,4.20431e-06
15,366.211,7.07382e-05,4.13085e-06
16,390.625,6.94535e-05,4.12354e-06
17,415.039,6.90008e-05,4.14337e-06
18,439.453,6.83845e-05,4.09651e-06
19,463.867,6.80314e-05,4.13866e-06
20,488.281,6.81238e-05,4.22364e-06
21,512.695,6.86449e-05,4.18262e-06
22,537.109,6.88989e-05,4.15748e-06
23,561.523,6.85092e-05,4.10642e-06
24,585.938,6.87771e-05,4.02148e-06
25,610.352,6.93188e-05,4.02727e-06
26,634.766,6.99002e-05,4.06048e-06
27,659.18,7.07897e-05,4.07497e-06
28,683.594,6.97018e-05,4.09439e-06
29,708.008,6.90166e-05,4.15773e-06
30,732.422,7.08481e-05,4.27711e-06
31,756.836,7.09531e-05,4.28312e-06
32,781.25,6.86859e-05,4.19189e-06
33,805.664,6.73389e-05,4.20647e-06
34,830.078,6.77884e-05,4.21894e-06
35,854.492,6.82908e-05,4.20561e-06
36,878.906,6.82875e-05,4.19682e-06
37,903.32,6.95157e-05,4.21083e-06
38,927.734,7.05033e-05,4.2494e-06
39,952.148,7.07085e-05,4.26488e-06
40,976.563,7.07408e-05,4.21789e-06
41,1000.98,7.08661e-05,4.20769e-06
42,1025.39,7.16014e-05,4.25991e-06
43,1049.8,7.17805e-05,4.26629e-06
44,1074.22,7.04747e-05,4.21332e-06
45,1098.63,6.92695e-05,4.11716e-06
46,1123.05,6.98288e-05,4.02185e-06
47,1147.46,7.1461e-05,4.04581e-06
48,1171.88,7.13158e-05,4.13255e-06
49,1196.29,7.10699e-05,4.16569e-06
50,1220.7,7.15672e-05,4.0605e-06
51,1245.12,7.08846e-05,4.05899e-06
52,1269.53,7.0238e-05,4.06133e-06
53,1293.95,7.03562e-05,4.06229e-06
54,1318.36,6.93801e-05,4.08359e-06
55,1342.77,6.87977e-05,4.04678e-06
56,1367.19,7.02972e-05,3.98339e-06
57,1391.6,7.16797e-05,3.89949e-06
58,1416.02,7.06633e-05,3.84582e-06
59,1440.43,6.88187e-05,3.91917e-06
60,1464.84,6.832e-05,3.97753e-06
61,1489.26,6.91923e-05,3.99515e-06
62,1513.67,6.96875e-05,3.98391e-06
63,1538.09,6.99003e-05,3.95117e-06
64,1562.5,7.04292e-05,3.90942e-06
65,1586.91,7.00305e-05,3.942e-06
66,1611.33,7.10153e-05,4.03777e-06
67,1635.74,7.17845e-05,4.08678e-06
68,1660.16,7.07691e-05,4.05269e-06
69,1684.57,7.00781e-05,4.00906e-06
70,1708.98,7.04373e-05,4.00478e-06
71,1733.4,7.10473e-05,3.98746e-06
72,1757.81,7.0653e-05,3.933e-06
73,1782.23,6.89236e-05,3.89348e-06
74,1806.64,6.88983e-05,3.92096e-06
75,1831.05,6.97131e-05,3.9719e-06
76,1855.47,7.03909e-05,3.97603e-06
77,1879.88,7.12194e-05,3.95446e-06
78,1904.3,7.17449e-05,3.98434e-06
79,1928.71,7.02311e-05,3.98351e-06
80,1953.13,6.89205e-05,3.89749e-06
81,1977.54,7.01759e-05,3.82046e-06
82,2001.95,7.11074e-05,3.86142e-06
83,2026.37,7.12337e-05,3.9947e-06
84,2050.78,7.02355e-05,3.93722e-06
85,2075.2,6.97845e-05,3.8246e-06
86,2099.61,7.08144e-05,3.9141e-06
87,2124.02,7.13889e-05,4.02474e-06
88,2148.44,7.08487e-05,4.03595e-06
89,2172.85,7.04038e-05,3.97773e-06
90,2197.27,7.07209e-05,3.97956e-06
91,2221.68,7.07928e-05,3.95264e-06
92,2246.09,7.083e-05,3.90786e-06
93,2270.51,6.98064e-05,4.05057e-06
94,2294.92,6.92005e-05,4.0945e-06
95,2319.34,6.9902e-05,4.00879e-06
96,2343.75,7.04208e-05,3.94964e-06
97,2368.16,7.00038e-05,3.93279e-06
98,2392.58,6.98708e-05,3.88234e-06
99,2416.99,7.00757e-05,3.83575e-06
100,2441.41,7.0644e-05,3.89313e-06
101,2465.82,7.00682e-05,3.9149e-06
102,2490.23,6.93352e-05,3.93979e-06
103,2514.65,7.00152e-05,3.96402e-06
104,2539.06,6.98416e-05,4.00732e-06
105,2563.48,7.00184e-05,4.01238e-06
106,2587.89,7.04356e-05,3.93309e-06
107,2612.3,6.96369e-05,3.88385e-06
108,2636.72,7.01031e-05,3.82321e-06
