Sample,Frequency(Hz),Amplitude CH1(V/rt(Hz)),Amplitude CH2(V/rt(Hz))
0,1,0.00106491,0.00094592
1,24.4141,0.00106491,0.00094592
2,48.8281,0.00030811,0.000273844
3,73.2422,0.0000258002,0.0000231367
4,97.6563,0.00000448925,0.00000428199
5,122.07,0.00000442487,0.00000419696
6,146.484,0.0000044377,0.00000413767
7,170.898,0.00000432089,0.00000413825
8,195.313,0.00000420927,0.00000416937
9,219.727,0.00000421026,0.00000415605
10,244.141,0.00000421968,0.00000413469
11,268.555,0.00000421667,0.00000411362
12,292.969,0.00000419066,0.00000413881
13,317.383,0.00000417569,0.00000414195
14,341.797,0.0000041598,0.0000040294
15,366.211,0.00000416732,0.00000397069
16,390.625,0.00000414724,0.00000398566
17,415.039,0.0000041395,0.00000402608
18,439.453,0.00000420371,0.00000409124
19,463.867,0.00000425423,0.00000407314
20,488.281,0.00000426031,0.00000404788
21,512.695,0.00000423839,0.00000403575
22,537.109,0.00000422282,0.00000404633
23,561.523,0.00000419115,0.00000405159
24,585.938,0.00000421214,0.00000404452
25,610.352,0.00000421259,0.00000409326
26,634.766,0.00000415129,0.00000420069
27,659.18,0.00000407965,0.00000421523
28,683.594,0.00000408769,0.00000413122
29,708.008,0.00000410897,0.00000403401
30,732.422,0.00000414346,0.00000409319
31,756.836,0.00000419993,0.00000416515
32,781.25,0.00000425958,0.00000417406
33,805.664,0.00000429242,0.00000419211
34,830.078,0.00000431895,0.0000041762
35,854.492,0.00000445862,0.00000420553
36,878.906,0.00000447029,0.00000425426
37,903.32,0.00000433903,0.0000042102
38,927.734,0.00000427378,0.00000418737
39,952.148,0.00000427251,0.00000419417
40,976.563,0.00000430313,0.00000423363
41,1000.98,0.00000433456,0.00000424742
42,1025.39,0.00000433878,0.00000415532
43,1049.8,0.00000424868,0.00000412871
44,1074.22,0.00000414662,0.00000412628
45,1098.63,0.00000412432,0.00000417305
46,1123.05,0.00000409911,0.00000417471
47,1147.46,0.00000409636,0.00000417471
48,1171.88,0.00000417859,0.00000409984
49,1196.29,0.00000426535,0.0000040499
