Sample,Frequency(Hz),Amplitude CH1(V/rt(Hz)),Amplitude CH2(V/rt(Hz))
0,1,0.00745378,0.00501684
1,24.4141,0.00745378,0.00501684
2,48.8281,0.00215976,0.00145396
3,73.2422,0.000188222,0.00013409
4,97.6563,0.0000483174,0.0000572631
5,122.07,0.0000471721,0.0000572232
6,146.484,0.0000467147,0.0000565441
7,170.898,0.0000452866,0.0000556032
8,195.313,0.0000462264,0.0000541302
9,219.727,0.0000463562,0.0000536897
10,244.141,0.0000451942,0.0000540136
11,268.555,0.0000454786,0.0000553987
12,292.969,0.0000456534,0.0000560947
13,317.383,0.000045077,0.0000549848
14,341.797,0.0000447198,0.000054229
15,366.211,0.0000447171,0.0000546857
16,390.625,0.0000447073,0.0000542861
17,415.039,0.0000452148,0.0000537601
18,439.453,0.0000452196,0.0000537187
19,463.867,0.0000442034,0.0000542778
20,488.281,0.0000443129,0.0000548007
21,512.695,0.0000446052,0.0000548186
22,537.109,0.0000437257,0.0000549668
23,561.523,0.0000440051,0.0000550611
24,585.938,0.0000452819,0.0000539852
25,610.352,0.0000459995,0.0000531605
26,634.766,0.0000455132,0.0000538739
27,659.18,0.0000440588,0.0000544316
28,683.594,0.0000434885,0.0000551105
29,708.008,0.0000446391,0.0000548382
30,732.422,0.0000457206,0.0000539947
31,756.836,0.0000460132,0.000053268
32,781.25,0.0000454796,0.0000541498
33,805.664,0.0000459526,0.0000548205
34,830.078,0.0000470084,0.0000545621
35,854.492,0.0000471774,0.0000557408
36,878.906,0.0000462899,0.0000563384
37,903.32,0.0000448274,0.0000559673
38,927.734,0.0000447225,0.0000564429
39,952.148,0.0000466249,0.0000566456
40,976.563,0.0000476317,0.0000558179
41,1000.98,0.0000471191,0.0000563644
42,1025.39,0.0000464926,0.0000564863
43,1049.8,0.0000461065,0.0000553887
44,1074.22,0.0000450402,0.0000544559
45,1098.63,0.0000457047,0.0000547888
46,1123.05,0.000046301,0.0000560544
47,1147.46,0.0000456717,0.0000558939
48,1171.88,0.0000448563,0.0000549467
49,1196.29,0.0000446223,0.0000544206
50,1220.7,0.0000442021,0.0000547499
51,1245.12,0.0000441787,0.0000551795
52,1269.53,0.0000447597,0.0000547869
53,1293.95,0.0000435652,0.000054314
54,1318.36,0.0000431154,0.0000544248
55,1342.77,0.000044292,0.0000540182
56,1367.19,0.0000446367,0.0000540056
57,1391.6,0.0000436016,0.0000543016
58,1416.02,0.0000425688,0.0000532239
59,1440.43,0.0000433403,0.0000529669
60,1464.84,0.0000440227,0.0000538635
61,1489.26,0.0000432808,0.0000530338
62,1513.67,0.0000432048,0.000052108
63,1538.09,0.0000436093,0.0000519578
64,1562.5,0.0000430117,0.0000519138
65,1586.91,0.0000427873,0.0000527703
66,1611.33,0.0000428294,0.000053916
67,1635.74,0.0000429084,0.0000534384
68,1660.16,0.0000439678,0.0000530947
69,1684.57,0.0000443504,0.0000529452
70,1708.98,0.0000439133,0.0000527089
71,1733.4,0.0000435873,0.0000535013
72,1757.81,0.0000431471,0.000052689
73,1782.23,0.0000422173,0.0000524466
74,1806.64,0.000043296,0.0000521787
75,1831.05,0.0000444021,0.0000519964
76,1855.47,0.0000434672,0.000051952
77,1879.88,0.0000428352,0.0000523074
78,1904.3,0.0000436696,0.0000534955
79,1928.71,0.0000434,0.0000539281
80,1953.13,0.0000420659,0.00005308
81,1977.54,0.0000415496,0.0000527781
82,2001.95,0.0000415384,0.0000532909
83,2026.37,0.0000418279,0.0000525455
84,2050.78,0.000042626,0.0000520928
85,2075.2,0.0000430817,0.0000528938
86,2099.61,0.0000430787,0.0000534203
87,2124.02,0.0000433958,0.0000519688
88,2148.44,0.0000435114,0.0000505235
89,2172.85,0.0000437374,0.0000515272
90,2197.27,0.0000438811,0.0000524495
91,2221.68,0.0000433038,0.0000518059
92,2246.09,0.000042517,0.0000508747
93,2270.51,0.0000428739,0.0000519234
94,2294.92,0.0000434192,0.000052992
95,2319.34,0.0000434375,0.0000540776
96,2343.75,0.000044105,0.0000538549
97,2368.16,0.0000443386,0.0000530255
98,2392.58,0.0000440931,0.0000533466
99,2416.99,0.0000433974,0.0000530111
100,2441.41,0.0000431124,0.0000522917
101,2465.82,0.0000434788,0.0000512868
102,2490.23,0.0000431081,0.0000509871
103,2514.65,0.0000429698,0.0000521357
104,2539.06,0.0000437672,0.0000532017
105,2563.48,0.0000437791,0.0000529427
106,2587.89,0.0000430433,0.0000531612
107,2612.3,0.0000434254,0.000053131
108,2636.72,0.0000442961,0.0000525697
109,2661.13,0.0000445029,0.0000511499
110,2685.55,0.0000439054,0.0000500197
111,2709.96,0.0000434336,0.0000512366
112,2734.38,0.0000433358,0.0000536756
113,2758.79,0.0000431513,0.0000539339
114,2783.2,0.0000433869,0.0000538636
115,2807.62,0.0000435341,0.0000541163
116,2832.03,0.0000431879,0.0000536078
117,2856.45,0.0000433461,0.0000524307
118,2880.86,0.0000440533,0.0000526037
119,2905.27,0.000043345,0.0000538168
120,2929.69,0.0000425711,0.0000533996
121,2954.1,0.000042862,0.000052875
122,2978.52,0.0000439679,0.0000524965
123,3002.93,0.0000439419,0.0000529058
124,3027.34,0.0000432211,0.0000541617
125,3051.76,0.0000425649,0.0000540468
126,3076.17,0.0000430915,0.0000531975
127,3100.59,0.0000435229,0.0000526886
128,3125,0.0000435213,0.0000529518
129,3149.41,0.000042823,0.0000519598
130,3173.83,0.0000423938,0.0000515099
131,3198.24,0.0000422799,0.0000526198
132,3222.66,0.0000420051,0.0000530323
133,3247.07,0.0000415034,0.0000537421
134,3271.48,0.0000420425,0.0000537566
135,3295.9,0.0000432921,0.0000534347
136,3320.31,0.0000427931,0.0000536756
137,3344.73,0.0000417435,0.0000530316
138,3369.14,0.0000426422,0.0000526419
139,3393.55,0.0000441351,0.0000526695
140,3417.97,0.0000439816,0.0000518395
141,3442.38,0.0000428787,0.0000517381
142,3466.8,0.0000426451,0.0000521867
143,3491.21,0.0000418507,0.000052288
144,3515.63,0.0000414748,0.000051809
145,3540.04,0.0000415638,0.0000518893
146,3564.45,0.0000421771,0.0000523253
147,3588.87,0.0000425472,0.0000522618
148,3613.28,0.0000428766,0.0000519295
149,3637.7,0.0000429844,0.0000521462
150,3662.11,0.000043141,0.0000526603
151,3686.52,0.000043019,0.0000529781
152,3710.94,0.0000429095,0.0000522731
153,3735.35,0.0000435392,0.0000519738
154,3759.77,0.0000437216,0.0000515697
155,3784.18,0.0000425257,0.0000503103
156,3808.59,0.0000426159,0.0000507305
157,3833.01,0.0000425934,0.000052512
158,3857.42,0.0000418215,0.0000534445
159,3881.84,0.0000421417,0.0000521503
160,3906.25,0.000042406,0.0000514059
161,3930.66,0.0000419937,0.0000519997
162,3955.08,0.0000422149,0.000052137
163,3979.49,0.0000431784,0.0000523953
164,4003.91,0.0000438377,0.0000519625
165,4028.32,0.0000440593,0.0000513666
166,4052.73,0.0000437656,0.0000519568
167,4077.15,0.000043327,0.0000514809
168,4101.56,0.0000421921,0.0000519235
169,4125.98,0.000041989,0.0000525877
170,4150.39,0.0000425214,0.000053054
171,4174.8,0.0000431744,0.0000527438
172,4199.22,0.0000434394,0.0000520974
173,4223.63,0.0000424106,0.0000517893
174,4248.05,0.0000418869,0.000052113
175,4272.46,0.0000425262,0.0000520154
176,4296.88,0.0000431366,0.0000523155
177,4321.29,0.000043328,0.0000531078
178,4345.7,0.0000434032,0.0000531005
179,4370.12,0.0000433461,0.0000529863
180,4394.53,0.0000430314,0.0000529817
181,4418.95,0.0000423212,0.0000513973
182,4443.36,0.0000421787,0.0000500578
183,4467.77,0.0000432762,0.0000503496
184,4492.19,0.0000430159,0.0000507704
185,4516.6,0.0000429388,0.0000507037
186,4541.02,0.0000434637,0.0000512952
187,4565.43,0.0000437662,0.0000513449
188,4589.84,0.0000425046,0.0000513174
189,4614.26,0.0000422951,0.0000525259
190,4638.67,0.000043792,0.0000530436
191,4663.09,0.0000442447,0.0000528832
192,4687.5,0.0000438098,0.0000521255
193,4711.91,0.0000433215,0.0000521801
194,4736.33,0.0000434359,0.0000517839
195,4760.74,0.0000433582,0.00005121
196,4785.16,0.0000431145,0.0000518878
197,4809.57,0.0000428913,0.0000519295
198,4833.98,0.0000426802,0.0000518045
199,4858.4,0.000042854,0.0000514072
200,4882.81,0.0000425119,0.0000507846
201,4907.23,0.0000421808,0.0000517578
202,4931.64,0.0000417973,0.0000519732
203,4956.05,0.0000420021,0.000051956
204,4980.47,0.0000425569,0.0000520728
205,5004.88,0.0000425932,0.0000516822
206,5029.3,0.0000429284,0.0000504232
207,5053.71,0.000043493,0.0000503008
208,5078.13,0.0000425211,0.0000514647
209,5102.54,0.0000416655,0.0000524076
210,5126.95,0.0000422382,0.0000530405
211,5151.37,0.0000430957,0.0000525715
212,5175.78,0.0000431245,0.0000518233
213,5200.2,0.0000426372,0.0000516117
214,5224.61,0.0000416022,0.0000515203
215,5249.02,0.0000413944,0.0000520068
