Sample,Frequency(Hz),Amplitude CH1(V/rt(Hz)),Amplitude CH2(V/rt(Hz))
0,1,8.1392e-05,0.000695039
1,24.4141,8.1392e-05,0.000695039
2,48.8281,2.42688e-05,0.000201223
3,73.2422,6.36493e-06,1.71314e-05
4,97.6563,5.98264e-06,4.3814e-06
5,122.07,5.97942e-06,4.26006e-06
6,146.484,5.97688e-06,4.23199e-06
7,170.898,5.90424e-06,4.27246e-06
8,195.313,5.82653e-06,4.3572e-06
9,219.727,5.62947e-06,4.37158e-06
10,244.141,5.43379e-06,4.25639e-06
11,268.555,5.4512e-06,4.15435e-06
12,292.969,5.49666e-06,4.0425e-06
13,317.383,5.45418e-06,4.09239e-06
14,341.797,5.31586e-06,4.1864e-06
15,366.211,5.3388e-06,4.24912e-06
16,390.625,5.52906e-06,4.23497e-06
17,415.039,5.55258e-06,4.19726e-06
18,439.453,5.61488e-06,4.16821e-06
19,463.867,5.75324e-06,4.13286e-06
20,488.281,5.74541e-06,4.04431e-06
21,512.695,5.7422e-06,4.06401e-06
22,537.109,5.66998e-06,4.16385e-06
23,561.523,5.44496e-06,4.19085e-06
24,585.938,5.40845e-06,4.17953e-06
25,610.352,5.54659e-06,4.20217e-06
26,634.766,5.57015e-06,4.18847e-06
27,659.18,5.59951e-06,4.19048e-06
28,683.594,5.61091e-06,4.29106e-06
29,708.008,5.56559e-06,4.33362e-06
30,732.422,5.64567e-06,4.30543e-06
31,756.836,5.64901e-06,4.23493e-06
32,781.25,5.61112e-06,4.32004e-06
33,805.664,5.5534e-06,4.30014e-06
34,830.078,5.37775e-06,4.20958e-06
35,854.492,5.4288e-06,4.10974e-06
36,878.906,5.53634e-06,4.08034e-06
37,903.32,5.6141e-06,4.22314e-06
38,927.734,5.71836e-06,4.28968e-06
39,952.148,5.67005e-06,4.20371e-06
40,976.563,5.66194e-06,4.12595e-06
41,1000.98,5.67001e-06,4.2e-06
42,1025.39,5.57141e-06,4.24712e-06
43,1049.8,5.6038e-06,4.26499e-06
44,1074.22,5.62431e-06,4.26695e-06
45,1098.63,5.63495e-06,4.21828e-06
46,1123.05,5.58153e-06,4.20885e-06
47,1147.46,5.54967e-06,4.2594e-06
48,1171.88,5.56871e-06,4.259e-06
49,1196.29,5.59814e-06,4.24781e-06
50,1220.7,5.64322e-06,4.22742e-06
51,1245.12,5.55506e-06,4.19452e-06
52,1269.53,5.42884e-06,4.21955e-06
53,1293.95,5.4708e-06,4.20507e-06
54,1318.36,5.47541e-06,4.13729e-06
55,1342.77,5.52903e-06,4.09673e-06
56,1367.19,5.54585e-06,4.10912e-06
57,1391.6,5.52548e-06,4.06097e-06
58,1416.02,5.51758e-06,4.02366e-06
59,1440.43,5.42423e-06,4.04273e-06
60,1464.84,5.44648e-06,4.07557e-06
61,1489.26,5.44678e-06,4.04564e-06
62,1513.67,5.34857e-06,3.97918e-06
63,1538.09,5.27746e-06,3.93953e-06
64,1562.5,5.34372e-06,3.99031e-06
65,1586.91,5.37567e-06,4.03098e-06
66,1611.33,5.39263e-06,3.97525e-06
67,1635.74,5.3923e-06,3.9251e-06
68,1660.16,5.36803e-06,3.95641e-06
69,1684.57,5.30704e-06,3.99894e-06
70,1708.98,5.29749e-06,4.08275e-06
71,1733.4,5.39127e-06,4.10078e-06
72,1757.81,5.42201e-06,3.97559e-06
73,1782.23,5.43499e-06,3.91787e-06
74,1806.64,5.3893e-06,3.99507e-06
