Sample,Frequency(Hz),Amplitude CH1(V/rt(Hz)),Amplitude CH2(V/rt(Hz))
0,1,0.00738009,0.00502589
1,24.4141,0.00738009,0.00502589
2,48.8281,0.00213746,0.00145555
3,73.2422,0.000182772,0.000134648
4,97.6563,0.0000472399,0.0000601424
5,122.07,0.0000471391,0.0000584865
6,146.484,0.0000459685,0.0000569805
7,170.898,0.0000452022,0.0000563295
8,195.313,0.0000457405,0.0000555772
9,219.727,0.0000458867,0.0000554541
10,244.141,0.0000454944,0.0000546289
11,268.555,0.0000454814,0.0000537507
12,292.969,0.0000443748,0.0000526958
13,317.383,0.0000431866,0.0000532802
14,341.797,0.0000440655,0.0000540755
15,366.211,0.0000451931,0.0000536684
16,390.625,0.000045364,0.0000533128
17,415.039,0.0000450122,0.0000542412
18,439.453,0.000044857,0.000053877
19,463.867,0.0000445892,0.0000535049
20,488.281,0.0000452245,0.0000540487
21,512.695,0.0000454236,0.0000534746
22,537.109,0.0000449619,0.0000530592
23,561.523,0.0000441207,0.0000537748
24,585.938,0.0000433893,0.0000542227
25,610.352,0.0000438441,0.0000538564
26,634.766,0.0000443125,0.000053796
27,659.18,0.0000447205,0.0000534767
28,683.594,0.0000450058,0.0000539208
29,708.008,0.0000456664,0.0000546677
30,732.422,0.0000462666,0.0000545673
31,756.836,0.0000466091,0.0000544994
32,781.25,0.0000466147,0.0000546081
33,805.664,0.0000460444,0.0000547266
34,830.078,0.0000463764,0.0000543333
35,854.492,0.0000464662,0.000054988
36,878.906,0.0000463612,0.0000557619
37,903.32,0.0000461264,0.0000555932
38,927.734,0.000045584,0.000055636
39,952.148,0.0000456434,0.000056317
40,976.563,0.000045576,0.000056561
41,1000.98,0.0000466969,0.0000570485
42,1025.39,0.0000476249,0.0000567853
43,1049.8,0.0000465236,0.0000557848
44,1074.22,0.0000461531,0.0000560448
45,1098.63,0.0000459211,0.0000561002
46,1123.05,0.000045892,0.0000551147
47,1147.46,0.0000458219,0.0000542811
48,1171.88,0.0000456652,0.0000540952
49,1196.29,0.0000454882,0.0000537092
50,1220.7,0.0000448583,0.0000532366
51,1245.12,0.0000444097,0.0000530897
52,1269.53,0.0000439461,0.0000540943
53,1293.95,0.0000434753,0.0000545265
54,1318.36,0.0000433028,0.0000534753
55,1342.77,0.000043264,0.000051968
56,1367.19,0.0000437799,0.0000524525
57,1391.6,0.0000451557,0.0000530482
58,1416.02,0.0000453867,0.000052345
