;Scopy version,f4beeb1
;Exported on,Monday October 28/10/2024
;Device,M2K
;Nr of samples,4096
;Sample rate,0
;Tool,Spectrum Analyzer
;Additional Information,Exponential RMS,Blackman-Harris,500,Exponential RMS,Blackman-Harris,500,
Sample,Frequency(Hz),Amplitude CH1(V/?Hz),Amplitude CH2(V/?Hz)
0,1,0.00234685,0.000706495
1,24.4141,0.00234685,0.000706495
2,48.8281,0.000678881,0.000204565
3,73.2422,5.79558e-05,1.7625e-05
4,97.6563,1.66084e-05,4.35479e-06
5,122.07,1.62788e-05,4.29018e-06
6,146.484,1.61633e-05,4.27594e-06
7,170.898,1.65108e-05,4.23349e-06
8,195.313,1.65451e-05,4.1975e-06
9,219.727,1.6494e-05,4.18113e-06
10,244.141,1.65827e-05,4.16629e-06
11,268.555,1.62727e-05,4.24302e-06
12,292.969,1.61849e-05,4.27653e-06
13,317.383,1.59044e-05,4.17451e-06
14,341.797,1.58984e-05,4.10156e-06
15,366.211,1.59733e-05,4.1155e-06
16,390.625,1.59704e-05,4.15131e-06
17,415.039,1.635e-05,4.17365e-06
18,439.453,1.63366e-05,4.18552e-06
19,463.867,1.60593e-05,4.17438e-06
20,488.281,1.58522e-05,4.10947e-06
21,512.695,1.59347e-05,4.0759e-06
22,537.109,1.62544e-05,4.03209e-06
23,561.523,1.63858e-05,4.00328e-06
24,585.938,1.62462e-05,4.02713e-06
25,610.352,1.6062e-05,4.09544e-06
26,634.766,1.61541e-05,4.09548e-06
27,659.18,1.63849e-05,4.0661e-06
28,683.594,1.6493e-05,4.07046e-06
29,708.008,1.62399e-05,4.1087e-06
30,732.422,1.60763e-05,4.10854e-06
31,756.836,1.60242e-05,4.10074e-06
32,781.25,1.59402e-05,4.20654e-06
33,805.664,1.61635e-05,4.29509e-06
34,830.078,1.64335e-05,4.24586e-06
35,854.492,1.6319e-05,4.2596e-06
36,878.906,1.61495e-05,4.24751e-06
37,903.32,1.60704e-05,4.24303e-06
38,927.734,1.61127e-05,4.19673e-06
39,952.148,1.61495e-05,4.17166e-06
40,976.563,1.58831e-05,4.14877e-06
41,1000.98,1.60541e-05,4.14471e-06
42,1025.39,1.65288e-05,4.11787e-06
43,1049.8,1.66413e-05,4.22182e-06
44,1074.22,1.66103e-05,4.30934e-06
45,1098.63,1.66692e-05,4.30425e-06
46,1123.05,1.65611e-05,4.22475e-06
47,1147.46,1.61437e-05,4.22349e-06
48,1171.88,1.59544e-05,4.21259e-06
49,1196.29,1.58395e-05,4.12355e-06
50,1220.7,1.61407e-05,4.0669e-06
51,1245.12,1.64507e-05,4.05808e-06
52,1269.53,1.62883e-05,4.07919e-06
53,1293.95,1.63227e-05,4.0549e-06
54,1318.36,1.6419e-05,4.06599e-06
55,1342.77,1.62151e-05,4.042e-06
56,1367.19,1.60047e-05,4.02735e-06
57,1391.6,1.60302e-05,4.0073e-06
58,1416.02,1.59306e-05,3.96303e-06
59,1440.43,1.58414e-05,3.97069e-06
60,1464.84,1.58599e-05,3.97814e-06
61,1489.26,1.59286e-05,3.95478e-06
62,1513.67,1.595e-05,3.95657e-06
63,1538.09,1.59329e-05,3.97783e-06
64,1562.5,1.57577e-05,3.97713e-06
65,1586.91,1.58282e-05,3.94244e-06
66,1611.33,1.61422e-05,3.96505e-06
67,1635.74,1.61333e-05,4.00412e-06
68,1660.16,1.60785e-05,4.02558e-06
69,1684.57,1.62293e-05,3.99292e-06
70,1708.98,1.60038e-05,3.92586e-06
71,1733.4,1.60723e-05,3.91169e-06
72,1757.81,1.63083e-05,3.96524e-06
