Sample,Frequency(Hz),Amplitude CH1(V/rt(Hz)),Amplitude CH2(V/rt(Hz)),Title
0,1,0.00776203,0.00861083,UA741-5000 Gain
1,24.4141,0.00776203,0.00861083,UA741-5000 Gain
2,48.8281,0.00225053,0.00396091,UA741-5000 Gain
3,73.2422,0.000195903,0.0028453,UA741-5000 Gain
4,97.6563,0.0000513693,0.002771,UA741-5000 Gain
5,122.07,0.0000520638,0.00271848,UA741-5000 Gain
6,146.484,0.0000476381,0.00264506,UA741-5000 Gain
7,170.898,0.0000449421,0.00259003,UA741-5000 Gain
8,195.313,0.0000450636,0.00260831,UA741-5000 Gain
9,219.727,0.0000465651,0.00262311,UA741-5000 Gain
10,244.141,0.0000496537,0.00260237,UA741-5000 Gain
11,268.555,0.0000495656,0.00253568,UA741-5000 Gain
12,292.969,0.0000477401,0.00248513,UA741-5000 Gain
13,317.383,0.0000457002,0.00246409,UA741-5000 Gain
14,341.797,0.000047099,0.0025186,UA741-5000 Gain
15,366.211,0.0000476756,0.00263536,UA741-5000 Gain
16,390.625,0.0000462109,0.00266084,UA741-5000 Gain
17,415.039,0.0000463345,0.00263689,UA741-5000 Gain
18,439.453,0.0000462485,0.00250701,UA741-5000 Gain
19,463.867,0.000045691,0.00253935,UA741-5000 Gain
20,488.281,0.0000470122,0.00271617,UA741-5000 Gain
21,512.695,0.0000501791,0.00274329,UA741-5000 Gain
22,537.109,0.0000506352,0.00274704,UA741-5000 Gain
23,561.523,0.0000489638,0.00267365,UA741-5000 Gain
24,585.938,0.0000479925,0.00261864,UA741-5000 Gain
25,610.352,0.0000469997,0.0026276,UA741-5000 Gain
26,634.766,0.0000461491,0.00262661,UA741-5000 Gain
27,659.18,0.000047872,0.00263274,UA741-5000 Gain
28,683.594,0.0000480334,0.00272214,UA741-5000 Gain
29,708.008,0.0000462488,0.00280187,UA741-5000 Gain
30,732.422,0.0000469891,0.00275106,UA741-5000 Gain
31,756.836,0.0000479819,0.00272598,UA741-5000 Gain
32,781.25,0.0000492981,0.00272815,UA741-5000 Gain
33,805.664,0.0000510264,0.0027561,UA741-5000 Gain
34,830.078,0.0000509555,0.00277756,UA741-5000 Gain
35,854.492,0.0000507804,0.00262666,UA741-5000 Gain
36,878.906,0.0000509551,0.00272566,UA741-5000 Gain
37,903.32,0.0000497299,0.00271748,UA741-5000 Gain
38,927.734,0.0000485263,0.00263992,UA741-5000 Gain
39,952.148,0.000048268,0.00256831,UA741-5000 Gain
40,976.563,0.0000475202,0.00250993,UA741-5000 Gain
41,1000.98,0.0000481479,0.00255566,UA741-5000 Gain
42,1025.39,0.0000514173,0.00264635,UA741-5000 Gain
43,1049.8,0.0000519618,0.00266438,UA741-5000 Gain
44,1074.22,0.0000474749,0.00252907,UA741-5000 Gain
45,1098.63,0.0000438737,0.00250925,UA741-5000 Gain
46,1123.05,0.0000441251,0.00254637,UA741-5000 Gain
