frequency(Hz),V/rt(Hz),Title
0,1.96E-07,AD797 PSD @ 1.5625kHz Span
0.122070313,2.10E-07,AD797 PSD @ 1.5625kHz Span
0.244140625,2.23E-07,AD797 PSD @ 1.5625kHz Span
0.366210938,2.28E-07,AD797 PSD @ 1.5625kHz Span
0.48828125,2.13E-07,AD797 PSD @ 1.5625kHz Span
0.610351563,1.83E-07,AD797 PSD @ 1.5625kHz Span
0.732421875,1.55E-07,AD797 PSD @ 1.5625kHz Span
0.854492188,1.36E-07,AD797 PSD @ 1.5625kHz Span
0.9765625,1.25E-07,AD797 PSD @ 1.5625kHz Span
1.098632813,1.16E-07,AD797 PSD @ 1.5625kHz Span
1.220703125,1.07E-07,AD797 PSD @ 1.5625kHz Span
1.342773438,9.65E-08,AD797 PSD @ 1.5625kHz Span
1.46484375,7.49E-08,AD797 PSD @ 1.5625kHz Span
1.586914063,5.76E-08,AD797 PSD @ 1.5625kHz Span
1.708984375,6.27E-08,AD797 PSD @ 1.5625kHz Span
1.831054688,6.86E-08,AD797 PSD @ 1.5625kHz Span
1.953125,7.41E-08,AD797 PSD @ 1.5625kHz Span
2.075195313,7.38E-08,AD797 PSD @ 1.5625kHz Span
2.197265625,6.78E-08,AD797 PSD @ 1.5625kHz Span
2.319335938,6.65E-08,AD797 PSD @ 1.5625kHz Span
2.44140625,5.99E-08,AD797 PSD @ 1.5625kHz Span
2.563476563,5.71E-08,AD797 PSD @ 1.5625kHz Span
2.685546875,6.41E-08,AD797 PSD @ 1.5625kHz Span
2.807617188,6.75E-08,AD797 PSD @ 1.5625kHz Span
2.9296875,7.09E-08,AD797 PSD @ 1.5625kHz Span
3.051757813,7.20E-08,AD797 PSD @ 1.5625kHz Span
3.173828125,6.54E-08,AD797 PSD @ 1.5625kHz Span
3.295898438,6.31E-08,AD797 PSD @ 1.5625kHz Span
3.41796875,6.49E-08,AD797 PSD @ 1.5625kHz Span
3.540039063,5.94E-08,AD797 PSD @ 1.5625kHz Span
3.662109375,5.15E-08,AD797 PSD @ 1.5625kHz Span
3.784179688,4.80E-08,AD797 PSD @ 1.5625kHz Span
3.90625,4.38E-08,AD797 PSD @ 1.5625kHz Span
4.028320313,4.06E-08,AD797 PSD @ 1.5625kHz Span
4.150390625,4.57E-08,AD797 PSD @ 1.5625kHz Span
4.272460938,4.81E-08,AD797 PSD @ 1.5625kHz Span
4.39453125,4.53E-08,AD797 PSD @ 1.5625kHz Span
4.516601563,4.52E-08,AD797 PSD @ 1.5625kHz Span
4.638671875,5.01E-08,AD797 PSD @ 1.5625kHz Span
4.760742188,5.23E-08,AD797 PSD @ 1.5625kHz Span
4.8828125,4.65E-08,AD797 PSD @ 1.5625kHz Span
5.004882813,4.79E-08,AD797 PSD @ 1.5625kHz Span
5.126953125,5.65E-08,AD797 PSD @ 1.5625kHz Span
5.249023438,5.76E-08,AD797 PSD @ 1.5625kHz Span
5.37109375,5.02E-08,AD797 PSD @ 1.5625kHz Span
5.493164063,4.45E-08,AD797 PSD @ 1.5625kHz Span
5.615234375,4.74E-08,AD797 PSD @ 1.5625kHz Span
5.737304688,4.78E-08,AD797 PSD @ 1.5625kHz Span
5.859375,4.39E-08,AD797 PSD @ 1.5625kHz Span
5.981445313,4.44E-08,AD797 PSD @ 1.5625kHz Span
6.103515625,5.62E-08,AD797 PSD @ 1.5625kHz Span
6.225585938,6.78E-08,AD797 PSD @ 1.5625kHz Span
6.34765625,6.13E-08,AD797 PSD @ 1.5625kHz Span
6.469726563,5.09E-08,AD797 PSD @ 1.5625kHz Span
6.591796875,4.96E-08,AD797 PSD @ 1.5625kHz Span
6.713867188,4.61E-08,AD797 PSD @ 1.5625kHz Span
6.8359375,4.50E-08,AD797 PSD @ 1.5625kHz Span
6.958007813,4.82E-08,AD797 PSD @ 1.5625kHz Span
7.080078125,4.92E-08,AD797 PSD @ 1.5625kHz Span
7.202148438,4.61E-08,AD797 PSD @ 1.5625kHz Span
7.32421875,4.12E-08,AD797 PSD @ 1.5625kHz Span
7.446289063,3.84E-08,AD797 PSD @ 1.5625kHz Span
7.568359375,4.12E-08,AD797 PSD @ 1.5625kHz Span
7.690429688,4.87E-08,AD797 PSD @ 1.5625kHz Span
7.8125,5.16E-08,AD797 PSD @ 1.5625kHz Span
7.934570313,4.52E-08,AD797 PSD @ 1.5625kHz Span
8.056640625,3.74E-08,AD797 PSD @ 1.5625kHz Span
8.178710938,3.64E-08,AD797 PSD @ 1.5625kHz Span
8.30078125,3.79E-08,AD797 PSD @ 1.5625kHz Span
8.422851563,3.72E-08,AD797 PSD @ 1.5625kHz Span
8.544921875,3.61E-08,AD797 PSD @ 1.5625kHz Span
8.666992188,3.68E-08,AD797 PSD @ 1.5625kHz Span
8.7890625,3.83E-08,AD797 PSD @ 1.5625kHz Span
8.911132813,4.29E-08,AD797 PSD @ 1.5625kHz Span
9.033203125,4.54E-08,AD797 PSD @ 1.5625kHz Span
9.155273438,4.26E-08,AD797 PSD @ 1.5625kHz Span
9.27734375,4.05E-08,AD797 PSD @ 1.5625kHz Span
9.399414063,3.97E-08,AD797 PSD @ 1.5625kHz Span
9.521484375,3.77E-08,AD797 PSD @ 1.5625kHz Span
9.643554688,3.92E-08,AD797 PSD @ 1.5625kHz Span
9.765625,4.51E-08,AD797 PSD @ 1.5625kHz Span
9.887695313,5.25E-08,AD797 PSD @ 1.5625kHz Span
10.00976563,5.60E-08,AD797 PSD @ 1.5625kHz Span
10.13183594,5.04E-08,AD797 PSD @ 1.5625kHz Span
10.25390625,4.22E-08,AD797 PSD @ 1.5625kHz Span
10.37597656,3.83E-08,AD797 PSD @ 1.5625kHz Span
10.49804688,3.76E-08,AD797 PSD @ 1.5625kHz Span
10.62011719,3.78E-08,AD797 PSD @ 1.5625kHz Span
10.7421875,3.73E-08,AD797 PSD @ 1.5625kHz Span
10.86425781,3.64E-08,AD797 PSD @ 1.5625kHz Span
10.98632813,3.73E-08,AD797 PSD @ 1.5625kHz Span
11.10839844,3.81E-08,AD797 PSD @ 1.5625kHz Span
11.23046875,3.83E-08,AD797 PSD @ 1.5625kHz Span
11.35253906,4.08E-08,AD797 PSD @ 1.5625kHz Span
11.47460938,4.18E-08,AD797 PSD @ 1.5625kHz Span
11.59667969,3.52E-08,AD797 PSD @ 1.5625kHz Span
11.71875,2.65E-08,AD797 PSD @ 1.5625kHz Span
11.84082031,2.51E-08,AD797 PSD @ 1.5625kHz Span
11.96289063,2.87E-08,AD797 PSD @ 1.5625kHz Span
12.08496094,3.27E-08,AD797 PSD @ 1.5625kHz Span
12.20703125,3.58E-08,AD797 PSD @ 1.5625kHz Span
12.32910156,4.16E-08,AD797 PSD @ 1.5625kHz Span
12.45117188,4.86E-08,AD797 PSD @ 1.5625kHz Span
12.57324219,4.48E-08,AD797 PSD @ 1.5625kHz Span
12.6953125,3.44E-08,AD797 PSD @ 1.5625kHz Span
12.81738281,3.27E-08,AD797 PSD @ 1.5625kHz Span
12.93945313,3.31E-08,AD797 PSD @ 1.5625kHz Span
13.06152344,3.34E-08,AD797 PSD @ 1.5625kHz Span
13.18359375,3.61E-08,AD797 PSD @ 1.5625kHz Span
13.30566406,3.69E-08,AD797 PSD @ 1.5625kHz Span
13.42773438,3.51E-08,AD797 PSD @ 1.5625kHz Span
13.54980469,3.39E-08,AD797 PSD @ 1.5625kHz Span
13.671875,3.35E-08,AD797 PSD @ 1.5625kHz Span
13.79394531,3.28E-08,AD797 PSD @ 1.5625kHz Span
13.91601563,3.16E-08,AD797 PSD @ 1.5625kHz Span
14.03808594,3.29E-08,AD797 PSD @ 1.5625kHz Span
14.16015625,3.62E-08,AD797 PSD @ 1.5625kHz Span
14.28222656,3.89E-08,AD797 PSD @ 1.5625kHz Span
14.40429688,3.71E-08,AD797 PSD @ 1.5625kHz Span
14.52636719,3.05E-08,AD797 PSD @ 1.5625kHz Span
14.6484375,2.52E-08,AD797 PSD @ 1.5625kHz Span
14.77050781,2.68E-08,AD797 PSD @ 1.5625kHz Span
14.89257813,3.43E-08,AD797 PSD @ 1.5625kHz Span
15.01464844,3.99E-08,AD797 PSD @ 1.5625kHz Span
15.13671875,3.92E-08,AD797 PSD @ 1.5625kHz Span
15.25878906,3.54E-08,AD797 PSD @ 1.5625kHz Span
15.38085938,3.39E-08,AD797 PSD @ 1.5625kHz Span
15.50292969,3.31E-08,AD797 PSD @ 1.5625kHz Span
15.625,2.93E-08,AD797 PSD @ 1.5625kHz Span
15.74707031,2.76E-08,AD797 PSD @ 1.5625kHz Span
15.86914063,3.01E-08,AD797 PSD @ 1.5625kHz Span
15.99121094,3.19E-08,AD797 PSD @ 1.5625kHz Span
16.11328125,3.12E-08,AD797 PSD @ 1.5625kHz Span
16.23535156,2.89E-08,AD797 PSD @ 1.5625kHz Span
16.35742188,2.73E-08,AD797 PSD @ 1.5625kHz Span
16.47949219,2.86E-08,AD797 PSD @ 1.5625kHz Span
16.6015625,3.15E-08,AD797 PSD @ 1.5625kHz Span
16.72363281,3.38E-08,AD797 PSD @ 1.5625kHz Span
16.84570313,3.47E-08,AD797 PSD @ 1.5625kHz Span
16.96777344,3.63E-08,AD797 PSD @ 1.5625kHz Span
17.08984375,3.60E-08,AD797 PSD @ 1.5625kHz Span
17.21191406,3.12E-08,AD797 PSD @ 1.5625kHz Span
17.33398438,2.82E-08,AD797 PSD @ 1.5625kHz Span
17.45605469,2.50E-08,AD797 PSD @ 1.5625kHz Span
17.578125,2.29E-08,AD797 PSD @ 1.5625kHz Span
17.70019531,2.79E-08,AD797 PSD @ 1.5625kHz Span
17.82226563,3.09E-08,AD797 PSD @ 1.5625kHz Span
17.94433594,3.05E-08,AD797 PSD @ 1.5625kHz Span
18.06640625,3.07E-08,AD797 PSD @ 1.5625kHz Span
18.18847656,3.15E-08,AD797 PSD @ 1.5625kHz Span
18.31054688,3.28E-08,AD797 PSD @ 1.5625kHz Span
18.43261719,3.22E-08,AD797 PSD @ 1.5625kHz Span
18.5546875,3.52E-08,AD797 PSD @ 1.5625kHz Span
18.67675781,4.43E-08,AD797 PSD @ 1.5625kHz Span
18.79882813,4.63E-08,AD797 PSD @ 1.5625kHz Span
18.92089844,3.99E-08,AD797 PSD @ 1.5625kHz Span
19.04296875,3.59E-08,AD797 PSD @ 1.5625kHz Span
19.16503906,3.68E-08,AD797 PSD @ 1.5625kHz Span
19.28710938,3.83E-08,AD797 PSD @ 1.5625kHz Span
19.40917969,3.76E-08,AD797 PSD @ 1.5625kHz Span
19.53125,3.44E-08,AD797 PSD @ 1.5625kHz Span
19.65332031,3.15E-08,AD797 PSD @ 1.5625kHz Span
19.77539063,2.93E-08,AD797 PSD @ 1.5625kHz Span
19.89746094,3.08E-08,AD797 PSD @ 1.5625kHz Span
20.01953125,3.64E-08,AD797 PSD @ 1.5625kHz Span
20.14160156,3.82E-08,AD797 PSD @ 1.5625kHz Span
20.26367188,3.50E-08,AD797 PSD @ 1.5625kHz Span
20.38574219,3.35E-08,AD797 PSD @ 1.5625kHz Span
20.5078125,3.52E-08,AD797 PSD @ 1.5625kHz Span
20.62988281,3.44E-08,AD797 PSD @ 1.5625kHz Span
20.75195313,3.39E-08,AD797 PSD @ 1.5625kHz Span
20.87402344,3.67E-08,AD797 PSD @ 1.5625kHz Span
20.99609375,3.80E-08,AD797 PSD @ 1.5625kHz Span
21.11816406,3.39E-08,AD797 PSD @ 1.5625kHz Span
21.24023438,2.87E-08,AD797 PSD @ 1.5625kHz Span
21.36230469,2.99E-08,AD797 PSD @ 1.5625kHz Span
21.484375,3.45E-08,AD797 PSD @ 1.5625kHz Span
21.60644531,3.81E-08,AD797 PSD @ 1.5625kHz Span
21.72851563,3.85E-08,AD797 PSD @ 1.5625kHz Span
21.85058594,3.55E-08,AD797 PSD @ 1.5625kHz Span
21.97265625,3.18E-08,AD797 PSD @ 1.5625kHz Span
22.09472656,3.23E-08,AD797 PSD @ 1.5625kHz Span
22.21679688,3.59E-08,AD797 PSD @ 1.5625kHz Span
22.33886719,3.71E-08,AD797 PSD @ 1.5625kHz Span
22.4609375,3.66E-08,AD797 PSD @ 1.5625kHz Span
22.58300781,3.43E-08,AD797 PSD @ 1.5625kHz Span
22.70507813,2.93E-08,AD797 PSD @ 1.5625kHz Span
22.82714844,2.98E-08,AD797 PSD @ 1.5625kHz Span
22.94921875,3.16E-08,AD797 PSD @ 1.5625kHz Span
23.07128906,2.94E-08,AD797 PSD @ 1.5625kHz Span
23.19335938,3.02E-08,AD797 PSD @ 1.5625kHz Span
23.31542969,3.23E-08,AD797 PSD @ 1.5625kHz Span
23.4375,3.41E-08,AD797 PSD @ 1.5625kHz Span
23.55957031,3.47E-08,AD797 PSD @ 1.5625kHz Span
23.68164063,3.32E-08,AD797 PSD @ 1.5625kHz Span
23.80371094,3.31E-08,AD797 PSD @ 1.5625kHz Span
23.92578125,3.54E-08,AD797 PSD @ 1.5625kHz Span
24.04785156,3.89E-08,AD797 PSD @ 1.5625kHz Span
24.16992188,4.28E-08,AD797 PSD @ 1.5625kHz Span
24.29199219,4.23E-08,AD797 PSD @ 1.5625kHz Span
24.4140625,3.98E-08,AD797 PSD @ 1.5625kHz Span
24.53613281,4.84E-08,AD797 PSD @ 1.5625kHz Span
24.65820313,6.65E-08,AD797 PSD @ 1.5625kHz Span
24.78027344,1.02E-07,AD797 PSD @ 1.5625kHz Span
24.90234375,1.48E-07,AD797 PSD @ 1.5625kHz Span
25.02441406,1.59E-07,AD797 PSD @ 1.5625kHz Span
25.14648438,1.17E-07,AD797 PSD @ 1.5625kHz Span
25.26855469,6.44E-08,AD797 PSD @ 1.5625kHz Span
25.390625,4.42E-08,AD797 PSD @ 1.5625kHz Span
25.51269531,4.35E-08,AD797 PSD @ 1.5625kHz Span
25.63476563,4.60E-08,AD797 PSD @ 1.5625kHz Span
25.75683594,4.40E-08,AD797 PSD @ 1.5625kHz Span
25.87890625,3.59E-08,AD797 PSD @ 1.5625kHz Span
26.00097656,2.91E-08,AD797 PSD @ 1.5625kHz Span
26.12304688,3.07E-08,AD797 PSD @ 1.5625kHz Span
26.24511719,3.48E-08,AD797 PSD @ 1.5625kHz Span
26.3671875,3.58E-08,AD797 PSD @ 1.5625kHz Span
26.48925781,3.77E-08,AD797 PSD @ 1.5625kHz Span
26.61132813,4.09E-08,AD797 PSD @ 1.5625kHz Span
26.73339844,4.08E-08,AD797 PSD @ 1.5625kHz Span
26.85546875,3.74E-08,AD797 PSD @ 1.5625kHz Span
26.97753906,3.30E-08,AD797 PSD @ 1.5625kHz Span
27.09960938,2.85E-08,AD797 PSD @ 1.5625kHz Span
27.22167969,2.66E-08,AD797 PSD @ 1.5625kHz Span
27.34375,2.72E-08,AD797 PSD @ 1.5625kHz Span
27.46582031,2.92E-08,AD797 PSD @ 1.5625kHz Span
27.58789063,3.11E-08,AD797 PSD @ 1.5625kHz Span
27.70996094,2.99E-08,AD797 PSD @ 1.5625kHz Span
27.83203125,2.65E-08,AD797 PSD @ 1.5625kHz Span
27.95410156,2.60E-08,AD797 PSD @ 1.5625kHz Span
28.07617188,2.54E-08,AD797 PSD @ 1.5625kHz Span
28.19824219,2.26E-08,AD797 PSD @ 1.5625kHz Span
28.3203125,3.12E-08,AD797 PSD @ 1.5625kHz Span
28.44238281,6.01E-08,AD797 PSD @ 1.5625kHz Span
28.56445313,8.14E-08,AD797 PSD @ 1.5625kHz Span
28.68652344,7.07E-08,AD797 PSD @ 1.5625kHz Span
28.80859375,4.20E-08,AD797 PSD @ 1.5625kHz Span
28.93066406,2.97E-08,AD797 PSD @ 1.5625kHz Span
29.05273438,3.15E-08,AD797 PSD @ 1.5625kHz Span
29.17480469,3.27E-08,AD797 PSD @ 1.5625kHz Span
29.296875,3.11E-08,AD797 PSD @ 1.5625kHz Span
29.41894531,3.04E-08,AD797 PSD @ 1.5625kHz Span
29.54101563,3.25E-08,AD797 PSD @ 1.5625kHz Span
29.66308594,3.46E-08,AD797 PSD @ 1.5625kHz Span
29.78515625,3.36E-08,AD797 PSD @ 1.5625kHz Span
29.90722656,3.29E-08,AD797 PSD @ 1.5625kHz Span
30.02929688,3.44E-08,AD797 PSD @ 1.5625kHz Span
30.15136719,3.46E-08,AD797 PSD @ 1.5625kHz Span
30.2734375,3.47E-08,AD797 PSD @ 1.5625kHz Span
30.39550781,3.63E-08,AD797 PSD @ 1.5625kHz Span
30.51757813,3.74E-08,AD797 PSD @ 1.5625kHz Span
30.63964844,3.78E-08,AD797 PSD @ 1.5625kHz Span
30.76171875,3.81E-08,AD797 PSD @ 1.5625kHz Span
30.88378906,3.58E-08,AD797 PSD @ 1.5625kHz Span
31.00585938,3.16E-08,AD797 PSD @ 1.5625kHz Span
31.12792969,2.94E-08,AD797 PSD @ 1.5625kHz Span
31.25,2.95E-08,AD797 PSD @ 1.5625kHz Span
31.37207031,3.07E-08,AD797 PSD @ 1.5625kHz Span
31.49414063,3.22E-08,AD797 PSD @ 1.5625kHz Span
31.61621094,3.46E-08,AD797 PSD @ 1.5625kHz Span
31.73828125,3.72E-08,AD797 PSD @ 1.5625kHz Span
31.86035156,3.75E-08,AD797 PSD @ 1.5625kHz Span
31.98242188,3.86E-08,AD797 PSD @ 1.5625kHz Span
32.10449219,4.08E-08,AD797 PSD @ 1.5625kHz Span
32.2265625,3.99E-08,AD797 PSD @ 1.5625kHz Span
32.34863281,3.49E-08,AD797 PSD @ 1.5625kHz Span
32.47070313,2.69E-08,AD797 PSD @ 1.5625kHz Span
32.59277344,2.44E-08,AD797 PSD @ 1.5625kHz Span
32.71484375,2.98E-08,AD797 PSD @ 1.5625kHz Span
32.83691406,3.27E-08,AD797 PSD @ 1.5625kHz Span
32.95898438,3.12E-08,AD797 PSD @ 1.5625kHz Span
33.08105469,2.76E-08,AD797 PSD @ 1.5625kHz Span
33.203125,2.51E-08,AD797 PSD @ 1.5625kHz Span
33.32519531,2.64E-08,AD797 PSD @ 1.5625kHz Span
33.44726563,2.89E-08,AD797 PSD @ 1.5625kHz Span
33.56933594,3.06E-08,AD797 PSD @ 1.5625kHz Span
33.69140625,2.83E-08,AD797 PSD @ 1.5625kHz Span
33.81347656,2.37E-08,AD797 PSD @ 1.5625kHz Span
33.93554688,2.37E-08,AD797 PSD @ 1.5625kHz Span
34.05761719,2.49E-08,AD797 PSD @ 1.5625kHz Span
34.1796875,2.69E-08,AD797 PSD @ 1.5625kHz Span
34.30175781,3.09E-08,AD797 PSD @ 1.5625kHz Span
34.42382813,3.33E-08,AD797 PSD @ 1.5625kHz Span
34.54589844,3.37E-08,AD797 PSD @ 1.5625kHz Span
34.66796875,3.08E-08,AD797 PSD @ 1.5625kHz Span
34.79003906,2.57E-08,AD797 PSD @ 1.5625kHz Span
34.91210938,2.22E-08,AD797 PSD @ 1.5625kHz Span
35.03417969,2.55E-08,AD797 PSD @ 1.5625kHz Span
35.15625,3.11E-08,AD797 PSD @ 1.5625kHz Span
35.27832031,3.13E-08,AD797 PSD @ 1.5625kHz Span
35.40039063,3.03E-08,AD797 PSD @ 1.5625kHz Span
35.52246094,3.07E-08,AD797 PSD @ 1.5625kHz Span
35.64453125,3.11E-08,AD797 PSD @ 1.5625kHz Span
35.76660156,3.26E-08,AD797 PSD @ 1.5625kHz Span
35.88867188,3.33E-08,AD797 PSD @ 1.5625kHz Span
36.01074219,3.09E-08,AD797 PSD @ 1.5625kHz Span
36.1328125,2.59E-08,AD797 PSD @ 1.5625kHz Span
36.25488281,2.28E-08,AD797 PSD @ 1.5625kHz Span
36.37695313,2.53E-08,AD797 PSD @ 1.5625kHz Span
36.49902344,2.57E-08,AD797 PSD @ 1.5625kHz Span
36.62109375,2.33E-08,AD797 PSD @ 1.5625kHz Span
36.74316406,2.32E-08,AD797 PSD @ 1.5625kHz Span
36.86523438,2.33E-08,AD797 PSD @ 1.5625kHz Span
36.98730469,2.53E-08,AD797 PSD @ 1.5625kHz Span
37.109375,2.76E-08,AD797 PSD @ 1.5625kHz Span
37.23144531,2.68E-08,AD797 PSD @ 1.5625kHz Span
37.35351563,2.50E-08,AD797 PSD @ 1.5625kHz Span
37.47558594,2.70E-08,AD797 PSD @ 1.5625kHz Span
37.59765625,3.02E-08,AD797 PSD @ 1.5625kHz Span
37.71972656,2.91E-08,AD797 PSD @ 1.5625kHz Span
37.84179688,2.56E-08,AD797 PSD @ 1.5625kHz Span
37.96386719,2.43E-08,AD797 PSD @ 1.5625kHz Span
38.0859375,2.42E-08,AD797 PSD @ 1.5625kHz Span
38.20800781,2.40E-08,AD797 PSD @ 1.5625kHz Span
38.33007813,2.63E-08,AD797 PSD @ 1.5625kHz Span
38.45214844,3.11E-08,AD797 PSD @ 1.5625kHz Span
38.57421875,3.49E-08,AD797 PSD @ 1.5625kHz Span
38.69628906,3.39E-08,AD797 PSD @ 1.5625kHz Span
38.81835938,2.77E-08,AD797 PSD @ 1.5625kHz Span
38.94042969,2.36E-08,AD797 PSD @ 1.5625kHz Span
39.0625,2.51E-08,AD797 PSD @ 1.5625kHz Span
39.18457031,2.58E-08,AD797 PSD @ 1.5625kHz Span
39.30664063,2.35E-08,AD797 PSD @ 1.5625kHz Span
39.42871094,2.36E-08,AD797 PSD @ 1.5625kHz Span
39.55078125,2.72E-08,AD797 PSD @ 1.5625kHz Span
39.67285156,3.04E-08,AD797 PSD @ 1.5625kHz Span
39.79492188,3.16E-08,AD797 PSD @ 1.5625kHz Span
39.91699219,2.92E-08,AD797 PSD @ 1.5625kHz Span
40.0390625,2.75E-08,AD797 PSD @ 1.5625kHz Span
40.16113281,2.65E-08,AD797 PSD @ 1.5625kHz Span
40.28320313,2.50E-08,AD797 PSD @ 1.5625kHz Span
40.40527344,2.69E-08,AD797 PSD @ 1.5625kHz Span
40.52734375,2.86E-08,AD797 PSD @ 1.5625kHz Span
40.64941406,2.60E-08,AD797 PSD @ 1.5625kHz Span
40.77148438,2.42E-08,AD797 PSD @ 1.5625kHz Span
40.89355469,2.80E-08,AD797 PSD @ 1.5625kHz Span
41.015625,2.96E-08,AD797 PSD @ 1.5625kHz Span
41.13769531,2.70E-08,AD797 PSD @ 1.5625kHz Span
41.25976563,2.74E-08,AD797 PSD @ 1.5625kHz Span
41.38183594,3.22E-08,AD797 PSD @ 1.5625kHz Span
41.50390625,3.36E-08,AD797 PSD @ 1.5625kHz Span
41.62597656,2.97E-08,AD797 PSD @ 1.5625kHz Span
41.74804688,2.43E-08,AD797 PSD @ 1.5625kHz Span
41.87011719,2.13E-08,AD797 PSD @ 1.5625kHz Span
41.9921875,2.41E-08,AD797 PSD @ 1.5625kHz Span
42.11425781,2.78E-08,AD797 PSD @ 1.5625kHz Span
42.23632813,2.85E-08,AD797 PSD @ 1.5625kHz Span
42.35839844,2.76E-08,AD797 PSD @ 1.5625kHz Span
42.48046875,2.72E-08,AD797 PSD @ 1.5625kHz Span
42.60253906,2.66E-08,AD797 PSD @ 1.5625kHz Span
42.72460938,2.50E-08,AD797 PSD @ 1.5625kHz Span
42.84667969,2.34E-08,AD797 PSD @ 1.5625kHz Span
42.96875,2.17E-08,AD797 PSD @ 1.5625kHz Span
43.09082031,2.07E-08,AD797 PSD @ 1.5625kHz Span
