frequency(Hz),V/rt(Hz),Title
0,6.21E-07,AD848 PSD @ 1.5625 kHz Span
0.244140625,6.29E-07,AD848 PSD @ 1.5625 kHz Span
0.48828125,5.73E-07,AD848 PSD @ 1.5625 kHz Span
0.732421875,4.50E-07,AD848 PSD @ 1.5625 kHz Span
0.9765625,3.48E-07,AD848 PSD @ 1.5625 kHz Span
1.220703125,2.83E-07,AD848 PSD @ 1.5625 kHz Span
1.46484375,2.50E-07,AD848 PSD @ 1.5625 kHz Span
1.708984375,2.37E-07,AD848 PSD @ 1.5625 kHz Span
1.953125,2.24E-07,AD848 PSD @ 1.5625 kHz Span
2.197265625,2.08E-07,AD848 PSD @ 1.5625 kHz Span
2.44140625,1.94E-07,AD848 PSD @ 1.5625 kHz Span
2.685546875,1.87E-07,AD848 PSD @ 1.5625 kHz Span
2.9296875,1.85E-07,AD848 PSD @ 1.5625 kHz Span
3.173828125,1.83E-07,AD848 PSD @ 1.5625 kHz Span
3.41796875,1.74E-07,AD848 PSD @ 1.5625 kHz Span
3.662109375,1.64E-07,AD848 PSD @ 1.5625 kHz Span
3.90625,1.59E-07,AD848 PSD @ 1.5625 kHz Span
4.150390625,1.56E-07,AD848 PSD @ 1.5625 kHz Span
4.39453125,1.49E-07,AD848 PSD @ 1.5625 kHz Span
4.638671875,1.45E-07,AD848 PSD @ 1.5625 kHz Span
4.8828125,1.42E-07,AD848 PSD @ 1.5625 kHz Span
5.126953125,1.33E-07,AD848 PSD @ 1.5625 kHz Span
5.37109375,1.21E-07,AD848 PSD @ 1.5625 kHz Span
5.615234375,1.20E-07,AD848 PSD @ 1.5625 kHz Span
5.859375,1.26E-07,AD848 PSD @ 1.5625 kHz Span
6.103515625,1.29E-07,AD848 PSD @ 1.5625 kHz Span
6.34765625,1.30E-07,AD848 PSD @ 1.5625 kHz Span
6.591796875,1.30E-07,AD848 PSD @ 1.5625 kHz Span
6.8359375,1.27E-07,AD848 PSD @ 1.5625 kHz Span
7.080078125,1.24E-07,AD848 PSD @ 1.5625 kHz Span
7.32421875,1.27E-07,AD848 PSD @ 1.5625 kHz Span
7.568359375,1.30E-07,AD848 PSD @ 1.5625 kHz Span
7.8125,1.27E-07,AD848 PSD @ 1.5625 kHz Span
8.056640625,1.23E-07,AD848 PSD @ 1.5625 kHz Span
8.30078125,1.20E-07,AD848 PSD @ 1.5625 kHz Span
8.544921875,1.18E-07,AD848 PSD @ 1.5625 kHz Span
8.7890625,1.17E-07,AD848 PSD @ 1.5625 kHz Span
9.033203125,1.15E-07,AD848 PSD @ 1.5625 kHz Span
9.27734375,1.14E-07,AD848 PSD @ 1.5625 kHz Span
9.521484375,1.19E-07,AD848 PSD @ 1.5625 kHz Span
9.765625,1.25E-07,AD848 PSD @ 1.5625 kHz Span
10.00976563,1.22E-07,AD848 PSD @ 1.5625 kHz Span
10.25390625,1.14E-07,AD848 PSD @ 1.5625 kHz Span
10.49804688,1.07E-07,AD848 PSD @ 1.5625 kHz Span
10.7421875,1.01E-07,AD848 PSD @ 1.5625 kHz Span
10.98632813,9.99E-08,AD848 PSD @ 1.5625 kHz Span
11.23046875,1.05E-07,AD848 PSD @ 1.5625 kHz Span
11.47460938,1.06E-07,AD848 PSD @ 1.5625 kHz Span
11.71875,1.03E-07,AD848 PSD @ 1.5625 kHz Span
11.96289063,1.02E-07,AD848 PSD @ 1.5625 kHz Span
12.20703125,1.02E-07,AD848 PSD @ 1.5625 kHz Span
12.45117188,1.01E-07,AD848 PSD @ 1.5625 kHz Span
12.6953125,1.02E-07,AD848 PSD @ 1.5625 kHz Span
12.93945313,1.00E-07,AD848 PSD @ 1.5625 kHz Span
13.18359375,9.62E-08,AD848 PSD @ 1.5625 kHz Span
13.42773438,9.62E-08,AD848 PSD @ 1.5625 kHz Span
13.671875,9.90E-08,AD848 PSD @ 1.5625 kHz Span
13.91601563,1.01E-07,AD848 PSD @ 1.5625 kHz Span
14.16015625,1.04E-07,AD848 PSD @ 1.5625 kHz Span
14.40429688,1.05E-07,AD848 PSD @ 1.5625 kHz Span
14.6484375,9.93E-08,AD848 PSD @ 1.5625 kHz Span
14.89257813,9.65E-08,AD848 PSD @ 1.5625 kHz Span
15.13671875,9.70E-08,AD848 PSD @ 1.5625 kHz Span
15.38085938,9.27E-08,AD848 PSD @ 1.5625 kHz Span
15.625,8.78E-08,AD848 PSD @ 1.5625 kHz Span
15.86914063,9.02E-08,AD848 PSD @ 1.5625 kHz Span
16.11328125,9.56E-08,AD848 PSD @ 1.5625 kHz Span
16.35742188,9.87E-08,AD848 PSD @ 1.5625 kHz Span
16.6015625,9.83E-08,AD848 PSD @ 1.5625 kHz Span
16.84570313,9.95E-08,AD848 PSD @ 1.5625 kHz Span
17.08984375,1.02E-07,AD848 PSD @ 1.5625 kHz Span
17.33398438,9.96E-08,AD848 PSD @ 1.5625 kHz Span
17.578125,9.44E-08,AD848 PSD @ 1.5625 kHz Span
17.82226563,9.35E-08,AD848 PSD @ 1.5625 kHz Span
18.06640625,9.36E-08,AD848 PSD @ 1.5625 kHz Span
18.31054688,9.30E-08,AD848 PSD @ 1.5625 kHz Span
18.5546875,9.36E-08,AD848 PSD @ 1.5625 kHz Span
18.79882813,9.46E-08,AD848 PSD @ 1.5625 kHz Span
19.04296875,9.37E-08,AD848 PSD @ 1.5625 kHz Span
19.28710938,9.31E-08,AD848 PSD @ 1.5625 kHz Span
19.53125,9.47E-08,AD848 PSD @ 1.5625 kHz Span
19.77539063,9.58E-08,AD848 PSD @ 1.5625 kHz Span
20.01953125,9.61E-08,AD848 PSD @ 1.5625 kHz Span
20.26367188,9.53E-08,AD848 PSD @ 1.5625 kHz Span
20.5078125,9.44E-08,AD848 PSD @ 1.5625 kHz Span
20.75195313,9.38E-08,AD848 PSD @ 1.5625 kHz Span
20.99609375,9.13E-08,AD848 PSD @ 1.5625 kHz Span
21.24023438,8.92E-08,AD848 PSD @ 1.5625 kHz Span
21.484375,9.10E-08,AD848 PSD @ 1.5625 kHz Span
21.72851563,9.19E-08,AD848 PSD @ 1.5625 kHz Span
21.97265625,8.94E-08,AD848 PSD @ 1.5625 kHz Span
22.21679688,8.57E-08,AD848 PSD @ 1.5625 kHz Span
22.4609375,8.20E-08,AD848 PSD @ 1.5625 kHz Span
22.70507813,8.38E-08,AD848 PSD @ 1.5625 kHz Span
22.94921875,9.01E-08,AD848 PSD @ 1.5625 kHz Span
