frequency(Hz),V/rt(Hz)
0,4.49919894848869E-8
0.48828125,4.93081261106445E-8
0.9765625,4.94502515510985E-8
1.46484375,4.19286322514369E-8
1.953125,3.55801828977872E-8
2.44140625,3.10511422343344E-8
2.9296875,2.77745537271594E-8
3.41796875,2.6861102845055E-8
3.90625,2.63110322994922E-8
4.39453125,2.53673749984973E-8
4.8828125,2.4615817343528E-8
5.37109375,2.3726248473777E-8
5.859375,2.24467895734303E-8
6.34765625,2.21028027400132E-8
6.8359375,2.20950303876288E-8
7.32421875,2.12814731005264E-8
7.8125,2.05740343585285E-8
8.30078125,2.04604508911075E-8
8.7890625,2.07293145402375E-8
9.27734375,2.01858191499141E-8
9.765625,1.93213835322593E-8
10.25390625,2.00185176798728E-8
10.7421875,2.09809925183646E-8
11.23046875,2.05636444951615E-8
11.71875,1.92842895424163E-8
12.20703125,1.81423993407513E-8
12.6953125,1.75007036824099E-8
13.18359375,1.74127053637155E-8
13.671875,1.74680081836325E-8
14.16015625,1.78257165354591E-8
14.6484375,1.82552104721665E-8
15.13671875,1.77267804710147E-8
15.625,1.71789339066307E-8
16.11328125,1.71319747775862E-8
16.6015625,1.73020082685678E-8
17.08984375,1.80534003595581E-8
17.578125,1.80465492129366E-8
18.06640625,1.71406380653236E-8
18.5546875,1.68700551009038E-8
19.04296875,1.75240204957219E-8
19.53125,1.74199527361445E-8
20.01953125,1.60953247707244E-8
20.5078125,1.51126805213216E-8
20.99609375,1.47198728316217E-8
21.484375,1.44216184486414E-8
21.97265625,1.48631516186647E-8
22.4609375,1.59430350833855E-8
22.94921875,1.67512076383752E-8
23.4375,1.69417251215533E-8
23.92578125,1.70623696259971E-8
24.4140625,1.72669172443206E-8
24.90234375,1.68719934387552E-8
25.390625,1.6365541802646E-8
25.87890625,1.65385230006633E-8
26.3671875,1.68680480298639E-8
26.85546875,1.80092954321477E-8
27.34375,2.34631847745242E-8
27.83203125,3.908938690933E-8
28.3203125,5.50891646514327E-8
28.80859375,5.31905954647208E-8
29.296875,3.49761853289203E-8
29.78515625,2.00639609661603E-8
30.2734375,1.61744452662742E-8
30.76171875,1.55431185429816E-8
31.25,1.58228768631475E-8
31.73828125,1.64106383368559E-8
32.2265625,1.69677893632572E-8
32.71484375,1.67167886598316E-8
33.203125,1.56695124799089E-8
33.69140625,1.5047945813156E-8
34.1796875,1.46585979508906E-8
34.66796875,1.48046963148914E-8
35.15625,1.56744335100738E-8
35.64453125,1.65771992784688E-8
36.1328125,1.6507955052943E-8
36.62109375,1.52683041784165E-8
37.109375,1.46393601746424E-8
37.59765625,1.48713152656447E-8
38.0859375,1.59606202082137E-8
38.57421875,1.67731031496325E-8
39.0625,1.6584504242521E-8
39.55078125,1.63402616456971E-8
40.0390625,1.59330427220361E-8
40.52734375,1.53176174408353E-8
41.015625,1.53906215250884E-8
41.50390625,1.61076239339707E-8
41.9921875,1.66938232734499E-8
42.48046875,1.66851466504331E-8
42.96875,1.59952494150544E-8
43.45703125,1.54861611802851E-8
43.9453125,1.57825972340985E-8
44.43359375,1.61538136043832E-8
44.921875,1.57654902255986E-8
45.41015625,1.55437207095976E-8
45.8984375,1.65053258942442E-8
46.38671875,1.88065756759338E-8
46.875,2.15483500218254E-8
47.36328125,2.08811195075277E-8
47.8515625,1.69839350662976E-8
48.33984375,1.4735713358725E-8
48.828125,1.47444787327406E-8
49.31640625,1.51156915529139E-8
49.8046875,1.53915901825959E-8
50.29296875,1.56085696274366E-8
50.78125,1.61553879936007E-8
51.26953125,1.62521698647129E-8
51.7578125,1.54467910494953E-8
52.24609375,1.44892400636211E-8
52.734375,1.3664570544613E-8
53.22265625,1.35820594429539E-8
53.7109375,1.41866122336633E-8
54.19921875,1.48670489895166E-8
54.6875,1.5471782901826E-8
55.17578125,1.64030422582336E-8
55.6640625,1.71697214579207E-8
56.15234375,1.67360524003849E-8
56.640625,1.60474045535728E-8
57.12890625,1.61305458341001E-8
57.6171875,1.59330121510785E-8
58.10546875,1.49055777220167E-8
58.59375,1.62279178642883E-8
59.08203125,2.82172030568771E-8
59.5703125,4.82897204116017E-8
60.05859375,5.75488048481372E-8
60.546875,4.58052027790632E-8
61.03515625,2.62972145767124E-8
61.5234375,1.67071727555913E-8
62.01171875,1.49741219346569E-8
62.5,1.43962829424362E-8
62.98828125,1.53374466802504E-8
63.4765625,1.81016825514427E-8
63.96484375,2.01187592214945E-8
64.453125,1.89073365810005E-8
64.94140625,1.60970532118567E-8
65.4296875,1.45611455209868E-8
65.91796875,1.40015290542222E-8
66.40625,1.39011071715398E-8
66.89453125,1.42957973679433E-8
67.3828125,1.45924850929136E-8
67.87109375,1.45473485601029E-8
68.359375,1.42943776264105E-8
68.84765625,1.43348794332059E-8
69.3359375,1.45971162359918E-8
69.82421875,1.47315945282618E-8
70.3125,1.47083573762213E-8
70.80078125,1.45826636725777E-8
71.2890625,1.43789779159165E-8
71.77734375,1.4714777959874E-8
72.265625,1.55096530189483E-8
72.75390625,1.57129767838374E-8
73.2421875,1.53043021315047E-8
73.73046875,1.52099253159299E-8
74.21875,1.53789636878766E-8
74.70703125,1.53512564746699E-8
75.1953125,1.50129159874566E-8
75.68359375,1.52270844537219E-8
76.171875,1.54001100049624E-8
76.66015625,1.46652500239943E-8
77.1484375,1.40204505961556E-8
77.63671875,1.43841087312117E-8
78.125,1.52112859757966E-8
78.61328125,1.50317729006533E-8
79.1015625,1.41131938509447E-8
79.58984375,1.42308580914487E-8
80.078125,1.47576804549537E-8
80.56640625,1.4526267925122E-8
81.0546875,1.42237826315984E-8
81.54296875,1.47028174519909E-8
82.03125,1.51606907708507E-8
82.51953125,1.54686664537461E-8
83.0078125,1.57858646732138E-8
83.49609375,1.54759201156321E-8
83.984375,1.53722222101995E-8
84.47265625,1.78579737255E-8
84.9609375,2.51851510105055E-8
85.44921875,3.24342786690104E-8
85.9375,3.09267743710159E-8
86.42578125,2.19007278318528E-8
86.9140625,1.52106059750281E-8
87.40234375,1.38367983390425E-8
87.890625,1.37597786524722E-8
88.37890625,1.38230487837734E-8
