frequency(Hz),V/rt(Hz),Title
0,1.16E-06,LMH6624 PSD @ 200 kHz Hi BW Span
7.8125,1.22E-06,LMH6624 PSD @ 200 kHz Hi BW Span
15.625,1.21E-06,LMH6624 PSD @ 200 kHz Hi BW Span
23.4375,1.08E-06,LMH6624 PSD @ 200 kHz Hi BW Span
31.25,9.32E-07,LMH6624 PSD @ 200 kHz Hi BW Span
39.0625,8.21E-07,LMH6624 PSD @ 200 kHz Hi BW Span
46.875,7.54E-07,LMH6624 PSD @ 200 kHz Hi BW Span
54.6875,7.20E-07,LMH6624 PSD @ 200 kHz Hi BW Span
62.5,6.85E-07,LMH6624 PSD @ 200 kHz Hi BW Span
70.3125,6.29E-07,LMH6624 PSD @ 200 kHz Hi BW Span
78.125,5.82E-07,LMH6624 PSD @ 200 kHz Hi BW Span
85.9375,5.53E-07,LMH6624 PSD @ 200 kHz Hi BW Span
93.75,5.30E-07,LMH6624 PSD @ 200 kHz Hi BW Span
101.5625,5.13E-07,LMH6624 PSD @ 200 kHz Hi BW Span
109.375,5.12E-07,LMH6624 PSD @ 200 kHz Hi BW Span
117.1875,5.19E-07,LMH6624 PSD @ 200 kHz Hi BW Span
125,5.06E-07,LMH6624 PSD @ 200 kHz Hi BW Span
132.8125,4.82E-07,LMH6624 PSD @ 200 kHz Hi BW Span
140.625,4.66E-07,LMH6624 PSD @ 200 kHz Hi BW Span
148.4375,4.55E-07,LMH6624 PSD @ 200 kHz Hi BW Span
156.25,4.45E-07,LMH6624 PSD @ 200 kHz Hi BW Span
164.0625,4.58E-07,LMH6624 PSD @ 200 kHz Hi BW Span
171.875,5.26E-07,LMH6624 PSD @ 200 kHz Hi BW Span
179.6875,5.80E-07,LMH6624 PSD @ 200 kHz Hi BW Span
187.5,5.33E-07,LMH6624 PSD @ 200 kHz Hi BW Span
195.3125,4.52E-07,LMH6624 PSD @ 200 kHz Hi BW Span
203.125,4.13E-07,LMH6624 PSD @ 200 kHz Hi BW Span
