frequency(Hz),V/rt(Hz)
0,1.95573813658852E-7
0.1220703125,2.09502762029384E-7
0.244140625,2.23195760168905E-7
0.3662109375,2.27676092058462E-7
0.48828125,2.13373187619626E-7
0.6103515625,1.8329764620161E-7
0.732421875,1.5544354554713E-7
0.8544921875,1.35611902921858E-7
0.9765625,1.25181745264826E-7
1.0986328125,1.16475913401664E-7
1.220703125,1.07301763561737E-7
1.3427734375,9.65321053480458E-8
1.46484375,7.48610161526768E-8
1.5869140625,5.7596516561049E-8
1.708984375,6.27171921869526E-8
1.8310546875,6.86110905351538E-8
1.953125,7.40615162856859E-8
2.0751953125,7.38335931258618E-8
2.197265625,6.78201447703479E-8
2.3193359375,6.64807008901791E-8
2.44140625,5.9856665783429E-8
2.5634765625,5.71193936844865E-8
2.685546875,6.40596624188539E-8
2.8076171875,6.74972859693313E-8
2.9296875,7.08989429339974E-8
3.0517578125,7.20107008348336E-8
3.173828125,6.53779759765603E-8
3.2958984375,6.31157548114825E-8
3.41796875,6.49217632988733E-8
3.5400390625,5.93818178494265E-8
3.662109375,5.14972122644558E-8
3.7841796875,4.8044478633574E-8
3.90625,4.38175853230225E-8
4.0283203125,4.06428000427129E-8
4.150390625,4.56995643320929E-8
4.2724609375,4.80713931858123E-8
4.39453125,4.53113078645301E-8
4.5166015625,4.52381163637124E-8
4.638671875,5.0095425543846E-8
4.7607421875,5.22844737843562E-8
4.8828125,4.65332157923915E-8
5.0048828125,4.79225610596448E-8
5.126953125,5.65236882445371E-8
5.2490234375,5.76348124255362E-8
5.37109375,5.01501273352915E-8
5.4931640625,4.44693813795631E-8
5.615234375,4.73943495801549E-8
5.7373046875,4.77707720925983E-8
5.859375,4.38971719084435E-8
5.9814453125,4.43974747223385E-8
6.103515625,5.62434044993931E-8
6.2255859375,6.78033319785153E-8
6.34765625,6.13477018838474E-8
6.4697265625,5.09302290223262E-8
6.591796875,4.96195016293968E-8
6.7138671875,4.61189973674479E-8
6.8359375,4.50064047870874E-8
6.9580078125,4.82478932341566E-8
7.080078125,4.91861176148182E-8
7.2021484375,4.60607047184746E-8
7.32421875,4.12329861431927E-8
7.4462890625,3.83506565625716E-8
7.568359375,4.12321275531494E-8
7.6904296875,4.86531570615131E-8
7.8125,5.16280456459704E-8
7.9345703125,4.52236711441133E-8
8.056640625,3.73600271002219E-8
8.1787109375,3.64090264627911E-8
8.30078125,3.78923121922461E-8
8.4228515625,3.72364999926041E-8
8.544921875,3.61168918815213E-8
8.6669921875,3.67620762350231E-8
8.7890625,3.83033154667191E-8
8.9111328125,4.28962693161594E-8
9.033203125,4.54136072826324E-8
9.1552734375,4.26438490125289E-8
9.27734375,4.04842949922658E-8
9.3994140625,3.96708516685094E-8
9.521484375,3.76798853311606E-8
9.6435546875,3.91569193977198E-8
9.765625,4.51392009324214E-8
9.8876953125,5.25118756694826E-8
10.009765625,5.59549177343028E-8
10.1318359375,5.03858881483812E-8
10.25390625,4.21527468988047E-8
10.3759765625,3.83377938416424E-8
10.498046875,3.75925274924527E-8
10.6201171875,3.78486977032024E-8
10.7421875,3.73195998386563E-8
10.8642578125,3.63564777923981E-8
10.986328125,3.73063595568252E-8
11.1083984375,3.81357829592642E-8
11.23046875,3.83082559482721E-8
11.3525390625,4.07585481850208E-8
11.474609375,4.18004372673002E-8
11.5966796875,3.51976634013746E-8
11.71875,2.65379307836895E-8
11.8408203125,2.50753525997393E-8
11.962890625,2.86784404630669E-8
12.0849609375,3.26588568919438E-8
12.20703125,3.58254790747345E-8
12.3291015625,4.15992725387488E-8
12.451171875,4.85915045865374E-8
12.5732421875,4.4832681771573E-8
12.6953125,3.4448728543837E-8
12.8173828125,3.26676755116736E-8
12.939453125,3.3129510191291E-8
13.0615234375,3.34465654078963E-8
13.18359375,3.60717972161729E-8
13.3056640625,3.68891383161599E-8
13.427734375,3.51439703445901E-8
13.5498046875,3.39082773179218E-8
13.671875,3.35237587019778E-8
13.7939453125,3.27830443015232E-8
13.916015625,3.15696672262023E-8
14.0380859375,3.28555640603444E-8
14.16015625,3.62423344587948E-8
14.2822265625,3.89271922334841E-8
14.404296875,3.71284050088189E-8
14.5263671875,3.05286459117644E-8
14.6484375,2.52116724140351E-8
14.7705078125,2.68240740838641E-8
14.892578125,3.43070235747595E-8
15.0146484375,3.98841859610777E-8
15.13671875,3.9197192216296E-8
15.2587890625,3.53997204687101E-8
15.380859375,3.38932882768518E-8
15.5029296875,3.30924615901387E-8
15.625,2.93479380819464E-8
15.7470703125,2.75985918919472E-8
15.869140625,3.00798304227939E-8
15.9912109375,3.1942420690746E-8
16.11328125,3.11768233258921E-8
16.2353515625,2.88518518813401E-8
16.357421875,2.73441591445971E-8
16.4794921875,2.86446351133699E-8
16.6015625,3.1469672249779E-8
16.7236328125,3.37940619880747E-8
16.845703125,3.46806865718023E-8
16.9677734375,3.62633123794608E-8
17.08984375,3.60348355129772E-8
17.2119140625,3.12463926072627E-8
17.333984375,2.82470367797751E-8
17.4560546875,2.50102159697172E-8
17.578125,2.28565789925446E-8
17.7001953125,2.78556307073208E-8
17.822265625,3.09428595671194E-8
17.9443359375,3.04508986024722E-8
18.06640625,3.06899921041446E-8
18.1884765625,3.14872113771188E-8
18.310546875,3.27623090069186E-8
18.4326171875,3.22161736504391E-8
18.5546875,3.52446100401025E-8
18.6767578125,4.42779410067851E-8
18.798828125,4.6251641761863E-8
18.9208984375,3.98672378293987E-8
19.04296875,3.58789553806779E-8
19.1650390625,3.68073272798893E-8
19.287109375,3.82790522934362E-8
19.4091796875,3.76248739117134E-8
19.53125,3.44154670217082E-8
19.6533203125,3.15135635949802E-8
19.775390625,2.92755533041485E-8
19.8974609375,3.08362849635636E-8
20.01953125,3.64205072805001E-8
20.1416015625,3.82106048189393E-8
20.263671875,3.50345608518539E-8
20.3857421875,3.35374645532709E-8
20.5078125,3.51613032192114E-8
20.6298828125,3.4408374108962E-8
20.751953125,3.38982740262051E-8
20.8740234375,3.67086723402288E-8
20.99609375,3.7951935800246E-8
21.1181640625,3.39208909542393E-8
21.240234375,2.87428041793751E-8
21.3623046875,2.98529200144873E-8
21.484375,3.44919893141012E-8
21.6064453125,3.81139088476024E-8
21.728515625,3.84867319766017E-8
21.8505859375,3.5463980764445E-8
21.97265625,3.18220832423056E-8
22.0947265625,3.23061106649044E-8
22.216796875,3.59476482684694E-8
22.3388671875,3.7090865512352E-8
22.4609375,3.65528713753807E-8
22.5830078125,3.4258976378706E-8
22.705078125,2.93169371161828E-8
22.8271484375,2.98157596610087E-8
22.94921875,3.16079468257065E-8
23.0712890625,2.936861524573E-8
23.193359375,3.01544037157736E-8
23.3154296875,3.22702190040652E-8
23.4375,3.40685411212904E-8
23.5595703125,3.46963700295493E-8
23.681640625,3.31889020358657E-8
23.8037109375,3.30761553560276E-8
23.92578125,3.54002228211266E-8
24.0478515625,3.88683275412195E-8
24.169921875,4.28145812295348E-8
24.2919921875,4.23141222395182E-8
24.4140625,3.98084795483183E-8
24.5361328125,4.83834294377954E-8
24.658203125,6.65147598124871E-8
24.7802734375,1.01798696743459E-7
24.90234375,1.47914840182826E-7
25.0244140625,1.5890655475201E-7
25.146484375,1.17107046421843E-7
25.2685546875,6.43919808813385E-8
25.390625,4.42082657066555E-8
25.5126953125,4.34742787703294E-8
25.634765625,4.59666045031485E-8
25.7568359375,4.39800365818629E-8
25.87890625,3.5941873263973E-8
26.0009765625,2.9125398583346E-8
26.123046875,3.07069738231572E-8
26.2451171875,3.48105465055553E-8
26.3671875,3.57637576237084E-8
26.4892578125,3.76648263315949E-8
26.611328125,4.08771254104868E-8
26.7333984375,4.0756388136207E-8
26.85546875,3.74070110764721E-8
26.9775390625,3.29748231305996E-8
27.099609375,2.84805050989426E-8
27.2216796875,2.66247548238989E-8
27.34375,2.72143864790369E-8
27.4658203125,2.91525358311939E-8
27.587890625,3.10919117437407E-8
27.7099609375,2.98921109346457E-8
27.83203125,2.64645363056033E-8
27.9541015625,2.60071046705298E-8
28.076171875,2.53568283002252E-8
28.1982421875,2.26428126966795E-8
28.3203125,3.11728179448565E-8
28.4423828125,6.00907499735473E-8
28.564453125,8.14145588640272E-8
