frequency(Hz),V/rt(Hz)
0,8.03584500130908E-8
3.90614403906144,9.26019189380996E-8
7.81228807812288,9.53678292373951E-8
11.7184321171843,8.1298396346634E-8
15.6245761562458,6.98436986998847E-8
19.5307201953072,6.98308174384894E-8
23.4368642343686,7.76723908778343E-8
27.3430082734301,7.65940162273924E-8
31.2491523124915,6.4352131820619E-8
35.155296351553,5.21164223836061E-8
39.0614403906144,4.64770532612301E-8
42.9675844296758,5.11820739120475E-8
46.8737284687373,6.23882490722242E-8
50.7798725077987,6.77129936733508E-8
54.6860165468602,7.81669320680735E-8
58.5921605859216,9.83863941924083E-8
62.4983046249831,9.30627479008156E-8
66.4044486640445,6.23176756209674E-8
70.3105927031059,3.90448859573071E-8
74.2167367421674,3.30489073168485E-8
78.1228807812288,3.11801473267715E-8
82.0290248202902,3.0996873703663E-8
85.9351688593517,3.1557917177372E-8
89.8413128984131,3.17200121005855E-8
93.7474569374746,3.33953877611365E-8
97.653600976536,3.57292696624528E-8
101.559745015597,3.58722379956463E-8
105.465889054659,3.37935651703588E-8
109.37203309372,3.27653467511398E-8
113.278177132782,3.95927421561603E-8
117.184321171843,5.27914927315313E-8
121.090465210905,5.6149963627292E-8
124.996609249966,4.47611984670982E-8
128.902753289028,3.2431678164546E-8
132.808897328089,2.8052589123423E-8
136.71504136715,2.82958784711792E-8
140.621185406212,3.07485486079997E-8
144.527329445273,3.58126716524423E-8
148.433473484335,4.10520679518424E-8
152.339617523396,3.92028810495265E-8
156.245761562458,3.18030100724048E-8
160.151905601519,2.78754718431973E-8
164.05804964058,2.78031125937326E-8
167.964193679642,3.07315901336961E-8
171.870337718703,5.40314552175657E-8
175.776481757765,9.95364802921757E-8
179.682625796826,1.26773370516937E-7
183.588769835888,1.0563580513781E-7
187.494913874949,5.85591089787273E-8
191.401057914011,3.34312714939811E-8
195.307201953072,4.3654654986108E-8
199.213345992133,5.36789871916468E-8
203.119490031195,4.73567091797675E-8
207.025634070256,3.26271601190799E-8
210.931778109318,2.6219919605587E-8
214.837922148379,2.60497915139334E-8
218.744066187441,2.64960011117393E-8
222.650210226502,2.76285600024983E-8
226.556354265564,2.82487453469043E-8
230.462498304625,2.8202683756531E-8
234.368642343686,3.10388474686052E-8
238.274786382748,3.54617102445549E-8
242.180930421809,3.46202495320154E-8
246.087074460871,3.32049876269577E-8
249.993218499932,3.55021764809041E-8
253.899362538994,3.3565135039707E-8
257.805506578055,2.90801767150235E-8
261.711650617117,2.65524829787991E-8
265.617794656178,2.56307374925315E-8
269.523938695239,2.54673390674823E-8
273.430082734301,2.54336518971439E-8
277.336226773362,2.52450903597789E-8
281.242370812424,2.51293489817127E-8
285.148514851485,2.51195972145397E-8
289.054658890547,2.57543139582758E-8
292.960802929608,3.16638374123396E-8
