frequency(Hz),V/rt(Hz),Title
0,8.04E-08,AD797 PSD @ 28.8 kHz Span
3.906144039,9.26E-08,AD797 PSD @ 28.8 kHz Span
7.812288078,9.54E-08,AD797 PSD @ 28.8 kHz Span
11.71843212,8.13E-08,AD797 PSD @ 28.8 kHz Span
15.62457616,6.98E-08,AD797 PSD @ 28.8 kHz Span
19.5307202,6.98E-08,AD797 PSD @ 28.8 kHz Span
23.43686423,7.77E-08,AD797 PSD @ 28.8 kHz Span
27.34300827,7.66E-08,AD797 PSD @ 28.8 kHz Span
31.24915231,6.44E-08,AD797 PSD @ 28.8 kHz Span
35.15529635,5.21E-08,AD797 PSD @ 28.8 kHz Span
39.06144039,4.65E-08,AD797 PSD @ 28.8 kHz Span
42.96758443,5.12E-08,AD797 PSD @ 28.8 kHz Span
46.87372847,6.24E-08,AD797 PSD @ 28.8 kHz Span
50.77987251,6.77E-08,AD797 PSD @ 28.8 kHz Span
54.68601655,7.82E-08,AD797 PSD @ 28.8 kHz Span
58.59216059,9.84E-08,AD797 PSD @ 28.8 kHz Span
62.49830462,9.31E-08,AD797 PSD @ 28.8 kHz Span
66.40444866,6.23E-08,AD797 PSD @ 28.8 kHz Span
70.3105927,3.90E-08,AD797 PSD @ 28.8 kHz Span
74.21673674,3.30E-08,AD797 PSD @ 28.8 kHz Span
78.12288078,3.12E-08,AD797 PSD @ 28.8 kHz Span
82.02902482,3.10E-08,AD797 PSD @ 28.8 kHz Span
85.93516886,3.16E-08,AD797 PSD @ 28.8 kHz Span
89.8413129,3.17E-08,AD797 PSD @ 28.8 kHz Span
93.74745694,3.34E-08,AD797 PSD @ 28.8 kHz Span
97.65360098,3.57E-08,AD797 PSD @ 28.8 kHz Span
101.559745,3.59E-08,AD797 PSD @ 28.8 kHz Span
105.4658891,3.38E-08,AD797 PSD @ 28.8 kHz Span
109.3720331,3.28E-08,AD797 PSD @ 28.8 kHz Span
113.2781771,3.96E-08,AD797 PSD @ 28.8 kHz Span
117.1843212,5.28E-08,AD797 PSD @ 28.8 kHz Span
121.0904652,5.61E-08,AD797 PSD @ 28.8 kHz Span
124.9966092,4.48E-08,AD797 PSD @ 28.8 kHz Span
128.9027533,3.24E-08,AD797 PSD @ 28.8 kHz Span
132.8088973,2.81E-08,AD797 PSD @ 28.8 kHz Span
136.7150414,2.83E-08,AD797 PSD @ 28.8 kHz Span
140.6211854,3.07E-08,AD797 PSD @ 28.8 kHz Span
144.5273294,3.58E-08,AD797 PSD @ 28.8 kHz Span
148.4334735,4.11E-08,AD797 PSD @ 28.8 kHz Span
152.3396175,3.92E-08,AD797 PSD @ 28.8 kHz Span
156.2457616,3.18E-08,AD797 PSD @ 28.8 kHz Span
160.1519056,2.79E-08,AD797 PSD @ 28.8 kHz Span
164.0580496,2.78E-08,AD797 PSD @ 28.8 kHz Span
167.9641937,3.07E-08,AD797 PSD @ 28.8 kHz Span
171.8703377,5.40E-08,AD797 PSD @ 28.8 kHz Span
175.7764818,9.95E-08,AD797 PSD @ 28.8 kHz Span
179.6826258,1.27E-07,AD797 PSD @ 28.8 kHz Span
183.5887698,1.06E-07,AD797 PSD @ 28.8 kHz Span
187.4949139,5.86E-08,AD797 PSD @ 28.8 kHz Span
191.4010579,3.34E-08,AD797 PSD @ 28.8 kHz Span
195.307202,4.37E-08,AD797 PSD @ 28.8 kHz Span
199.213346,5.37E-08,AD797 PSD @ 28.8 kHz Span
203.11949,4.74E-08,AD797 PSD @ 28.8 kHz Span
207.0256341,3.26E-08,AD797 PSD @ 28.8 kHz Span
210.9317781,2.62E-08,AD797 PSD @ 28.8 kHz Span
214.8379221,2.60E-08,AD797 PSD @ 28.8 kHz Span
218.7440662,2.65E-08,AD797 PSD @ 28.8 kHz Span
222.6502102,2.76E-08,AD797 PSD @ 28.8 kHz Span
226.5563543,2.82E-08,AD797 PSD @ 28.8 kHz Span
230.4624983,2.82E-08,AD797 PSD @ 28.8 kHz Span
234.3686423,3.10E-08,AD797 PSD @ 28.8 kHz Span
238.2747864,3.55E-08,AD797 PSD @ 28.8 kHz Span
242.1809304,3.46E-08,AD797 PSD @ 28.8 kHz Span
246.0870745,3.32E-08,AD797 PSD @ 28.8 kHz Span
249.9932185,3.55E-08,AD797 PSD @ 28.8 kHz Span
253.8993625,3.36E-08,AD797 PSD @ 28.8 kHz Span
257.8055066,2.91E-08,AD797 PSD @ 28.8 kHz Span
261.7116506,2.66E-08,AD797 PSD @ 28.8 kHz Span
265.6177947,2.56E-08,AD797 PSD @ 28.8 kHz Span
269.5239387,2.55E-08,AD797 PSD @ 28.8 kHz Span
273.4300827,2.54E-08,AD797 PSD @ 28.8 kHz Span
277.3362268,2.52E-08,AD797 PSD @ 28.8 kHz Span
281.2423708,2.51E-08,AD797 PSD @ 28.8 kHz Span
285.1485149,2.51E-08,AD797 PSD @ 28.8 kHz Span
289.0546589,2.58E-08,AD797 PSD @ 28.8 kHz Span
292.9608029,3.17E-08,AD797 PSD @ 28.8 kHz Span
296.866947,4.40E-08,AD797 PSD @ 28.8 kHz Span
