frequency(Hz),V/rt(Hz)
0,6.20678832440104E-7
0.244140625,6.28552396796355E-7
0.48828125,5.72901561117862E-7
0.732421875,4.50498373540768E-7
0.9765625,3.47729226693714E-7
1.220703125,2.82961657269691E-7
1.46484375,2.49541085129876E-7
1.708984375,2.36758909105561E-7
1.953125,2.23763152718656E-7
2.197265625,2.07668393027013E-7
2.44140625,1.94223617612264E-7
2.685546875,1.86693259257451E-7
2.9296875,1.8521026409408E-7
3.173828125,1.8254834867615E-7
3.41796875,1.73912236885096E-7
3.662109375,1.63996438696097E-7
3.90625,1.58715200150012E-7
4.150390625,1.55923427769386E-7
4.39453125,1.49457955778075E-7
4.638671875,1.44871959136211E-7
4.8828125,1.42163169048528E-7
5.126953125,1.32861201020206E-7
5.37109375,1.21263364403427E-7
5.615234375,1.20180101615033E-7
5.859375,1.25801038429526E-7
6.103515625,1.29370348389571E-7
6.34765625,1.30296019946587E-7
6.591796875,1.30165566814207E-7
6.8359375,1.26866314252064E-7
7.080078125,1.23781853311969E-7
7.32421875,1.27023506754338E-7
7.568359375,1.298915106542E-7
7.8125,1.26899886763221E-7
8.056640625,1.22855644245276E-7
8.30078125,1.19817796727111E-7
8.544921875,1.17637832472767E-7
8.7890625,1.1674651454027E-7
9.033203125,1.14672751138027E-7
9.27734375,1.13993130611748E-7
9.521484375,1.19128009838542E-7
9.765625,1.24736215635292E-7
10.009765625,1.22408538454528E-7
10.25390625,1.13519107425173E-7
10.498046875,1.0693397390245E-7
10.7421875,1.01223850022209E-7
10.986328125,9.99454334997577E-8
11.23046875,1.04692833797093E-7
11.474609375,1.05788443691969E-7
11.71875,1.02522308339887E-7
11.962890625,1.01660267951179E-7
12.20703125,1.0171897654772E-7
12.451171875,1.01162407013563E-7
12.6953125,1.01995461704899E-7
12.939453125,1.0030184832463E-7
13.18359375,9.62151867250515E-8
13.427734375,9.61806968831532E-8
13.671875,9.89657469153947E-8
13.916015625,1.0088400837844E-7
14.16015625,1.04114017736185E-7
14.404296875,1.04615217394893E-7
14.6484375,9.93397565493273E-8
14.892578125,9.65327407830717E-8
15.13671875,9.69595255229956E-8
15.380859375,9.2674943168336E-8
15.625,8.77646152016876E-8
15.869140625,9.02149315424335E-8
16.11328125,9.56278516029109E-8
16.357421875,9.87400216605182E-8
16.6015625,9.83399441154118E-8
16.845703125,9.9479094253996E-8
17.08984375,1.02066141330171E-7
17.333984375,9.96155157559184E-8
17.578125,9.43847400757358E-8
17.822265625,9.348524595511E-8
18.06640625,9.36203273173733E-8
18.310546875,9.29554914145529E-8
18.5546875,9.36112678848467E-8
18.798828125,9.45893614082353E-8
19.04296875,9.37366052383688E-8
19.287109375,9.31232308824022E-8
19.53125,9.46862015948739E-8
19.775390625,9.58203652510665E-8
20.01953125,9.61278547669547E-8
20.263671875,9.5325584796298E-8
20.5078125,9.44164321588978E-8
20.751953125,9.37928539970374E-8
20.99609375,9.13233660358708E-8
21.240234375,8.91897352193008E-8
21.484375,9.09842602047592E-8
21.728515625,9.18747989444026E-8
21.97265625,8.93535748775158E-8
22.216796875,8.5673362183608E-8
22.4609375,8.19571763286481E-8
