frequency(Hz),V/rt(Hz),Title
0,1.72E-07,AD848 PSD @ 28.8 kHz Span
1.95307202,1.82E-07,AD848 PSD @ 28.8 kHz Span
3.906144039,1.78E-07,AD848 PSD @ 28.8 kHz Span
5.859216059,1.55E-07,AD848 PSD @ 28.8 kHz Span
7.812288078,1.35E-07,AD848 PSD @ 28.8 kHz Span
9.765360098,1.21E-07,AD848 PSD @ 28.8 kHz Span
11.71843212,1.11E-07,AD848 PSD @ 28.8 kHz Span
13.67150414,1.05E-07,AD848 PSD @ 28.8 kHz Span
15.62457616,1.03E-07,AD848 PSD @ 28.8 kHz Span
17.57764818,1.00E-07,AD848 PSD @ 28.8 kHz Span
19.5307202,9.64E-08,AD848 PSD @ 28.8 kHz Span
21.48379221,9.78E-08,AD848 PSD @ 28.8 kHz Span
23.43686423,1.06E-07,AD848 PSD @ 28.8 kHz Span
25.38993625,1.10E-07,AD848 PSD @ 28.8 kHz Span
27.34300827,1.01E-07,AD848 PSD @ 28.8 kHz Span
29.29608029,9.24E-08,AD848 PSD @ 28.8 kHz Span
31.24915231,8.83E-08,AD848 PSD @ 28.8 kHz Span
33.20222433,8.43E-08,AD848 PSD @ 28.8 kHz Span
35.15529635,7.99E-08,AD848 PSD @ 28.8 kHz Span
37.10836837,7.63E-08,AD848 PSD @ 28.8 kHz Span
39.06144039,7.41E-08,AD848 PSD @ 28.8 kHz Span
41.01451241,7.37E-08,AD848 PSD @ 28.8 kHz Span
42.96758443,7.46E-08,AD848 PSD @ 28.8 kHz Span
44.92065645,7.69E-08,AD848 PSD @ 28.8 kHz Span
46.87372847,8.44E-08,AD848 PSD @ 28.8 kHz Span
48.82680049,9.67E-08,AD848 PSD @ 28.8 kHz Span
50.77987251,9.75E-08,AD848 PSD @ 28.8 kHz Span
52.73294453,8.48E-08,AD848 PSD @ 28.8 kHz Span
54.68601655,7.77E-08,AD848 PSD @ 28.8 kHz Span
56.63908857,8.78E-08,AD848 PSD @ 28.8 kHz Span
58.59216059,1.10E-07,AD848 PSD @ 28.8 kHz Span
60.54523261,1.16E-07,AD848 PSD @ 28.8 kHz Span
62.49830462,9.45E-08,AD848 PSD @ 28.8 kHz Span
