frequency(Hz),V/rt(Hz)
0,5.96941587825977E-7
0.244140625,6.1849021947482E-7
0.48828125,5.78688264738992E-7
0.732421875,4.71788868228091E-7
0.9765625,3.84279282115707E-7
1.220703125,3.18293103433448E-7
1.46484375,2.79557232390141E-7
1.708984375,2.7140676178452E-7
1.953125,2.60704211019142E-7
2.197265625,2.38024642234104E-7
2.44140625,2.1737833212447E-7
2.685546875,2.07633611103489E-7
2.9296875,2.04477002897366E-7
3.173828125,1.92958675112969E-7
3.41796875,1.78626985272384E-7
3.662109375,1.7299708519534E-7
3.90625,1.67524123273334E-7
4.150390625,1.58109340211496E-7
4.39453125,1.55235148385148E-7
4.638671875,1.5893864484874E-7
4.8828125,1.63964046126753E-7
5.126953125,1.65139649035113E-7
5.37109375,1.56884071744637E-7
5.615234375,1.43513283801099E-7
5.859375,1.35758956971849E-7
6.103515625,1.35956839398507E-7
6.34765625,1.31044563826028E-7
6.591796875,1.24769552968387E-7
6.8359375,1.25792889884926E-7
7.080078125,1.26414212086078E-7
7.32421875,1.24757461620262E-7
7.568359375,1.18028044890336E-7
7.8125,1.11928081607122E-7
8.056640625,1.12178394027705E-7
8.30078125,1.18085163958028E-7
8.544921875,1.24888566699492E-7
8.7890625,1.26797199847369E-7
9.033203125,1.25850452881537E-7
9.27734375,1.27547333411117E-7
9.521484375,1.29563981242944E-7
9.765625,1.26525925287892E-7
10.009765625,1.20259870906364E-7
10.25390625,1.14255263264749E-7
10.498046875,1.09541420406009E-7
10.7421875,1.06244806820873E-7
10.986328125,1.03880097252479E-7
11.23046875,1.03424469848093E-7
11.474609375,1.02683170583341E-7
11.71875,9.77860045621489E-8
11.962890625,9.53123234257323E-8
12.20703125,1.0015442166913E-7
12.451171875,1.0436942516793E-7
12.6953125,1.06077585050376E-7
12.939453125,1.06887365924169E-7
13.18359375,1.04246751492174E-7
13.427734375,1.00688959078824E-7
13.671875,9.95526871515177E-8
13.916015625,9.85771614476803E-8
14.16015625,9.77282888771717E-8
14.404296875,9.90694183179893E-8
14.6484375,1.00579321094814E-7
14.892578125,9.98858324216967E-8
15.13671875,9.52194645854029E-8
15.380859375,8.84548635828761E-8
15.625,8.41232825956874E-8
15.869140625,8.35147259795029E-8
16.11328125,8.81243494931489E-8
16.357421875,9.26586538835511E-8
16.6015625,9.42425986261192E-8
16.845703125,9.38757168298005E-8
17.08984375,9.09645872812278E-8
17.333984375,8.69303976531405E-8
17.578125,8.38325215021446E-8
17.822265625,8.2067028139198E-8
18.06640625,8.22750928765773E-8
18.310546875,8.63575451087388E-8
18.5546875,9.06826149226611E-8
18.798828125,9.10658359426866E-8
19.04296875,9.00496758000277E-8
19.287109375,8.92294312100516E-8
19.53125,8.96638296847515E-8
19.775390625,9.12824646363022E-8
20.01953125,9.36364590984591E-8
20.263671875,9.64316667680518E-8
20.5078125,9.66632189244255E-8
20.751953125,9.17587330426695E-8
20.99609375,8.49151419641271E-8
21.240234375,8.35146418105075E-8
21.484375,8.51157385512818E-8
21.728515625,8.45405458109274E-8
21.97265625,8.50584622209756E-8
22.216796875,8.76514541619341E-8
22.4609375,8.8325014012251E-8
22.705078125,8.75086122616829E-8
22.94921875,8.96896764142805E-8
23.193359375,9.48723246375864E-8
23.4375,9.88357759165341E-8
23.681640625,9.96390263937046E-8
23.92578125,1.00627086201573E-7
24.169921875,1.09147132509367E-7
24.4140625,1.33739990428048E-7
24.658203125,1.92685553597764E-7
24.90234375,2.53167333590481E-7
25.146484375,2.39828005085373E-7
25.390625,1.64728518972407E-7
25.634765625,1.15276928799694E-7
25.87890625,1.08584630966544E-7
26.123046875,1.06376565440798E-7
26.3671875,9.83263837201358E-8
26.611328125,8.75054479999284E-8
26.85546875,8.3783024522605E-8
27.099609375,8.74002147759072E-8
27.34375,8.7047354103688E-8
27.587890625,8.41961844124704E-8
27.83203125,8.54572135118751E-8
28.076171875,9.06818802034983E-8
28.3203125,1.01628768812646E-7
28.564453125,1.07637719208815E-7
28.80859375,9.7928679715989E-8
29.052734375,8.65427715198133E-8
29.296875,8.49845019792896E-8
29.541015625,8.53776172529862E-8
29.78515625,8.37836993630364E-8
30.029296875,8.19766397461774E-8
30.2734375,8.13148107598496E-8
30.517578125,8.22114733444825E-8
30.76171875,8.36506945355473E-8
31.005859375,8.2524362535933E-8
31.25,7.83846554185535E-8
31.494140625,7.82879193848932E-8
31.73828125,8.31693288984337E-8
31.982421875,8.54823371617378E-8
32.2265625,8.27618001382318E-8
32.470703125,7.97744438218444E-8
32.71484375,7.85005384792099E-8
32.958984375,7.64389379307581E-8
33.203125,7.21758909840154E-8
33.447265625,6.8257433275596E-8
33.69140625,7.02549181156418E-8
33.935546875,7.66922486481002E-8
34.1796875,7.99831228493718E-8
34.423828125,7.91405294255493E-8
34.66796875,7.81235629154998E-8
34.912109375,7.6912799896756E-8
35.15625,7.53474409464334E-8
35.400390625,7.46209423303213E-8
35.64453125,7.41316487153154E-8
35.888671875,7.54948043660314E-8
36.1328125,7.56495813155678E-8
36.376953125,7.31630541406932E-8
36.62109375,7.17964753859849E-8
36.865234375,7.25179928704439E-8
37.109375,7.39156872028303E-8
37.353515625,7.47135742552581E-8
37.59765625,7.44860560390965E-8
37.841796875,7.59765786263677E-8
38.0859375,7.79732030794109E-8
38.330078125,7.62237317795694E-8
38.57421875,7.21364110609001E-8
38.818359375,7.23286726704982E-8
39.0625,7.53925769148742E-8
39.306640625,7.66989751469879E-8
39.55078125,7.69051383370817E-8
39.794921875,7.62978606035903E-8
40.0390625,7.67659170888231E-8
40.283203125,7.92990745711829E-8
40.52734375,8.34432505907137E-8
40.771484375,8.53595952868555E-8
41.015625,8.23286222498258E-8
41.259765625,7.67369839233517E-8
41.50390625,7.14476788090114E-8
41.748046875,6.81932626873693E-8
41.9921875,6.87677423733751E-8
42.236328125,7.16056274269158E-8
42.48046875,7.49031990899222E-8
42.724609375,7.66736999010519E-8
42.96875,7.61378868299174E-8
43.212890625,7.37961869433182E-8
43.45703125,7.16075053896767E-8
43.701171875,7.15900811255058E-8
43.9453125,7.25278624513643E-8
44.189453125,7.38511443299951E-8
44.43359375,7.52413414086557E-8
44.677734375,7.69983008700086E-8
44.921875,7.78057189879633E-8
45.166015625,7.56144211650401E-8
45.41015625,7.2811735456359E-8
45.654296875,7.40804268781282E-8
45.8984375,7.67593437748909E-8
46.142578125,7.6935243714925E-8
46.38671875,7.53070466582027E-8
46.630859375,7.5671814170401E-8
46.875,8.03221500946507E-8
47.119140625,8.26231999322278E-8
47.36328125,7.63287540605182E-8
47.607421875,6.9714334289167E-8
47.8515625,6.95222633531809E-8
48.095703125,7.13567328601607E-8
48.33984375,7.38041422547065E-8
48.583984375,7.63859744434505E-8
48.828125,7.75768176306375E-8
49.072265625,7.93178686188639E-8
49.31640625,9.08292273148738E-8
49.560546875,1.49342309804685E-7
49.8046875,2.38461110421598E-7
50.048828125,2.6539723173581E-7
50.29296875,1.97282015997409E-7
50.537109375,1.11859513199737E-7
50.78125,8.02488632793757E-8
51.025390625,7.69694352051202E-8
51.26953125,7.81804039771183E-8
51.513671875,7.87383451712268E-8
51.7578125,7.49928578879416E-8
52.001953125,6.84434869296476E-8
52.24609375,6.22921727609369E-8
52.490234375,6.25307383669364E-8
52.734375,6.74007900840735E-8
52.978515625,7.17012939278239E-8
53.22265625,7.56634049088549E-8
53.466796875,7.73878201426771E-8
53.7109375,7.68597812115348E-8
53.955078125,7.61057151872055E-8
54.19921875,7.401225351488E-8
54.443359375,7.29260933848735E-8
54.6875,7.37654674993829E-8
54.931640625,7.45397462763041E-8
55.17578125,7.53644466458322E-8
55.419921875,7.35394254487791E-8
55.6640625,6.99570868633229E-8
55.908203125,6.82640753481715E-8
56.15234375,6.9486753932003E-8
56.396484375,7.12612299564039E-8
56.640625,7.20890456166372E-8
56.884765625,7.44045279454784E-8
57.12890625,7.73929934861713E-8
57.373046875,7.46922468829229E-8
57.6171875,6.92696399898829E-8
57.861328125,6.58526419323303E-8
58.10546875,6.40577576196393E-8
58.349609375,6.46187922869502E-8
58.59375,6.56212911604913E-8
58.837890625,6.87805007462223E-8
59.08203125,7.53505033101356E-8
59.326171875,8.99312815998534E-8
59.5703125,1.45358269450328E-7
59.814453125,2.29174056312925E-7
60.05859375,2.56045597927248E-7
60.302734375,1.92264954852015E-7
60.546875,1.06008680508926E-7
60.791015625,7.00521950454808E-8
61.03515625,6.76981907376669E-8
61.279296875,6.83443179161001E-8
61.5234375,7.04398740527037E-8
61.767578125,7.29721030064264E-8
62.01171875,7.23891732267498E-8
62.255859375,7.07124344779068E-8
62.5,7.03497800468175E-8
62.744140625,6.95313999558538E-8
62.98828125,6.91951503564453E-8
63.232421875,6.98941728563446E-8
