frequency(Hz),V/rt(Hz)
0,4.53117281827284E-8
0.48828125,4.60501238281624E-8
0.9765625,4.31023240104206E-8
1.46484375,3.71876257262204E-8
1.953125,3.34836919375759E-8
2.44140625,3.12898629664532E-8
2.9296875,2.92877578493591E-8
3.41796875,2.8226238822119E-8
3.90625,2.74821509490599E-8
4.39453125,2.63343377996773E-8
4.8828125,2.44517213095324E-8
5.37109375,2.28287939605216E-8
5.859375,2.21332265740867E-8
6.34765625,2.13340730300977E-8
6.8359375,2.06353530349293E-8
7.32421875,2.00541987636766E-8
7.8125,1.91090097818654E-8
8.30078125,1.88449299271139E-8
8.7890625,1.92987257315677E-8
9.27734375,1.90150621505413E-8
9.765625,1.81634187626621E-8
10.25390625,1.75270453598317E-8
10.7421875,1.73133462077198E-8
11.23046875,1.70792967229132E-8
11.71875,1.69174290710503E-8
12.20703125,1.75193555815415E-8
12.6953125,1.89318709956207E-8
13.18359375,1.9726836422099E-8
13.671875,1.90809522261134E-8
14.16015625,1.81876510308315E-8
14.6484375,1.81177181508196E-8
15.13671875,1.81260140039574E-8
15.625,1.77941370688032E-8
16.11328125,1.69911244090856E-8
16.6015625,1.60267403331503E-8
17.08984375,1.54906796543742E-8
17.578125,1.53302378939389E-8
18.06640625,1.60451719601277E-8
18.5546875,1.73238824248305E-8
19.04296875,1.77911757605416E-8
19.53125,1.71704847340544E-8
20.01953125,1.63157574055073E-8
20.5078125,1.56102506462459E-8
20.99609375,1.53938383996736E-8
21.484375,1.57478054687801E-8
21.97265625,1.64400863065752E-8
22.4609375,1.69315234134886E-8
22.94921875,1.67208458420943E-8
23.4375,1.61726102937178E-8
23.92578125,1.55787794326564E-8
24.4140625,1.49408976934394E-8
24.90234375,1.46397501751756E-8
25.390625,1.44021511320455E-8
25.87890625,1.45713017012572E-8
26.3671875,1.529703939056E-8
26.85546875,1.63281690696289E-8
27.34375,2.23882628746342E-8
27.83203125,4.04574721510792E-8
28.3203125,5.81623121937552E-8
28.80859375,5.65236029700284E-8
29.296875,3.73804527857039E-8
29.78515625,2.06561767234713E-8
30.2734375,1.61644331176252E-8
30.76171875,1.627421447913E-8
31.25,1.66690534840245E-8
31.73828125,1.6688845153347E-8
32.2265625,1.65400567287928E-8
32.71484375,1.67484612166E-8
33.203125,1.70196507422654E-8
33.69140625,1.71232880312876E-8
34.1796875,1.74722266644549E-8
34.66796875,1.76559160095736E-8
35.15625,1.78036935453799E-8
35.64453125,1.83804397537672E-8
36.1328125,1.82499214123592E-8
36.62109375,1.6489235854959E-8
37.109375,1.49108443941924E-8
37.59765625,1.52612220656917E-8
38.0859375,1.65797492965976E-8
38.57421875,1.67929451984914E-8
39.0625,1.53773614803739E-8
39.55078125,1.43136525603769E-8
40.0390625,1.46615272673031E-8
40.52734375,1.51335453576484E-8
41.015625,1.49524367970615E-8
41.50390625,1.45927484602827E-8
41.9921875,1.47604644515631E-8
42.48046875,1.53762126672535E-8
42.96875,1.56790258902511E-8
43.45703125,1.54873040577307E-8
43.9453125,1.56518014122082E-8
44.43359375,1.62597195367371E-8
44.921875,1.61112704154967E-8
45.41015625,1.53515735176766E-8
45.8984375,1.57829615265534E-8
46.38671875,1.82936562932504E-8
46.875,2.09814060264328E-8
47.36328125,2.0490295312132E-8
47.8515625,1.75393412955182E-8
48.33984375,1.59171626221755E-8
48.828125,1.56143992481187E-8
49.31640625,1.56657712192733E-8
49.8046875,1.56145847031026E-8
50.29296875,1.55333889666952E-8
50.78125,1.59429525334932E-8
51.26953125,1.59779297875067E-8
51.7578125,1.519379973086E-8
52.24609375,1.45107645373653E-8
52.734375,1.4229117881467E-8
53.22265625,1.42025587736614E-8
53.7109375,1.44953401064215E-8
54.19921875,1.52990471761157E-8
54.6875,1.63980289805874E-8
55.17578125,1.69326398049343E-8
55.6640625,1.63192514518693E-8
56.15234375,1.48751624715926E-8
56.640625,1.39809554807172E-8
57.12890625,1.37861082451706E-8
57.6171875,1.37561181452681E-8
58.10546875,1.46102943564074E-8
58.59375,1.7921223593701E-8
59.08203125,3.16357340126785E-8
59.5703125,5.34541138395064E-8
60.05859375,6.20187547306357E-8
60.546875,4.70834515654855E-8
61.03515625,2.49514031532287E-8
61.5234375,1.54653168067594E-8
62.01171875,1.45302852352111E-8
62.5,1.4634709247103E-8
62.98828125,1.53468465586837E-8
63.4765625,1.7202460894254E-8
63.96484375,1.90661834400859E-8
64.453125,1.8293628727431E-8
64.94140625,1.61322740537463E-8
65.4296875,1.50013701800156E-8
65.91796875,1.49458629564957E-8
66.40625,1.49750454645876E-8
66.89453125,1.46643379852121E-8
67.3828125,1.46678654710477E-8
67.87109375,1.47832059740896E-8
68.359375,1.49182326653921E-8
68.84765625,1.48928553348236E-8
69.3359375,1.4460078037888E-8
69.82421875,1.47144070835012E-8
70.3125,1.5439261541557E-8
70.80078125,1.56133843446322E-8
71.2890625,1.55058659192972E-8
71.77734375,1.53331472786064E-8
72.265625,1.46736651454203E-8
72.75390625,1.40616277140493E-8
73.2421875,1.45256907769495E-8
73.73046875,1.51386402340109E-8
74.21875,1.49585061653251E-8
74.70703125,1.48204497892565E-8
75.1953125,1.53069454049235E-8
75.68359375,1.54331341958537E-8
76.171875,1.51039765622118E-8
76.66015625,1.48460615398948E-8
77.1484375,1.48024329466857E-8
77.63671875,1.45487945570536E-8
78.125,1.39567453282087E-8
78.61328125,1.38108615064133E-8
79.1015625,1.37269509026435E-8
79.58984375,1.3373448638973E-8
80.078125,1.34537195215868E-8
80.56640625,1.39279839712202E-8
81.0546875,1.43992685414656E-8
81.54296875,1.46592627728241E-8
82.03125,1.48005751287279E-8
82.51953125,1.49922795137558E-8
83.0078125,1.53449744875744E-8
83.49609375,1.55625920958342E-8
83.984375,1.5184129871714E-8
84.47265625,1.61936362869263E-8
84.9609375,2.25824298709585E-8
85.44921875,2.9184853946861E-8
85.9375,2.73616161703666E-8
86.42578125,1.94297804973459E-8
86.9140625,1.5070641625111E-8
87.40234375,1.55176422364716E-8
87.890625,1.62142721747954E-8
88.37890625,1.55182675479397E-8
88.8671875,1.42297955201571E-8
89.35546875,1.38097289964355E-8
89.84375,1.42809965334857E-8
90.33203125,1.45807790316631E-8
90.8203125,1.42088887684876E-8
91.30859375,1.40114868056382E-8
91.796875,1.40349955459883E-8
92.28515625,1.37503070942913E-8
92.7734375,1.3378845435052E-8
93.26171875,1.31931107042478E-8
93.75,1.38409135037826E-8
94.23828125,1.45374559135213E-8
94.7265625,1.44649880827616E-8
95.21484375,1.42884179841534E-8
95.703125,1.4604570487598E-8
96.19140625,1.52084545110416E-8
96.6796875,1.53949963198995E-8
97.16796875,1.5550299027874E-8
97.65625,1.60579821457864E-8
98.14453125,1.61372709357512E-8
98.6328125,1.59824548011026E-8
99.12109375,1.64283712632032E-8
99.609375,1.7410691730271E-8
100.09765625,1.75109512191927E-8
100.5859375,1.60026014740593E-8
101.07421875,1.4806810982426E-8
101.5625,1.49516401373268E-8
102.05078125,1.53998027678447E-8
102.5390625,1.5579281153761E-8
103.02734375,1.58137403770236E-8
103.515625,1.594944978396E-8
104.00390625,1.55767233353534E-8
104.4921875,1.47458079863699E-8
104.98046875,1.42603598773691E-8
105.46875,1.44182502398388E-8
105.95703125,1.44091124931001E-8
106.4453125,1.42760831501501E-8
106.93359375,1.42738447580417E-8
107.421875,1.40820634882551E-8
107.91015625,1.36222529915605E-8
108.3984375,1.33989619887609E-8
108.88671875,1.41342894511407E-8
109.375,1.55105527902872E-8
109.86328125,1.60427336679649E-8
110.3515625,1.53412690053761E-8
110.83984375,1.46750350462534E-8
111.328125,1.45893997278851E-8
111.81640625,1.45286666117773E-8
112.3046875,1.43840724779235E-8
112.79296875,1.46788998619632E-8
113.28125,1.4889083517867E-8
113.76953125,1.48038843499001E-8
114.2578125,1.45306259750642E-8
114.74609375,1.423083017245E-8
115.234375,1.42480677848209E-8
115.72265625,1.39922618231332E-8
116.2109375,1.36942700069365E-8
116.69921875,1.4090535439851E-8
117.1875,1.46400027761997E-8
117.67578125,1.46517381780686E-8
118.1640625,1.41087996010722E-8
118.65234375,1.46815464445928E-8
119.140625,2.14679527613155E-8
119.62890625,3.23022377460423E-8
120.1171875,3.52707782778257E-8
120.60546875,2.72318224144562E-8
121.09375,1.83611997900051E-8
121.58203125,1.51870249859496E-8
122.0703125,1.45002534918512E-8
122.55859375,1.37684160326821E-8
123.046875,1.29412546864206E-8
123.53515625,1.30199708745672E-8
124.0234375,1.37761984804015E-8
124.51171875,1.43804705968627E-8
125,1.46313596742882E-8
125.48828125,1.48461253569343E-8
125.9765625,1.51504513482495E-8
126.46484375,1.49999664106413E-8
126.953125,1.45568710098409E-8
127.44140625,1.50189403116937E-8
127.9296875,1.5845331276602E-8
128.41796875,1.56571907550041E-8
128.90625,1.45267590550289E-8
129.39453125,1.3419613772326E-8
129.8828125,1.33703991261433E-8
130.37109375,1.41226618397233E-8
130.859375,1.47749284855031E-8
131.34765625,1.52875432896852E-8
131.8359375,1.56961047093986E-8
132.32421875,1.56744030440524E-8
132.8125,1.50901590768195E-8
133.30078125,1.44115090748364E-8
133.7890625,1.44007356415371E-8
134.27734375,1.46554631606944E-8
134.765625,1.43725501920942E-8
135.25390625,1.37576538303147E-8
135.7421875,1.36004342585901E-8
136.23046875,1.41819911566145E-8
136.71875,1.45813444364145E-8
137.20703125,1.43741933053702E-8
137.6953125,1.41138697471348E-8
138.18359375,1.40973081429981E-8
138.671875,1.42321423061874E-8
139.16015625,1.42291807066965E-8
139.6484375,1.37277652028076E-8
140.13671875,1.36294568491927E-8
140.625,1.40897491552307E-8
141.11328125,1.41801479617797E-8
141.6015625,1.53832299204803E-8
142.08984375,2.1233143814949E-8
142.578125,2.66240211079294E-8
143.06640625,2.46390609103881E-8
143.5546875,1.86311060247204E-8
144.04296875,1.56512610089645E-8
144.53125,1.52219327200302E-8
145.01953125,1.47538050742882E-8
145.5078125,1.37882102572552E-8
145.99609375,1.35822661786968E-8
146.484375,1.45337416914756E-8
146.97265625,1.50475632186611E-8
147.4609375,1.48449410944405E-8
147.94921875,1.47136863337626E-8
148.4375,1.4785419963159E-8
148.92578125,1.47494092328191E-8
149.4140625,1.44178125149523E-8
149.90234375,1.39208846513582E-8
150.390625,1.3849060719618E-8
150.87890625,1.39717379027211E-8
151.3671875,1.39393129985621E-8
151.85546875,1.4089044173092E-8
152.34375,1.44979300786238E-8
152.83203125,1.49851816719005E-8
153.3203125,1.54545042649594E-8
