frequency(Hz),V/rt(Hz),Title
0,4.53E-08,ADA4898-1 PSD @ 1.5625 kHz
0.48828125,4.61E-08,ADA4898-1 PSD @ 1.5625 kHz
0.9765625,4.31E-08,ADA4898-1 PSD @ 1.5625 kHz
1.46484375,3.72E-08,ADA4898-1 PSD @ 1.5625 kHz
1.953125,3.35E-08,ADA4898-1 PSD @ 1.5625 kHz
2.44140625,3.13E-08,ADA4898-1 PSD @ 1.5625 kHz
2.9296875,2.93E-08,ADA4898-1 PSD @ 1.5625 kHz
3.41796875,2.82E-08,ADA4898-1 PSD @ 1.5625 kHz
3.90625,2.75E-08,ADA4898-1 PSD @ 1.5625 kHz
4.39453125,2.63E-08,ADA4898-1 PSD @ 1.5625 kHz
4.8828125,2.45E-08,ADA4898-1 PSD @ 1.5625 kHz
5.37109375,2.28E-08,ADA4898-1 PSD @ 1.5625 kHz
5.859375,2.21E-08,ADA4898-1 PSD @ 1.5625 kHz
6.34765625,2.13E-08,ADA4898-1 PSD @ 1.5625 kHz
6.8359375,2.06E-08,ADA4898-1 PSD @ 1.5625 kHz
7.32421875,2.01E-08,ADA4898-1 PSD @ 1.5625 kHz
7.8125,1.91E-08,ADA4898-1 PSD @ 1.5625 kHz
8.30078125,1.88E-08,ADA4898-1 PSD @ 1.5625 kHz
8.7890625,1.93E-08,ADA4898-1 PSD @ 1.5625 kHz
9.27734375,1.90E-08,ADA4898-1 PSD @ 1.5625 kHz
9.765625,1.82E-08,ADA4898-1 PSD @ 1.5625 kHz
10.25390625,1.75E-08,ADA4898-1 PSD @ 1.5625 kHz
10.7421875,1.73E-08,ADA4898-1 PSD @ 1.5625 kHz
11.23046875,1.71E-08,ADA4898-1 PSD @ 1.5625 kHz
11.71875,1.69E-08,ADA4898-1 PSD @ 1.5625 kHz
12.20703125,1.75E-08,ADA4898-1 PSD @ 1.5625 kHz
12.6953125,1.89E-08,ADA4898-1 PSD @ 1.5625 kHz
13.18359375,1.97E-08,ADA4898-1 PSD @ 1.5625 kHz
13.671875,1.91E-08,ADA4898-1 PSD @ 1.5625 kHz
14.16015625,1.82E-08,ADA4898-1 PSD @ 1.5625 kHz
14.6484375,1.81E-08,ADA4898-1 PSD @ 1.5625 kHz
15.13671875,1.81E-08,ADA4898-1 PSD @ 1.5625 kHz
15.625,1.78E-08,ADA4898-1 PSD @ 1.5625 kHz
16.11328125,1.70E-08,ADA4898-1 PSD @ 1.5625 kHz
16.6015625,1.60E-08,ADA4898-1 PSD @ 1.5625 kHz
17.08984375,1.55E-08,ADA4898-1 PSD @ 1.5625 kHz
17.578125,1.53E-08,ADA4898-1 PSD @ 1.5625 kHz
18.06640625,1.60E-08,ADA4898-1 PSD @ 1.5625 kHz
18.5546875,1.73E-08,ADA4898-1 PSD @ 1.5625 kHz
19.04296875,1.78E-08,ADA4898-1 PSD @ 1.5625 kHz
19.53125,1.72E-08,ADA4898-1 PSD @ 1.5625 kHz
20.01953125,1.63E-08,ADA4898-1 PSD @ 1.5625 kHz
20.5078125,1.56E-08,ADA4898-1 PSD @ 1.5625 kHz
20.99609375,1.54E-08,ADA4898-1 PSD @ 1.5625 kHz
21.484375,1.57E-08,ADA4898-1 PSD @ 1.5625 kHz
21.97265625,1.64E-08,ADA4898-1 PSD @ 1.5625 kHz
22.4609375,1.69E-08,ADA4898-1 PSD @ 1.5625 kHz
22.94921875,1.67E-08,ADA4898-1 PSD @ 1.5625 kHz
23.4375,1.62E-08,ADA4898-1 PSD @ 1.5625 kHz
23.92578125,1.56E-08,ADA4898-1 PSD @ 1.5625 kHz
24.4140625,1.49E-08,ADA4898-1 PSD @ 1.5625 kHz
24.90234375,1.46E-08,ADA4898-1 PSD @ 1.5625 kHz
25.390625,1.44E-08,ADA4898-1 PSD @ 1.5625 kHz
25.87890625,1.46E-08,ADA4898-1 PSD @ 1.5625 kHz
26.3671875,1.53E-08,ADA4898-1 PSD @ 1.5625 kHz
26.85546875,1.63E-08,ADA4898-1 PSD @ 1.5625 kHz
27.34375,2.24E-08,ADA4898-1 PSD @ 1.5625 kHz
27.83203125,4.05E-08,ADA4898-1 PSD @ 1.5625 kHz
28.3203125,5.82E-08,ADA4898-1 PSD @ 1.5625 kHz
