frequency(Hz),V/rt(Hz)
0,1.16000970812194E-6
7.8125,1.22390056345025E-6
15.625,1.21464756574826E-6
23.4375,1.07815862488172E-6
31.25,9.32169792750677E-7
39.0625,8.21013739220474E-7
46.875,7.53515341614865E-7
54.6875,7.19570429921191E-7
62.5,6.85173077659543E-7
70.3125,6.29315548275011E-7
78.125,5.82273508585224E-7
85.9375,5.53240691257695E-7
93.75,5.29878814497376E-7
101.5625,5.12845134645658E-7
109.375,5.11750652770458E-7
117.1875,5.18676273580138E-7
125,5.05895598302221E-7
132.8125,4.81725415655292E-7
140.625,4.66245242467486E-7
148.4375,4.5476802925553E-7
156.25,4.45094606522854E-7
164.0625,4.58253062657914E-7
171.875,5.26428447618218E-7
179.6875,5.80201661205676E-7
187.5,5.33453789111222E-7
195.3125,4.52325265075823E-7
203.125,4.12505284788542E-7
210.9375,3.98107418435029E-7
218.75,3.93670214423155E-7
226.5625,3.92667487788685E-7
234.375,3.92275419594294E-7
242.1875,3.84273496764244E-7
250,3.7152585487545E-7
257.8125,3.65674638667317E-7
265.625,3.63716867255806E-7
273.4375,3.58033832666114E-7
281.25,3.47514905613158E-7
289.0625,3.40265776166585E-7
296.875,3.43534549743357E-7
304.6875,3.45377796844875E-7
312.5,3.41466890796974E-7
320.3125,3.37121379572563E-7
328.125,3.34803013116301E-7
335.9375,3.33480181016584E-7
343.75,3.28345647313019E-7
351.5625,3.2040693842034E-7
359.375,3.1484010189862E-7
367.1875,3.10841229941637E-7
375,3.08608819083194E-7
382.8125,3.0996197839543E-7
390.625,3.12152117631297E-7
398.4375,3.09867462769005E-7
406.25,3.04438044902371E-7
414.0625,3.05600694467663E-7
421.875,3.06688662393509E-7
429.6875,3.04752234200037E-7
437.5,3.06945545619589E-7
445.3125,3.07574080846941E-7
453.125,3.04944821373712E-7
460.9375,3.02254141208592E-7
468.75,2.99510847011596E-7
476.5625,2.97886866212548E-7
484.375,2.98527829445624E-7
492.1875,2.9855294053777E-7
500,2.92424672839092E-7
507.8125,2.81519116708547E-7
515.625,2.77398859283817E-7
523.4375,2.81921247068633E-7
531.25,2.85840995003089E-7
539.0625,2.83654517169492E-7
546.875,2.77824539153183E-7
554.6875,2.73945413499622E-7
562.5,2.7285239174839E-7
570.3125,2.74608702412718E-7
578.125,2.75771147713157E-7
585.9375,2.72653633499035E-7
593.75,2.67701330783012E-7
601.5625,2.63567466526745E-7
609.375,2.59442075430314E-7
617.1875,2.56596846068378E-7
625,2.5499143145171E-7
632.8125,2.53176252401428E-7
640.625,2.52900799776104E-7
648.4375,2.54013767502754E-7
656.25,2.54926091300349E-7
664.0625,2.56719178472084E-7
671.875,2.58106920420345E-7
679.6875,2.55247204558749E-7
687.5,2.52309201260436E-7
695.3125,2.51003700948626E-7
703.125,2.49947491398519E-7
710.9375,2.50024812513974E-7
718.75,2.51437811856678E-7
726.5625,2.53207499530458E-7
734.375,2.5167167724254E-7
742.1875,2.49965309638424E-7
750,2.49399011861975E-7
757.8125,2.47921594757682E-7
765.625,2.46030327247723E-7
773.4375,2.44739122507745E-7
781.25,2.47065653375488E-7
789.0625,2.49671310539463E-7
796.875,2.47801947066298E-7
804.6875,2.45574456032741E-7
812.5,2.45872377561572E-7
820.3125,2.451808985071E-7
828.125,2.44358016890838E-7
835.9375,2.42668707053077E-7
843.75,2.39008969937036E-7
851.5625,2.3732666915321E-7
859.375,2.38131508313246E-7
867.1875,2.37377816682989E-7
875,2.36728404973891E-7
882.8125,2.36197034409167E-7
890.625,2.33430282528435E-7
898.4375,2.33444724929254E-7
906.25,2.37711606367039E-7
914.0625,2.40262459310309E-7
921.875,2.37547434037432E-7
929.6875,2.31801298334571E-7
937.5,2.28202622816792E-7
945.3125,2.29936600716759E-7
953.125,2.33049794465663E-7
960.9375,2.33675402584576E-7
968.75,2.34736425891673E-7
976.5625,2.35822287377268E-7
984.375,2.44331662498819E-7
992.1875,2.72170881045065E-7
1000,2.91404977008334E-7
1007.8125,2.69609569992933E-7
1015.625,2.38072588659112E-7
1023.4375,2.28033239095816E-7
1031.25,2.27241748657871E-7
1039.0625,2.30049914799631E-7
1046.875,2.33398011674504E-7
1054.6875,2.33048556548203E-7
1062.5,2.32485616654557E-7
1070.3125,2.3153212163253E-7
1078.125,2.27139837156732E-7
1085.9375,2.22153635978553E-7
1093.75,2.20364013588173E-7
1101.5625,2.21360786020781E-7
1109.375,2.20720042093888E-7
1117.1875,2.18925405067441E-7
1125,2.17339216708924E-7
1132.8125,2.17139773271052E-7
1140.625,2.19424265909985E-7
1148.4375,2.21660157816149E-7
1156.25,2.21184344476039E-7
1164.0625,2.21173528810273E-7
1171.875,2.22129055416416E-7
1179.6875,2.19702880938532E-7
1187.5,2.16211013452039E-7
1195.3125,2.14158989890928E-7
1203.125,2.1272491487156E-7
1210.9375,2.12240301624769E-7
1218.75,2.12985510220761E-7
1226.5625,2.12728993305071E-7
1234.375,2.13295581052468E-7
1242.1875,2.15454393754587E-7
1250,2.15152514007974E-7
1257.8125,2.15698053580833E-7
1265.625,2.15975976418959E-7
1273.4375,2.12130309720539E-7
1281.25,2.09756387239605E-7
1289.0625,2.09111565656286E-7
1296.875,2.08168372832144E-7
1304.6875,2.07687768649579E-7
1312.5,2.07086988022125E-7
1320.3125,2.05813242878303E-7
1328.125,2.05187260307879E-7
1335.9375,2.06289425187788E-7
1343.75,2.09046219606056E-7
1351.5625,2.10905400618785E-7
