frequency(Hz),V/rt(Hz),Title
0,3.45E-06,LMH6624 PSD @ 28.8 kHz Span
0.976569123,3.63E-06,LMH6624 PSD @ 28.8 kHz Span
1.953138246,3.48E-06,LMH6624 PSD @ 28.8 kHz Span
2.929707368,2.88E-06,LMH6624 PSD @ 28.8 kHz Span
3.906276491,2.39E-06,LMH6624 PSD @ 28.8 kHz Span
4.882845614,2.12E-06,LMH6624 PSD @ 28.8 kHz Span
5.859414737,1.97E-06,LMH6624 PSD @ 28.8 kHz Span
6.835983859,1.87E-06,LMH6624 PSD @ 28.8 kHz Span
7.812552982,1.77E-06,LMH6624 PSD @ 28.8 kHz Span
8.789122105,1.65E-06,LMH6624 PSD @ 28.8 kHz Span
9.765691228,1.50E-06,LMH6624 PSD @ 28.8 kHz Span
10.74226035,1.40E-06,LMH6624 PSD @ 28.8 kHz Span
11.71882947,1.35E-06,LMH6624 PSD @ 28.8 kHz Span
12.6953986,1.32E-06,LMH6624 PSD @ 28.8 kHz Span
13.67196772,1.28E-06,LMH6624 PSD @ 28.8 kHz Span
14.64853684,1.26E-06,LMH6624 PSD @ 28.8 kHz Span
15.62510596,1.24E-06,LMH6624 PSD @ 28.8 kHz Span
16.60167509,1.18E-06,LMH6624 PSD @ 28.8 kHz Span
17.57824421,1.09E-06,LMH6624 PSD @ 28.8 kHz Span
18.55481333,1.04E-06,LMH6624 PSD @ 28.8 kHz Span
19.53138246,1.05E-06,LMH6624 PSD @ 28.8 kHz Span
20.50795158,1.06E-06,LMH6624 PSD @ 28.8 kHz Span
21.4845207,1.04E-06,LMH6624 PSD @ 28.8 kHz Span
22.46108982,1.00E-06,LMH6624 PSD @ 28.8 kHz Span
23.43765895,9.64E-07,LMH6624 PSD @ 28.8 kHz Span
24.41422807,9.63E-07,LMH6624 PSD @ 28.8 kHz Span
25.39079719,9.54E-07,LMH6624 PSD @ 28.8 kHz Span
26.36736632,9.09E-07,LMH6624 PSD @ 28.8 kHz Span
27.34393544,8.62E-07,LMH6624 PSD @ 28.8 kHz Span
28.32050456,8.50E-07,LMH6624 PSD @ 28.8 kHz Span
29.29707368,8.65E-07,LMH6624 PSD @ 28.8 kHz Span
30.27364281,8.71E-07,LMH6624 PSD @ 28.8 kHz Span
31.25021193,8.69E-07,LMH6624 PSD @ 28.8 kHz Span
32.22678105,8.55E-07,LMH6624 PSD @ 28.8 kHz Span
33.20335017,8.29E-07,LMH6624 PSD @ 28.8 kHz Span
34.1799193,8.19E-07,LMH6624 PSD @ 28.8 kHz Span
35.15648842,8.20E-07,LMH6624 PSD @ 28.8 kHz Span
36.13305754,8.05E-07,LMH6624 PSD @ 28.8 kHz Span
37.10962667,7.79E-07,LMH6624 PSD @ 28.8 kHz Span
38.08619579,7.72E-07,LMH6624 PSD @ 28.8 kHz Span
39.06276491,7.94E-07,LMH6624 PSD @ 28.8 kHz Span
40.03933403,8.06E-07,LMH6624 PSD @ 28.8 kHz Span
41.01590316,7.97E-07,LMH6624 PSD @ 28.8 kHz Span
41.99247228,7.74E-07,LMH6624 PSD @ 28.8 kHz Span
42.9690414,7.43E-07,LMH6624 PSD @ 28.8 kHz Span
43.94561053,7.15E-07,LMH6624 PSD @ 28.8 kHz Span
44.92217965,7.10E-07,LMH6624 PSD @ 28.8 kHz Span
45.89874877,7.26E-07,LMH6624 PSD @ 28.8 kHz Span
46.87531789,7.43E-07,LMH6624 PSD @ 28.8 kHz Span
47.85188702,7.46E-07,LMH6624 PSD @ 28.8 kHz Span
48.82845614,7.56E-07,LMH6624 PSD @ 28.8 kHz Span
49.80502526,7.61E-07,LMH6624 PSD @ 28.8 kHz Span
50.78159438,7.44E-07,LMH6624 PSD @ 28.8 kHz Span
