frequency(Hz),V/rt(Hz),Title
0,8.74E-08,SR1 PSD @ 1.5625 kHz Span
0.061035156,9.20E-08,SR1 PSD @ 1.5625 kHz Span
0.122070313,8.68E-08,SR1 PSD @ 1.5625 kHz Span
0.183105469,6.98E-08,SR1 PSD @ 1.5625 kHz Span
0.244140625,5.62E-08,SR1 PSD @ 1.5625 kHz Span
0.305175781,4.90E-08,SR1 PSD @ 1.5625 kHz Span
0.366210938,4.52E-08,SR1 PSD @ 1.5625 kHz Span
0.427246094,4.17E-08,SR1 PSD @ 1.5625 kHz Span
0.48828125,3.88E-08,SR1 PSD @ 1.5625 kHz Span
0.549316406,3.56E-08,SR1 PSD @ 1.5625 kHz Span
0.610351563,3.22E-08,SR1 PSD @ 1.5625 kHz Span
0.671386719,2.99E-08,SR1 PSD @ 1.5625 kHz Span
0.732421875,2.87E-08,SR1 PSD @ 1.5625 kHz Span
0.793457031,2.70E-08,SR1 PSD @ 1.5625 kHz Span
0.854492188,2.55E-08,SR1 PSD @ 1.5625 kHz Span
0.915527344,2.50E-08,SR1 PSD @ 1.5625 kHz Span
0.9765625,2.45E-08,SR1 PSD @ 1.5625 kHz Span
1.037597656,2.38E-08,SR1 PSD @ 1.5625 kHz Span
1.098632813,2.26E-08,SR1 PSD @ 1.5625 kHz Span
1.159667969,2.02E-08,SR1 PSD @ 1.5625 kHz Span
1.220703125,1.94E-08,SR1 PSD @ 1.5625 kHz Span
1.281738281,2.01E-08,SR1 PSD @ 1.5625 kHz Span
1.342773438,2.02E-08,SR1 PSD @ 1.5625 kHz Span
1.403808594,1.87E-08,SR1 PSD @ 1.5625 kHz Span
1.46484375,1.63E-08,SR1 PSD @ 1.5625 kHz Span
1.525878906,1.55E-08,SR1 PSD @ 1.5625 kHz Span
1.586914063,1.63E-08,SR1 PSD @ 1.5625 kHz Span
1.647949219,1.67E-08,SR1 PSD @ 1.5625 kHz Span
1.708984375,1.63E-08,SR1 PSD @ 1.5625 kHz Span
1.770019531,1.67E-08,SR1 PSD @ 1.5625 kHz Span
1.831054688,1.77E-08,SR1 PSD @ 1.5625 kHz Span
1.892089844,1.79E-08,SR1 PSD @ 1.5625 kHz Span
1.953125,1.77E-08,SR1 PSD @ 1.5625 kHz Span
2.014160156,1.74E-08,SR1 PSD @ 1.5625 kHz Span
2.075195313,1.67E-08,SR1 PSD @ 1.5625 kHz Span
2.136230469,1.55E-08,SR1 PSD @ 1.5625 kHz Span
2.197265625,1.42E-08,SR1 PSD @ 1.5625 kHz Span
2.258300781,1.35E-08,SR1 PSD @ 1.5625 kHz Span
2.319335938,1.33E-08,SR1 PSD @ 1.5625 kHz Span
2.380371094,1.32E-08,SR1 PSD @ 1.5625 kHz Span
2.44140625,1.31E-08,SR1 PSD @ 1.5625 kHz Span
2.502441406,1.33E-08,SR1 PSD @ 1.5625 kHz Span
2.563476563,1.36E-08,SR1 PSD @ 1.5625 kHz Span
2.624511719,1.32E-08,SR1 PSD @ 1.5625 kHz Span
2.685546875,1.27E-08,SR1 PSD @ 1.5625 kHz Span
2.746582031,1.27E-08,SR1 PSD @ 1.5625 kHz Span
2.807617188,1.25E-08,SR1 PSD @ 1.5625 kHz Span
2.868652344,1.14E-08,SR1 PSD @ 1.5625 kHz Span
2.9296875,1.10E-08,SR1 PSD @ 1.5625 kHz Span
2.990722656,1.16E-08,SR1 PSD @ 1.5625 kHz Span
3.051757813,1.20E-08,SR1 PSD @ 1.5625 kHz Span
3.112792969,1.20E-08,SR1 PSD @ 1.5625 kHz Span
3.173828125,1.15E-08,SR1 PSD @ 1.5625 kHz Span
3.234863281,1.08E-08,SR1 PSD @ 1.5625 kHz Span
3.295898438,1.04E-08,SR1 PSD @ 1.5625 kHz Span
3.356933594,1.12E-08,SR1 PSD @ 1.5625 kHz Span
3.41796875,1.22E-08,SR1 PSD @ 1.5625 kHz Span
3.479003906,1.22E-08,SR1 PSD @ 1.5625 kHz Span
3.540039063,1.15E-08,SR1 PSD @ 1.5625 kHz Span
3.601074219,1.17E-08,SR1 PSD @ 1.5625 kHz Span
3.662109375,1.20E-08,SR1 PSD @ 1.5625 kHz Span
3.723144531,1.20E-08,SR1 PSD @ 1.5625 kHz Span
3.784179688,1.15E-08,SR1 PSD @ 1.5625 kHz Span
3.845214844,1.15E-08,SR1 PSD @ 1.5625 kHz Span
3.90625,1.18E-08,SR1 PSD @ 1.5625 kHz Span
3.967285156,1.17E-08,SR1 PSD @ 1.5625 kHz Span
4.028320313,1.11E-08,SR1 PSD @ 1.5625 kHz Span
4.089355469,1.02E-08,SR1 PSD @ 1.5625 kHz Span
4.150390625,1.08E-08,SR1 PSD @ 1.5625 kHz Span
4.211425781,1.33E-08,SR1 PSD @ 1.5625 kHz Span
4.272460938,1.46E-08,SR1 PSD @ 1.5625 kHz Span
4.333496094,1.37E-08,SR1 PSD @ 1.5625 kHz Span
4.39453125,1.21E-08,SR1 PSD @ 1.5625 kHz Span
4.455566406,1.10E-08,SR1 PSD @ 1.5625 kHz Span
4.516601563,1.06E-08,SR1 PSD @ 1.5625 kHz Span
4.577636719,1.07E-08,SR1 PSD @ 1.5625 kHz Span
4.638671875,1.11E-08,SR1 PSD @ 1.5625 kHz Span
4.699707031,1.08E-08,SR1 PSD @ 1.5625 kHz Span
4.760742188,9.99E-09,SR1 PSD @ 1.5625 kHz Span
4.821777344,9.41E-09,SR1 PSD @ 1.5625 kHz Span
4.8828125,8.90E-09,SR1 PSD @ 1.5625 kHz Span
4.943847656,9.11E-09,SR1 PSD @ 1.5625 kHz Span
5.004882813,1.02E-08,SR1 PSD @ 1.5625 kHz Span
5.065917969,1.11E-08,SR1 PSD @ 1.5625 kHz Span
5.126953125,1.13E-08,SR1 PSD @ 1.5625 kHz Span
5.187988281,1.10E-08,SR1 PSD @ 1.5625 kHz Span
5.249023438,1.03E-08,SR1 PSD @ 1.5625 kHz Span
5.310058594,1.02E-08,SR1 PSD @ 1.5625 kHz Span
5.37109375,1.08E-08,SR1 PSD @ 1.5625 kHz Span
5.432128906,1.09E-08,SR1 PSD @ 1.5625 kHz Span
5.493164063,1.05E-08,SR1 PSD @ 1.5625 kHz Span
5.554199219,1.01E-08,SR1 PSD @ 1.5625 kHz Span
5.615234375,9.98E-09,SR1 PSD @ 1.5625 kHz Span
5.676269531,9.98E-09,SR1 PSD @ 1.5625 kHz Span
5.737304688,1.04E-08,SR1 PSD @ 1.5625 kHz Span
5.798339844,1.08E-08,SR1 PSD @ 1.5625 kHz Span
5.859375,1.03E-08,SR1 PSD @ 1.5625 kHz Span
5.920410156,9.46E-09,SR1 PSD @ 1.5625 kHz Span
5.981445313,9.62E-09,SR1 PSD @ 1.5625 kHz Span
6.042480469,1.02E-08,SR1 PSD @ 1.5625 kHz Span
6.103515625,1.05E-08,SR1 PSD @ 1.5625 kHz Span
6.164550781,1.05E-08,SR1 PSD @ 1.5625 kHz Span
6.225585938,1.04E-08,SR1 PSD @ 1.5625 kHz Span
6.286621094,1.01E-08,SR1 PSD @ 1.5625 kHz Span
6.34765625,9.09E-09,SR1 PSD @ 1.5625 kHz Span
6.408691406,8.39E-09,SR1 PSD @ 1.5625 kHz Span
6.469726563,8.80E-09,SR1 PSD @ 1.5625 kHz Span
6.530761719,9.41E-09,SR1 PSD @ 1.5625 kHz Span
6.591796875,1.07E-08,SR1 PSD @ 1.5625 kHz Span
6.652832031,1.20E-08,SR1 PSD @ 1.5625 kHz Span
6.713867188,1.15E-08,SR1 PSD @ 1.5625 kHz Span
6.774902344,9.90E-09,SR1 PSD @ 1.5625 kHz Span
6.8359375,9.16E-09,SR1 PSD @ 1.5625 kHz Span
6.896972656,9.02E-09,SR1 PSD @ 1.5625 kHz Span
6.958007813,8.45E-09,SR1 PSD @ 1.5625 kHz Span
7.019042969,8.09E-09,SR1 PSD @ 1.5625 kHz Span
7.080078125,8.15E-09,SR1 PSD @ 1.5625 kHz Span
7.141113281,8.31E-09,SR1 PSD @ 1.5625 kHz Span
7.202148438,8.19E-09,SR1 PSD @ 1.5625 kHz Span
7.263183594,8.10E-09,SR1 PSD @ 1.5625 kHz Span
7.32421875,8.84E-09,SR1 PSD @ 1.5625 kHz Span
7.385253906,9.88E-09,SR1 PSD @ 1.5625 kHz Span
7.446289063,1.03E-08,SR1 PSD @ 1.5625 kHz Span
7.507324219,9.88E-09,SR1 PSD @ 1.5625 kHz Span
7.568359375,8.70E-09,SR1 PSD @ 1.5625 kHz Span
7.629394531,7.72E-09,SR1 PSD @ 1.5625 kHz Span
7.690429688,8.17E-09,SR1 PSD @ 1.5625 kHz Span
7.751464844,9.23E-09,SR1 PSD @ 1.5625 kHz Span
7.8125,9.36E-09,SR1 PSD @ 1.5625 kHz Span
7.873535156,8.61E-09,SR1 PSD @ 1.5625 kHz Span
7.934570313,8.62E-09,SR1 PSD @ 1.5625 kHz Span
7.995605469,9.44E-09,SR1 PSD @ 1.5625 kHz Span
8.056640625,9.46E-09,SR1 PSD @ 1.5625 kHz Span
8.117675781,8.80E-09,SR1 PSD @ 1.5625 kHz Span
8.178710938,8.46E-09,SR1 PSD @ 1.5625 kHz Span
8.239746094,8.42E-09,SR1 PSD @ 1.5625 kHz Span
8.30078125,8.36E-09,SR1 PSD @ 1.5625 kHz Span
8.361816406,8.54E-09,SR1 PSD @ 1.5625 kHz Span
8.422851563,9.64E-09,SR1 PSD @ 1.5625 kHz Span
