frequency(Hz),V/rt(Hz)
0,1.1474495513527E-8
1.953125,1.20152125276163E-8
3.90625,1.1580855306677E-8
5.859375,1.01201262698199E-8
7.8125,9.16039292306804E-9
9.765625,8.52028556263892E-9
11.71875,8.11422684981961E-9
13.671875,8.05481496946608E-9
15.625,7.93470650706881E-9
17.578125,7.64080426628361E-9
19.53125,7.5418019873785E-9
21.484375,7.68803390328964E-9
23.4375,9.47179072210627E-9
25.390625,1.76725778362996E-8
27.34375,2.80091082421409E-8
29.296875,2.96062606714748E-8
31.25,2.06580938266944E-8
33.203125,1.10904459574173E-8
35.15625,8.51947744664505E-9
37.109375,8.31581449862125E-9
39.0625,7.55715587679025E-9
41.015625,6.98177159183637E-9
42.96875,7.31139149327256E-9
44.921875,8.62956688242717E-9
46.875,9.60991020967872E-9
48.828125,8.78837064676417E-9
50.78125,7.30879940569824E-9
52.734375,6.83280638279606E-9
54.6875,7.21797219987388E-9
56.640625,7.50936647187415E-9
58.59375,7.38430467746228E-9
60.546875,7.48607690248514E-9
62.5,8.40470231563516E-9
64.453125,8.78132798549255E-9
66.40625,7.54264250317638E-9
68.359375,6.33930728957715E-9
70.3125,6.21432737863062E-9
72.265625,6.26537035195894E-9
74.21875,6.08459572441435E-9
76.171875,5.9146096537301E-9
78.125,5.90124727834789E-9
80.078125,6.16859657564422E-9
82.03125,8.32211967646751E-9
83.984375,1.27711882080578E-8
85.9375,1.48130822337193E-8
87.890625,1.17866759674581E-8
89.84375,7.35891669042325E-9
91.796875,5.74446483791363E-9
93.75,5.7449229516658E-9
95.703125,5.92132267131438E-9
97.65625,6.56837383149926E-9
99.609375,7.2525210159142E-9
101.5625,6.84293255056587E-9
103.515625,5.86222657859895E-9
105.46875,5.41870188244902E-9
107.421875,5.45955821514858E-9
109.375,5.60925432075088E-9
111.328125,5.75588455459479E-9
113.28125,5.89721947057967E-9
115.234375,5.85540086521432E-9
117.1875,5.68137501954949E-9
119.140625,5.59690210124741E-9
121.09375,5.57498036983169E-9
123.046875,5.59285734628424E-9
125,5.76334926007958E-9
126.953125,6.11302489549048E-9
128.90625,6.18127429394777E-9
130.859375,5.87966891775078E-9
132.8125,5.69466664174099E-9
134.765625,5.66004664662351E-9
136.71875,5.71437637051346E-9
138.671875,7.05883421635025E-9
140.625,1.08837273512294E-8
142.578125,1.3723067167719E-8
144.53125,1.20854398035402E-8
146.484375,8.11139510676757E-9
148.4375,6.15221724096398E-9
150.390625,5.88118824808109E-9
152.34375,5.77192217254426E-9
154.296875,5.69670970786889E-9
156.25,5.75279141620344E-9
158.203125,5.85214705026656E-9
160.15625,5.9394464099823E-9
162.109375,6.16005676120886E-9
164.0625,6.38930587173116E-9
166.015625,6.30751486544171E-9
167.96875,6.12676048560726E-9
169.921875,6.12972047710039E-9
171.875,6.13017379098767E-9
173.828125,5.96887174186098E-9
175.78125,5.96822169136719E-9
177.734375,6.59424126486429E-9
179.6875,7.21481685526021E-9
181.640625,6.92006874606602E-9
183.59375,6.28133695728779E-9
185.546875,6.07713395596487E-9
187.5,6.04121781274369E-9
189.453125,6.04591180209244E-9
191.40625,6.20423257595539E-9
193.359375,6.31876621835893E-9
195.3125,6.82054134146745E-9
197.265625,9.38600219812414E-9
199.21875,1.2473383552574E-8
201.171875,1.21638982602211E-8
203.125,8.80986769740165E-9
205.078125,6.39640136655678E-9
207.03125,5.97521096677661E-9
208.984375,6.06693941699997E-9
210.9375,6.13783528049188E-9
212.890625,6.11945069061167E-9
214.84375,6.09353314899483E-9
216.796875,6.07746383177676E-9
218.75,5.99992877480127E-9
220.703125,5.93552146519671E-9
222.65625,5.97562613203818E-9
224.609375,6.07012431999902E-9
226.5625,6.12985306541066E-9
228.515625,6.12189426452268E-9
230.46875,6.10887602244985E-9
232.421875,6.21709939304323E-9
234.375,6.37376276387219E-9
236.328125,6.21288359848719E-9
238.28125,5.84830480328381E-9
240.234375,5.77881132789022E-9
242.1875,5.8928211346619E-9
244.140625,5.89600392916223E-9
246.09375,5.80848907390024E-9
248.046875,5.76702598047545E-9
250,5.79342153680025E-9
251.953125,6.0638310261144E-9
253.90625,7.65642138248337E-9
255.859375,1.02683868524593E-8
257.8125,1.08177858438564E-8
259.765625,8.52205642686025E-9
261.71875,6.27101275318354E-9
263.671875,5.70850208905337E-9
265.625,5.68855923402461E-9
267.578125,5.59316336890261E-9
269.53125,5.46307650227294E-9
271.484375,5.46204316633183E-9
273.4375,5.46633198601674E-9
275.390625,5.40597298334656E-9
277.34375,5.44473575654443E-9
279.296875,5.4732273066013E-9
281.25,5.43549358138717E-9
283.203125,5.44713723701013E-9
285.15625,5.49850561663928E-9
287.109375,5.5067056366194E-9
289.0625,5.51388756195468E-9
291.015625,5.51829862415787E-9
292.96875,5.47528814827403E-9
294.921875,5.43682418429659E-9
296.875,5.62517007257714E-9
298.828125,6.08916348066749E-9
300.78125,6.2080524681654E-9
302.734375,5.82352294260755E-9
304.6875,5.50662639394535E-9
306.640625,5.4022036645571E-9
308.59375,5.46363807751917E-9
310.546875,6.35511889139608E-9
312.5,8.46501483720489E-9
314.453125,9.66111117920052E-9
316.40625,8.32792702409939E-9
318.359375,6.25013887827528E-9
320.3125,5.38305920378975E-9
322.265625,5.20700726033293E-9
324.21875,5.15897845344542E-9
326.171875,5.16138110728326E-9
328.125,5.35446769164831E-9
330.078125,5.57917630356971E-9
