frequency(Hz),V/rt(Hz)
0,1.66615466724965E-8
7.8125,1.72596344588127E-8
15.625,1.8005809799581E-8
23.4375,1.86804127944738E-8
31.25,1.89557112213337E-8
39.0625,1.82873379586315E-8
46.875,1.80040079243897E-8
54.6875,1.91243117314589E-8
62.5,1.95202492364032E-8
70.3125,1.85866510261264E-8
78.125,1.82691314186859E-8
85.9375,1.85022017814767E-8
93.75,1.79930484200347E-8
101.5625,1.72613300913615E-8
109.375,1.70317959551132E-8
117.1875,1.66646389243824E-8
125,1.61523947854479E-8
132.8125,1.64759255529096E-8
140.625,1.71197722029481E-8
148.4375,1.69262446682527E-8
156.25,1.60742672669547E-8
164.0625,1.5439433478238E-8
171.875,1.52982304748686E-8
179.6875,1.52273775392609E-8
187.5,1.52861786287839E-8
195.3125,1.56521086938129E-8
203.125,1.57144910697552E-8
210.9375,1.53775919370952E-8
218.75,1.52772389040941E-8
226.5625,1.53083729154303E-8
234.375,1.51811267849557E-8
242.1875,1.51294057698265E-8
250,1.53493756649563E-8
257.8125,1.55419319122154E-8
265.625,1.53652736355977E-8
273.4375,1.51101335761806E-8
281.25,1.49815293493318E-8
289.0625,1.49504272082867E-8
296.875,1.48756006945411E-8
304.6875,1.49130242014821E-8
312.5,1.51271992869119E-8
320.3125,1.50331813081892E-8
328.125,1.46169572159564E-8
335.9375,1.42982020386792E-8
343.75,1.42360231934115E-8
351.5625,1.42058754684198E-8
359.375,1.41314012116486E-8
367.1875,1.41387482448923E-8
375,1.41339005044429E-8
382.8125,1.41590725044493E-8
390.625,1.41925518131755E-8
398.4375,1.41010963102305E-8
406.25,1.39416927802731E-8
414.0625,1.38399819323051E-8
421.875,1.38788638618566E-8
429.6875,1.38807265495695E-8
437.5,1.37399890115521E-8
445.3125,1.36458105054999E-8
453.125,1.34757339566325E-8
460.9375,1.31765824280364E-8
468.75,1.31004098367623E-8
476.5625,1.33798504398637E-8
484.375,1.36967185719264E-8
492.1875,1.36645546221762E-8
500,1.34299641085184E-8
507.8125,1.32190085253387E-8
515.625,1.29813010945443E-8
523.4375,1.27890900787771E-8
531.25,1.28220862386275E-8
539.0625,1.30830518374546E-8
546.875,1.31691445892697E-8
554.6875,1.29734285738916E-8
562.5,1.27622911591855E-8
570.3125,1.26025547654085E-8
578.125,1.25846741500378E-8
585.9375,1.25405573631384E-8
593.75,1.2443614357685E-8
601.5625,1.24128078022817E-8
609.375,1.24442700987972E-8
617.1875,1.26769471079818E-8
625,1.29199273867539E-8
632.8125,1.28700896580526E-8
640.625,1.25213046187795E-8
648.4375,1.21778962038629E-8
656.25,1.21577119505991E-8
664.0625,1.23125879215612E-8
671.875,1.23341840875126E-8
679.6875,1.2183822016723E-8
687.5,1.19838587867899E-8
695.3125,1.18312382327335E-8
703.125,1.19624539575463E-8
710.9375,1.21618364325923E-8
718.75,1.20025426496582E-8
726.5625,1.16930375560865E-8
734.375,1.15968246661813E-8
742.1875,1.16016154595225E-8
750,1.15495606238342E-8
757.8125,1.16004040306547E-8
765.625,1.16887522295669E-8
773.4375,1.15761143673826E-8
781.25,1.1484325914369E-8
789.0625,1.15159852021002E-8
796.875,1.15061365766475E-8
804.6875,1.14595310918115E-8
812.5,1.1416206287788E-8
820.3125,1.13817012556633E-8
828.125,1.14575253441702E-8
835.9375,1.15636372351557E-8
843.75,1.14247717130041E-8
851.5625,1.12620358214844E-8
859.375,1.1292377471777E-8
867.1875,1.13253836233918E-8
875,1.12518958363288E-8
882.8125,1.11704357582722E-8
890.625,1.11431589247327E-8
898.4375,1.10630853917921E-8
906.25,1.09665700646774E-8
914.0625,1.09801493667512E-8
921.875,1.09335705012619E-8
929.6875,1.08827262091694E-8
937.5,1.10096929211342E-8
945.3125,1.10858305938363E-8
953.125,1.09336378358822E-8
960.9375,1.06579393835061E-8
968.75,1.05433534517964E-8
976.5625,1.06953954558993E-8
984.375,1.08876121213901E-8
992.1875,1.10088489911804E-8
1000,1.10498901541208E-8
1007.8125,1.10247036174379E-8
1015.625,1.09486772978702E-8
1023.4375,1.0835071890883E-8
1031.25,1.07236206543238E-8
1039.0625,1.06298961375292E-8
1046.875,1.05765999008497E-8
1054.6875,1.0651181278583E-8
1062.5,1.07743145007179E-8
1070.3125,1.07857710717973E-8
1078.125,1.07183821768294E-8
1085.9375,1.06012324729217E-8
1093.75,1.04494853067945E-8
1101.5625,1.02956819225179E-8
1109.375,1.02990972982859E-8
1117.1875,1.0393912910946E-8
1125,1.03518178294949E-8
1132.8125,1.02103777910679E-8
1140.625,1.01358677043381E-8
1148.4375,1.02713356705149E-8
1156.25,1.0470055004735E-8
1164.0625,1.04761793285907E-8
1171.875,1.04098076340005E-8
1179.6875,1.03085319240162E-8
1187.5,1.00518240418288E-8
1195.3125,9.92122494038488E-9
1203.125,1.00062155407854E-8
1210.9375,1.00934788082053E-8
1218.75,1.01360961544097E-8
1226.5625,1.01312635204011E-8
1234.375,1.00584471415657E-8
1242.1875,1.00552523023594E-8
1250,1.01481703054434E-8
1257.8125,1.01665940682701E-8
1265.625,1.00136746912224E-8
1273.4375,9.84590936560208E-9
1281.25,9.88822402859899E-9
1289.0625,1.00567214328146E-8
1296.875,1.00988744579999E-8
1304.6875,1.00597007528162E-8
1312.5,1.01513914080759E-8
1320.3125,1.03624099239496E-8
1328.125,1.03840651265097E-8
1335.9375,1.024739475423E-8
1343.75,1.01653459519111E-8
1351.5625,1.00215904155874E-8
1359.375,9.85349654800775E-9
1367.1875,9.83181894789186E-9
1375,9.93771347827895E-9
1382.8125,9.95852953676534E-9
1390.625,9.90421687328295E-9
1398.4375,9.93145712977047E-9
1406.25,9.85817038323288E-9
1414.0625,9.63268970919953E-9
1421.875,9.44765280880728E-9
1429.6875,9.42597649506194E-9
1437.5,9.47672206822092E-9
1445.3125,9.52627087798446E-9
1453.125,9.64823907080436E-9
1460.9375,9.74948988059689E-9
1468.75,9.66552055890992E-9
1476.5625,9.50115390082648E-9
1484.375,9.49142892755867E-9
1492.1875,9.54992307823143E-9
1500,9.49827001722366E-9
1507.8125,9.50796074109951E-9
1515.625,9.6070546803745E-9
1523.4375,9.64235325520187E-9
1531.25,9.72283966714595E-9
1539.0625,9.76404536859759E-9
1546.875,9.62755312656173E-9
1554.6875,9.48021209447414E-9
1562.5,9.43502353515536E-9
1570.3125,9.45912957223069E-9
1578.125,9.48872847427563E-9
1585.9375,9.42124803033221E-9
1593.75,9.31041451608145E-9
1601.5625,9.29958880263748E-9
1609.375,9.4235593126115E-9
1617.1875,9.57491727919432E-9
1625,9.59593785851698E-9
1632.8125,9.55817596735395E-9
1640.625,9.55538418834727E-9
1648.4375,9.42033732980318E-9
1656.25,9.1820094900873E-9
1664.0625,9.10432273646878E-9
1671.875,9.22571936239324E-9
1679.6875,9.3065501405309E-9
1687.5,9.33088802925163E-9
1695.3125,9.40184932332748E-9
1703.125,9.42533462098152E-9
1710.9375,9.38119353263324E-9
1718.75,9.41121630012298E-9
1726.5625,9.39094594524075E-9
1734.375,9.17762275104556E-9
1742.1875,8.95836592593048E-9
1750,8.94154336786632E-9
1757.8125,9.13510240035773E-9
1765.625,9.25247322445144E-9
1773.4375,9.20703755979959E-9
1781.25,9.17722523784549E-9
1789.0625,9.11470893918876E-9
1796.875,9.08059012893025E-9
1804.6875,9.19484717304531E-9
1812.5,9.28699644113382E-9
1820.3125,9.22228599691549E-9
1828.125,9.0950805992231E-9
1835.9375,9.07700399744953E-9
1843.75,9.20361956913565E-9
1851.5625,9.26327496827941E-9
1859.375,9.17180084568974E-9
1867.1875,9.08862343152623E-9
1875,9.01453817590648E-9
1882.8125,8.83178941667077E-9
1890.625,8.67951947451446E-9
1898.4375,8.68825075227124E-9
1906.25,8.82787253281797E-9
1914.0625,8.91910835610695E-9
1921.875,8.89946870270449E-9
1929.6875,8.86144156028118E-9
1937.5,8.86174138644247E-9
1945.3125,8.9891759219642E-9
1953.125,9.13001472496649E-9
1960.9375,9.09045329231658E-9
1968.75,8.98003145625878E-9
1976.5625,8.95915005723578E-9
1984.375,8.94852493507869E-9
1992.1875,8.93873016513768E-9
2000,9.01261349743007E-9
2007.8125,9.16785964943286E-9
2015.625,9.2514072050906E-9
2023.4375,9.16053880088914E-9
2031.25,9.00257139891925E-9
2039.0625,8.88198357417325E-9
2046.875,8.73806589853093E-9
2054.6875,8.61239400917462E-9
2062.5,8.60834958789968E-9
2070.3125,8.60935191399329E-9
2078.125,8.56570617183131E-9
2085.9375,8.5291253723915E-9
2093.75,8.49769623234852E-9
2101.5625,8.5727649696344E-9
2109.375,8.62264248412077E-9
2117.1875,8.53878742427686E-9
2125,8.55830275363925E-9
2132.8125,8.68951176389431E-9
2140.625,8.81123914263919E-9
2148.4375,8.95852569595588E-9
2156.25,8.96509216622745E-9
2164.0625,8.81768394366512E-9
2171.875,8.68585460993036E-9
2179.6875,8.59299434633477E-9
2187.5,8.56773316555841E-9
2195.3125,8.60294992515736E-9
2203.125,8.67554379885035E-9
2210.9375,8.73324801680687E-9
2218.75,8.76145463523124E-9
2226.5625,8.85310223517443E-9
2234.375,8.8580490120262E-9
2242.1875,8.73284723088045E-9
2250,8.67283779984203E-9
2257.8125,8.70606025575102E-9
2265.625,8.77969185764376E-9
2273.4375,8.82524866017474E-9
2281.25,8.86271227090266E-9
2289.0625,8.91830502423007E-9
2296.875,8.8634881594555E-9
2304.6875,8.65493807445419E-9
2312.5,8.47394255855889E-9
2320.3125,8.51872963063641E-9
2328.125,8.66527957467372E-9
2335.9375,8.67661088826402E-9
2343.75,8.55471450977771E-9
2351.5625,8.44653514399606E-9
2359.375,8.38399014066194E-9
2367.1875,8.31082518918791E-9
2375,8.29715783768631E-9
2382.8125,8.34689630436773E-9
2390.625,8.38421677936589E-9
2398.4375,8.48484108473538E-9
2406.25,8.64665168794494E-9
2414.0625,8.58796242204664E-9
2421.875,8.37223086171883E-9
2429.6875,8.31172781102174E-9
2437.5,8.41138278098153E-9
2445.3125,8.57143831904328E-9
2453.125,8.67688629074597E-9
2460.9375,8.66214162297746E-9
2468.75,8.59496226699056E-9
2476.5625,8.54594209133868E-9
2484.375,8.55182744064278E-9
2492.1875,8.54746806225148E-9
2500,8.54783423548815E-9
2507.8125,8.55958579245111E-9
2515.625,8.47281256713126E-9
2523.4375,8.32623943981396E-9
2531.25,8.23960892992148E-9
2539.0625,8.21405785567179E-9
2546.875,8.17750315305567E-9
2554.6875,8.14707644247011E-9
2562.5,8.21521642946719E-9
2570.3125,8.40455546974403E-9
2578.125,8.5611117335356E-9
2585.9375,8.5595002625137E-9
2593.75,8.52713888138603E-9
2601.5625,8.56608164835909E-9
2609.375,8.51615781033168E-9
2617.1875,8.3343296879972E-9
2625,8.30210568431002E-9
2632.8125,8.39418282440274E-9
2640.625,8.36002605366287E-9
2648.4375,8.30691021896869E-9
2656.25,8.37765355019099E-9
2664.0625,8.39408188978587E-9
2671.875,8.29381614320632E-9
2679.6875,8.22563250026299E-9
2687.5,8.26806348571575E-9
2695.3125,8.36761817448782E-9
2703.125,8.49291536361936E-9
2710.9375,8.53087564743025E-9
2718.75,8.43757713753319E-9
2726.5625,8.32368176863722E-9
2734.375,8.24037710551997E-9
2742.1875,8.28706419243509E-9
2750,8.46072903176806E-9
2757.8125,8.5170174236091E-9
2765.625,8.42738666981098E-9
2773.4375,8.36146937729302E-9
2781.25,8.32388287343247E-9
2789.0625,8.2926864054926E-9
2796.875,8.29300580261032E-9
2804.6875,8.32432854782585E-9
2812.5,8.33281453702457E-9
2820.3125,8.22205739577497E-9
2828.125,8.12267316464857E-9
